"abbreviation"	"officialName"	"equation"	"reconstruction directionality"	"subSystem"	"proteinClass"	"geneAssociation"	"reaction with marvin charges (pH7)"	"reaction with marvin charges (pH 7.2)"	"delta G (pH 7)"	"mM delta G (pH 7)"	"min delta G (pH 7)"	"max delta G (pH 7)"	"delta G (pH 7.2)"	"uncertainty in delta G (pH 7 or pH 7.2)"	"mM delta G (pH 7.2)"	"min delta G (pH 7.2)"	"max delta G (pH 7.2)"	"directionality without uncertainty (pH 7.2)"	"directionality with uncertainty (pH 7.2)"	" "	" "	"reconstruction directionality"	"directionality without uncertainty (pH 7.2)"	"directionality with uncertainty (pH 7.2)"	
"FALDtpp"	"formaldehyde transport via diffusion (periplasm)"	"fald[p] <==> fald[c]"	"reversible"	"Transport, Inner Membrane"		"s0001"	"fald[p] <==> fald"	"fald[p] <==> fald"	0	0	-5.5	4.5	0	1.5	0	-5.5	4.5	"reversible"	"reversible"						
"FALGTHLs"	"formaldehyde glutathione ligase (spontaneous)"	"[c] : fald + gthrd <==> hmgth"	"reversible"	"Cofactor and Prosthetic Group Biosynthesis"		"s0001"	"fald + gthrd <==> hmgth"	"fald + gthrd <==> hmgth"	1	5.1	-1.2	12.3	1	3.1	5.1	-1.2	12.3	"reversible"	"reversible"						
"FBA"	"fructose-bisphosphate aldolase"	"[c] : fdp <==> dhap + g3p"	"reversible"	"Glycolysis/Gluconeogenesis"	"4.1.2.13"	"( b2097  or  b2925  or  b1773 )"	"fdp <==> dhap + g3p"	"fdp <==> dhap + g3p"	4.2	0.1	-7.2	6.4	4.2	3.5	0.1	-7.2	6.4	"reversible"	"reversible"						
"FBP"	"fructose-bisphosphatase"	"[c] : fdp + h2o --> f6p + pi"	"forward only"	"Glycolysis/Gluconeogenesis"	"3.1.3.11"	"( b4232  or  b3925 )"	"fdp + h2o --> f6p + h + pi"	"fdp + h2o --> f6p + h + pi"	-2.9	-7	-14.3	-0.7	-2.8	2.2	-6.9	-14.1	-0.6	"forward only"	"reversible"						
"FCI"	"L-fucose isomerase"	"[c] : fuc-L <==> fcl-L"	"reversible"	"Alternate Carbon Metabolism"	"5.3.1.25"	"b2802"	"fuc-L <==> fcl-L"	"fuc-L <==> fcl-L"	0	0	-4.5	4.5	0	1.5	0	-4.5	4.5	"reversible"	"reversible"						
"FCLK"	"L-fuculokinase"	"[c] : atp + fcl-L --> adp + fc1p + h"	"forward only"	"Alternate Carbon Metabolism"	"2.7.1.51"	"b2803"	"atp + fcl-L --> adp + fc1p"	"atp + fcl-L --> adp + fc1p"	-3.8	-3.8	-12.8	5.3	-3.8	0.7	-3.8	-12.8	5.2	"reversible"	"reversible"						
"FCLPA"	"L-fuculose 1-phosphate aldolase"	"[c] : fc1p <==> dhap + lald-L"	"reversible"	"Alternate Carbon Metabolism"	"4.1.2.17"	"( b2800  or  b2738 )"	"fc1p <==> dhap + lald-L"	"fc1p <==> dhap + lald-L"	3.4	-0.7	-7.9	5.6	3.4	4.1	-0.7	-8	5.6	"reversible"	"reversible"						
"FCLT"	"Ferrochelatase"	"[c] : fe2 + ppp9 --> (2) h + pheme"	"forward only"	"Cofactor and Prosthetic Group Biosynthesis"	"4.99.1.1"	"b0475"	"fe2 + ppp9 --> (2) h + pheme"	"fe2 + ppp9 --> (2) h + pheme"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"reversible"	"reversible"						
"FDH4pp"	"formate dehydrogenase (quinone-8) (periplasm)"	"for[p] + (2) h[c] + q8[c] --> co2[c] + h[p] + q8h2[c]"	"forward only"	"Oxidative Phosphorylation"	"1.2.2.1"	"( ( b3892  and  b3893  and  b3894 )  or  ( b1474  and  b1475  and  b1476 ) )"	"for[p] + h[p] + q8 --> co2 + q8h2"	"for[p] + h[p] + q8 --> co2 + q8h2"	-20.3	-20.3	-41.2	-12.8	-20.5	8	-20.5	-41.4	-13.1	"forward only"	"forward only"						
"FDH5pp"	"Formate Dehydrogenase (menaquinone-8) (periplasm)"	"for[p] + (2) h[c] + mqn8[c] --> co2[c] + h[p] + mql8[c]"	"forward only"	"Oxidative Phosphorylation"	"1.2.2.1"	"( ( b1474  and  b1475  and  b1476 )  or  ( b3892  and  b3893  and  b3894 ) )"	"for[p] + h[p] + mqn8 --> co2 + mql8"	"for[p] + h[p] + mqn8 --> co2 + mql8"	-24.7	-24.7	-45.6	-17.3	-25	8.4	-25	-45.9	-17.6	"forward only"	"forward only"						
"FDMO"	"FMNH2-dependent monooxygenase"	"[c] : fmnh2 + isetac + o2 --> fmn + gcald + h + h2o + so3"	"forward only"	"Inorganic Ion Transport and Metabolism"		"b0935"	"fmnh2 + isetac + o2 --> fmn + gcald + h2o + so3"	"fmnh2 + isetac + o2 --> fmn + gcald + h2o + so3"	-87	-85.4	-97	-69.3	-86.9	6.1	-85.3	-97	-69.3	"forward only"	"forward only"						
"FDMO2"	"FMNH2-dependent monooxygenase (methanesulfonate)"	"[c] : fmnh2 + mso3 + o2 --> fald + fmn + h + h2o + so3"	"forward only"	"Inorganic Ion Transport and Metabolism"		"b0935"	"fmnh2 + mso3 + o2 --> fald + fmn + h2o + so3"	"fmnh2 + mso3 + o2 --> fald + fmn + h2o + so3"	-82.5	-80.9	-92.6	-64.9	-82.5	6.3	-80.9	-92.6	-64.9	"forward only"	"forward only"						
"FDMO3"	"FMNH2-dependent monooxygenase (ethanesulfonate)"	"[c] : ethso3 + fmnh2 + o2 --> acald + fmn + h + h2o + so3"	"forward only"	"Inorganic Ion Transport and Metabolism"		"b0935"	"ethso3 + fmnh2 + o2 --> acald + fmn + h2o + so3"	"ethso3 + fmnh2 + o2 --> acald + fmn + h2o + so3"	-86.4	-84.7	-96.5	-68.8	-86.4	6.3	-84.7	-96.5	-68.7	"forward only"	"forward only"						
"FDMO4"	"FMNH2-dependent monooxygenase (butanesulfonate)"	"[c] : butso3 + fmnh2 + o2 --> btal + fmn + h + h2o + so3"	"forward only"	"Inorganic Ion Transport and Metabolism"		"b0935"	"butso3 + fmnh2 + o2 --> btal + fmn + h2o + so3"	"butso3 + fmnh2 + o2 --> btal + fmn + h2o + so3"	-87	-85.4	-97	-69.3	-86.9	6.1	-85.3	-97	-69.3	"forward only"	"forward only"						
"FDMO6"	"FMNH2-dependent monooxygenase (sulfoacetate)"	"[c] : fmnh2 + o2 + sulfac --> fmn + glx + h + h2o + so3"	"forward only"	"Inorganic Ion Transport and Metabolism"		"b0935"	"fmnh2 + o2 + sulfac --> fmn + glx + h2o + so3"	"fmnh2 + o2 + sulfac --> fmn + glx + h2o + so3"	-84.5	-82.9	-94.6	-66.8	-84.4	6.1	-82.8	-94.5	-66.8	"forward only"	"forward only"						
"FE2abcpp"	"iron (II) transport via ABC system (periplasm)"	"atp[c] + fe2[p] + h2o[c] --> adp[c] + fe2[c] + h[c] + pi[c]"	"forward only"	"Inorganic Ion Transport and Metabolism"		"b3409"	"atp + fe2[p] + h2o --> adp + fe2 + h + pi"	"atp + fe2[p] + h2o --> adp + fe2 + h + pi"	-6.7	-17.7	-30.4	-6.9	-6.6	2.2	-17.6	-30.3	-6.8	"forward only"	"forward only"						
"FE2t2pp"	"iron (II) transport in via proton symport (periplasm)"	"fe2[p] + h[p] --> fe2[c] + h[c]"	"forward only"	"Inorganic Ion Transport and Metabolism"		"b2392"	"fe2[p] + h[p] --> fe2 + h"	"fe2[p] + h[p] --> fe2 + h"	0	-10.1	-15.6	-5.6	0	1.5	-10.1	-15.6	-5.6	"forward only"	"forward only"						
"FE2t3pp"	"iron (Fe+2) transport out via proton antiport (periplasm)"	"fe2[c] + h[p] --> fe2[p] + h[c]"	"forward only"	"Inorganic Ion Transport and Metabolism"		"b3915"	"fe2 + h[p] --> fe2[p] + h"	"fe2 + h[p] --> fe2[p] + h"	0	3.8	-0.7	9.2	0	1.5	3.8	-0.7	9.2	"reversible"	"reversible"						
"FE2tex"	"iron (II) transport via diffusion (extracellular to periplasm)"	"fe2[e] <==> fe2[p]"	"reversible"	"Transport, Outer Membrane Porin"		"( b0241  or  b0929  or  b1377  or  b2215 )"	"fe2[e] <==> fe2[p]"	"fe2[e] <==> fe2[p]"	0	0	-5.5	5.5	0	1.5	0	-5.5	5.5	"reversible"	"reversible"						
"FE2tpp"	"iron (+2) transport in via permease (no H+)"	"fe2[p] --> fe2[c]"	"forward only"	"Inorganic Ion Transport and Metabolism"		"b3040"	"fe2[p] --> fe2"	"fe2[p] --> fe2"	0	-6.9	-12.4	-2.4	0	1.5	-6.9	-12.4	-2.4	"forward only"	"forward only"						
"FE3abcpp"	"iron (III) transport via ABC system (periplasm to cytoplasm)"	"atp[c] + fe3[p] + h2o[c] --> adp[c] + fe3[c] + h[c] + pi[c]"	"forward only"	"Inorganic Ion Transport and Metabolism"			"atp + fe3[p] + h2o --> adp + fe3 + h + pi"	"atp + fe3[p] + h2o --> adp + fe3 + h + pi"	-6.7	-21.2	-33.9	-10.4	-6.6	2.2	-21.1	-33.8	-10.3	"forward only"	"forward only"						
"FE3DCITabcpp"	"iron transport from ferric-dicitrate via ABC system (periplasm)"	"atp[c] + fe3dcit[p] + h2o[c] --> adp[c] + (2) cit[c] + fe3[c] + h[c] + pi[c]"	"forward only"	"Inorganic Ion Transport and Metabolism"		"( b4290  and  b4289  and  b4288  and  b4287 )"	"atp + fe3dcit[p] + h2o --> adp + (2) cit + fe3 + h + pi"	"atp + fe3dcit[p] + h2o --> adp + (2) cit + fe3 + h + pi"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"reversible"	"reversible"						
"FE3DCITtonex"	"ferric-dicitrate transport via ton system (extracellular)"	"fe3dcit[e] + h[p] --> fe3dcit[p] + h[c]"	"forward only"	"Transport, Outer Membrane"		"( b4291  and  ( b1252  and  b3005  and  b3006 ) )"	"fe3dcit[e] + h[p] --> fe3dcit[p] + h"	"fe3dcit[e] + h[p] --> fe3dcit[p] + h"	0	-3.2	-8.6	2.3	0	1.5	-3.2	-8.6	2.3	"reversible"	"reversible"						
"FE3DHBZR"	"release of Fe(III) from ferric 2,3-dihydroxybenzoylserine"	"[c] : fe3dhbzs --> 23dhbzs + fe3"	"forward only"	"Inorganic Ion Transport and Metabolism"			"fe3dhbzs --> 23dhbzs + fe3"	"fe3dhbzs --> 23dhbzs + fe3"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"reversible"	"reversible"						
"FE3DHBZSabcpp"	"ferric 2,3-dihydroxybenzoylserine transport via ABC system (periplasm)"	"atp[c] + fe3dhbzs[p] + h2o[c] --> adp[c] + fe3dhbzs[c] + h[c] + pi[c]"	"forward only"	"Inorganic Ion Transport and Metabolism"		"( b0592  and  b0588  and  b0590  and  b0589 )"	"atp + fe3dhbzs[p] + h2o --> adp + fe3dhbzs + h + pi"	"atp + fe3dhbzs[p] + h2o --> adp + fe3dhbzs + h + pi"	0	-11	-23.7	-0.2	0.1	1.5	-10.9	-23.6	-0.1	"forward only"	"reversible"						
"FE3DHBZStonex"	"ferric 2,3-dihydroxybenzoylserine transport via ton system (extracellular)"	"fe3dhbzs[e] + h[p] --> fe3dhbzs[p] + h[c]"	"forward only"	"Transport, Outer Membrane"		"( ( b0805  and  ( b1252  and  b3005  and  b3006 ) )  or  ( b2155  and  ( b1252  and  b3005  and  b3006 ) ) )"	"fe3dhbzs[e] + h[p] --> fe3dhbzs[p] + h"	"fe3dhbzs[e] + h[p] --> fe3dhbzs[p] + h"	0	-3.2	-8.6	2.3	0	1.5	-3.2	-8.6	2.3	"reversible"	"reversible"						
"FE3HOXabcpp"	"ferric-dicitrate transport via ABC system (periplasm)"	"atp[c] + fe3hox[p] + h2o[c] --> adp[c] + fe3hox[c] + h[c] + pi[c]"	"forward only"	"Inorganic Ion Transport and Metabolism"		"( b0153  and  b0151  and  b0152 )"	"atp + fe3hox[p] + h2o --> adp + fe3hox + h + pi"	"atp + fe3hox[p] + h2o --> adp + fe3hox + h + pi"	0	-4.1	-16.8	6.7	0.1	1.5	-4	-16.7	6.8	"reversible"	"reversible"						
"FE3HOXexs"	"Fe(III) hydroxamate Fe-loading reaction (spontaneaous)"	"[e] : fe3 + fe3hox-un --> fe3hox"	"forward only"	"Inorganic Ion Transport and Metabolism"		"s0001"	"[e] : fe3[e] + fe3hox-un[e] --> fe3hox[e]"	"[e] : fe3[e] + fe3hox-un[e] --> fe3hox[e]"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"reversible"	"reversible"						
"FE3HOXR1"	"Fe(III)hydroxamate reductase"	"[c] : fadh2 + (2) fe3hox --> fad + (2) fe2 + (2) fe3hox-un + (2) h"	"forward only"	"Inorganic Ion Transport and Metabolism"			"fadh2 + (2) fe3hox --> fad + (2) fe2 + (2) fe3hox-un + (2) h"	"fadh2 + (2) fe3hox --> fad + (2) fe2 + (2) fe3hox-un + (2) h"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"reversible"	"reversible"						
"FE3HOXR2"	"Fe(III)hydroxamate reductase"	"[c] : (2) fe3hox + fmnh2 --> (2) fe2 + (2) fe3hox-un + fmn + (2) h"	"forward only"	"Inorganic Ion Transport and Metabolism"			"(2) fe3hox + fmnh2 --> (2) fe2 + (2) fe3hox-un + fmn + (2) h"	"(2) fe3hox + fmnh2 --> (2) fe2 + (2) fe3hox-un + fmn + (2) h"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"reversible"	"reversible"						
"FE3HOXR3"	"Fe(III)hydroxamate reductase"	"[c] : (2) fe3hox + rbflvrd --> (2) fe2 + (2) fe3hox-un + (2) h + ribflv"	"forward only"	"Inorganic Ion Transport and Metabolism"			"(2) fe3hox + rbflvrd --> (2) fe2 + (2) fe3hox-un + (2) h + ribflv"	"(2) fe3hox + rbflvrd --> (2) fe2 + (2) fe3hox-un + (2) h + ribflv"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"reversible"	"reversible"						
"FE3HOXtonex"	"Fe(III)hydroxamine transport via ton system (extracellular)"	"fe3hox[e] + h[p] --> fe3hox[p] + h[c]"	"forward only"	"Transport, Outer Membrane"		"( b0150  and  ( b1252  and  b3005  and  b3006 ) )"	"fe3hox[e] + h[p] --> fe3hox[p] + h"	"fe3hox[e] + h[p] --> fe3hox[p] + h"	0	-3.2	-8.6	2.3	0	1.5	-3.2	-8.6	2.3	"reversible"	"reversible"						
"FE3HOXUtex"	"Fe(III)hydroxamate unloaded secretion"	"fe3hox-un[c] + h[p] --> fe3hox-un[p] + h[c]"	"forward only"	"Inorganic Ion Transport and Metabolism"			"fe3hox-un + h[p] --> fe3hox-un[p] + h"	"fe3hox-un + h[p] --> fe3hox-un[p] + h"	0	-3.2	-7.7	2.3	0	1.5	-3.2	-7.7	2.3	"reversible"	"reversible"						
"FE3HOXUtpp"	"Fe(III)hydroxamate unloaded secretion (extracellular)"	"fe3hox-un[p] + h[p] --> fe3hox-un[e] + h[c]"	"forward only"	"Inorganic Ion Transport and Metabolism"			"fe3hox-un[p] + h[p] --> fe3hox-un[e] + h"	"fe3hox-un[p] + h[p] --> fe3hox-un[e] + h"	0	-3.2	-8.6	2.3	0	1.5	-3.2	-8.6	2.3	"reversible"	"reversible"						
"FE3Ri"	"Fe(III) reduction"	"[c] : fadh2 + (2) fe3 --> fad + (2) fe2 + (2) h"	"forward only"	"Cofactor and Prosthetic Group Biosynthesis"		"b3844"	"fadh2 + (2) fe3 --> fad + (2) fe2 + (2) h"	"fadh2 + (2) fe3 --> fad + (2) fe2 + (2) h"	-46.5	-46.5	-60	-33	-45.9	6.6	-45.9	-59.5	-32.4	"forward only"	"forward only"						
"FE3tex"	"iron (III) transport via diffusion (extracellular to periplasm)"	"fe3[e] <==> fe3[p]"	"reversible"	"Transport, Outer Membrane Porin"		"( b0241  or  b0929  or  b1377  or  b2215 )"	"fe3[e] <==> fe3[p]"	"fe3[e] <==> fe3[p]"	0	0	-5.5	5.5	0	1.5	0	-5.5	5.5	"reversible"	"reversible"						
"FECRMabcpp"	"ferrichrome transport via ABC system (periplasm)"	"atp[c] + fecrm[p] + h2o[c] --> adp[c] + fecrm[c] + h[c] + pi[c]"	"forward only"	"Inorganic Ion Transport and Metabolism"		"( b0153  and  b0151  and  b0152 )"	"atp + fecrm[p] + h2o --> adp + fecrm + h + pi"	"atp + fecrm[p] + h2o --> adp + fecrm + h + pi"	0	-4.1	-16.8	6.7	0.1	1.5	-4	-16.7	6.8	"reversible"	"reversible"						
"FECRMexs"	"ferrichrome Fe(III)-loading reaction (spontaneous)"	"[e] : fe3 + fecrm-un --> fecrm"	"forward only"	"Inorganic Ion Transport and Metabolism"		"s0001"	"[e] : fe3[e] + fecrm-un[e] --> fecrm[e]"	"[e] : fe3[e] + fecrm-un[e] --> fecrm[e]"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"reversible"	"reversible"						
"FECRMR1"	"Ferrichrome reductase"	"[c] : fadh2 + (2) fecrm --> fad + (2) fe2 + (2) fecrm-un + (2) h"	"forward only"	"Inorganic Ion Transport and Metabolism"			"fadh2 + (2) fecrm --> fad + (2) fe2 + (2) fecrm-un + (2) h"	"fadh2 + (2) fecrm --> fad + (2) fe2 + (2) fecrm-un + (2) h"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"reversible"	"reversible"						
"FECRMR2"	"Ferrichrome reductase"	"[c] : (2) fecrm + fmnh2 --> (2) fe2 + (2) fecrm-un + fmn + (2) h"	"forward only"	"Inorganic Ion Transport and Metabolism"			"(2) fecrm + fmnh2 --> (2) fe2 + (2) fecrm-un + fmn + (2) h"	"(2) fecrm + fmnh2 --> (2) fe2 + (2) fecrm-un + fmn + (2) h"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"reversible"	"reversible"						
"FECRMR3"	"Ferrichrome reductase"	"[c] : (2) fecrm + rbflvrd --> (2) fe2 + (2) fecrm-un + (2) h + ribflv"	"forward only"	"Inorganic Ion Transport and Metabolism"			"(2) fecrm + rbflvrd --> (2) fe2 + (2) fecrm-un + (2) h + ribflv"	"(2) fecrm + rbflvrd --> (2) fe2 + (2) fecrm-un + (2) h + ribflv"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"reversible"	"reversible"						
"FECRMtonex"	"ferrichrome transport via ton system (extracellular)"	"fecrm[e] + h[p] --> fecrm[p] + h[c]"	"forward only"	"Transport, Outer Membrane"		"( b0150  and  ( b1252  and  b3005  and  b3006 ) )"	"fecrm[e] + h[p] --> fecrm[p] + h"	"fecrm[e] + h[p] --> fecrm[p] + h"	0	-3.2	-8.6	2.3	0	1.5	-3.2	-8.6	2.3	"reversible"	"reversible"						
"FECRMUtex"	"ferrichrome (minus Fe) secretion (to extracellular)"	"fecrm-un[p] + h[p] --> fecrm-un[e] + h[c]"	"forward only"	"Inorganic Ion Transport and Metabolism"			"fecrm-un[p] + h[p] --> fecrm-un[e] + h"	"fecrm-un[p] + h[p] --> fecrm-un[e] + h"	0	-3.2	-8.6	2.3	0	1.5	-3.2	-8.6	2.3	"reversible"	"reversible"						
"FECRMUtpp"	"ferrichrome (minus Fe) secretion (to periplasm)"	"fecrm-un[c] + h[p] --> fecrm-un[p] + h[c]"	"forward only"	"Inorganic Ion Transport and Metabolism"			"fecrm-un + h[p] --> fecrm-un[p] + h"	"fecrm-un + h[p] --> fecrm-un[p] + h"	0	-3.2	-7.7	2.3	0	1.5	-3.2	-7.7	2.3	"reversible"	"reversible"						
"FEENTERabcpp"	"Fe-enterobactin transport via ABC system (periplasm)"	"atp[c] + feenter[p] + h2o[c] --> adp[c] + feenter[c] + h[c] + pi[c]"	"forward only"	"Inorganic Ion Transport and Metabolism"		"( b0592  and  b0588  and  b0590  and  b0589 )"	"atp + feenter[p] + h2o --> adp + feenter + h + pi"	"atp + feenter[p] + h2o --> adp + feenter + h + pi"	0	-14.5	-27.2	-3.7	0.1	1.5	-14.4	-27.1	-3.6	"forward only"	"forward only"						
"FEENTERexs"	"enterobactin Fe(III) binding (spontaneous)"	"[e] : enter + fe3 --> feenter"	"forward only"	"Inorganic Ion Transport and Metabolism"		"s0001"	"[e] : enter[e] + fe3[e] --> feenter[e]"	"[e] : enter[e] + fe3[e] --> feenter[e]"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"reversible"	"reversible"						
"FEENTERR1"	"Fe-enterobactin reduction (Fe(III)-unloading)"	"[c] : fadh2 + (2) feenter --> (2) enter + fad + (2) fe2 + (2) h"	"forward only"	"Inorganic Ion Transport and Metabolism"			"fadh2 + (2) feenter --> (2) enter + fad + (2) fe2 + (2) h"	"fadh2 + (2) feenter --> (2) enter + fad + (2) fe2 + (2) h"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"reversible"	"reversible"						
"FEENTERR2"	"Fe-enterobactin reduction (Fe(III)-unloading)"	"[c] : (2) feenter + fmnh2 --> (2) enter + (2) fe2 + fmn + (2) h"	"forward only"	"Inorganic Ion Transport and Metabolism"			"(2) feenter + fmnh2 --> (2) enter + (2) fe2 + fmn + (2) h"	"(2) feenter + fmnh2 --> (2) enter + (2) fe2 + fmn + (2) h"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"reversible"	"reversible"						
"FEENTERR3"	"Fe-enterobactin reduction (Fe(III)-unloading)"	"[c] : (2) feenter + rbflvrd --> (2) enter + (2) fe2 + (2) h + ribflv"	"forward only"	"Inorganic Ion Transport and Metabolism"			"(2) feenter + rbflvrd --> (2) enter + (2) fe2 + (2) h + ribflv"	"(2) feenter + rbflvrd --> (2) enter + (2) fe2 + (2) h + ribflv"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"reversible"	"reversible"						
"FEENTERtex"	"enterochelin transport (secretion periplasm)"	"enter[p] + h[p] --> enter[e] + h[c]"	"forward only"	"Inorganic Ion Transport and Metabolism"			"enter[p] + h[p] --> enter[e] + h"	"enter[p] + h[p] --> enter[e] + h"	0	-3.2	-8.6	2.3	0	1.5	-3.2	-8.6	2.3	"reversible"	"reversible"						
"FEENTERtonex"	"Fe-enterobactin transport via ton system (extracellular)"	"feenter[e] + h[p] --> feenter[p] + h[c]"	"forward only"	"Transport, Outer Membrane"		"( b0584  and  ( b1252  and  b3005  and  b3006 ) )"	"feenter[e] + h[p] --> feenter[p] + h"	"feenter[e] + h[p] --> feenter[p] + h"	0	-3.2	-8.6	2.3	0	1.5	-3.2	-8.6	2.3	"reversible"	"reversible"						
"FEENTERtpp"	"enterochelin transport (secretion)"	"enter[c] + h[p] --> enter[p] + h[c]"	"forward only"	"Transport, Inner Membrane"		"b0591"	"enter + h[p] --> enter[p] + h"	"enter + h[p] --> enter[p] + h"	0	-3.2	-7.7	2.3	0	1.5	-3.2	-7.7	2.3	"reversible"	"reversible"						
"FEOXAMabcpp"	"ferroxamine transport via ABC system (periplasm)"	"atp[c] + feoxam[p] + h2o[c] --> adp[c] + feoxam[c] + h[c] + pi[c]"	"forward only"	"Inorganic Ion Transport and Metabolism"		"( b0153  and  b0151  and  b0152 )"	"atp + feoxam[p] + h2o --> adp + feoxam + h + pi"	"atp + feoxam[p] + h2o --> adp + feoxam + h + pi"	0	-7.6	-20.3	3.2	0.1	1.5	-7.5	-20.2	3.3	"reversible"	"reversible"						
"FEOXAMexs"	"ferroxamine Fe3-loading reaction (spontaneous)"	"[e] : fe3 + feoxam-un --> feoxam"	"forward only"	"Inorganic Ion Transport and Metabolism"		"s0001"	"[e] : fe3[e] + feoxam-un[e] --> feoxam[e]"	"[e] : fe3[e] + feoxam-un[e] --> feoxam[e]"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"reversible"	"reversible"						
"FEOXAMR1"	"ferroxamine reductase"	"[c] : fadh2 + (2) feoxam --> fad + (2) fe2 + (2) feoxam-un + (2) h"	"forward only"	"Inorganic Ion Transport and Metabolism"			"fadh2 + (2) feoxam --> fad + (2) fe2 + (2) feoxam-un + (2) h"	"fadh2 + (2) feoxam --> fad + (2) fe2 + (2) feoxam-un + (2) h"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"reversible"	"reversible"						
"FEOXAMR2"	"ferroxamine reductase"	"[c] : (2) feoxam + fmnh2 --> (2) fe2 + (2) feoxam-un + fmn + (2) h"	"forward only"	"Inorganic Ion Transport and Metabolism"			"(2) feoxam + fmnh2 --> (2) fe2 + (2) feoxam-un + fmn + (2) h"	"(2) feoxam + fmnh2 --> (2) fe2 + (2) feoxam-un + fmn + (2) h"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"reversible"	"reversible"						
"FEOXAMR3"	"ferroxamine reductase"	"[c] : (2) feoxam + rbflvrd --> (2) fe2 + (2) feoxam-un + (2) h + ribflv"	"forward only"	"Inorganic Ion Transport and Metabolism"			"(2) feoxam + rbflvrd --> (2) fe2 + (2) feoxam-un + (2) h + ribflv"	"(2) feoxam + rbflvrd --> (2) fe2 + (2) feoxam-un + (2) h + ribflv"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"Not calculated"	"reversible"	"reversible"						
"FEOXAMtonex"	"ferroxamine transport via ton system (extracellular)"	"feoxam[e] + h[p] --> feoxam[p] + h[c]"	"forward only"	"Transport, Outer Membrane"		"( b0150  and  ( b1252  and  b3005  and  b3006 ) )"	"feoxam[e] + h[p] --> feoxam[p] + h"	"feoxam[e] + h[p] --> feoxam[p] + h"	0	-3.2	-8.6	2.3	0	1.5	-3.2	-8.6	2.3	"reversible"	"reversible"						
"FEOXAMUtex"	"ferroxamine (minus Fe3) secretion (to extracellular)"	"feoxam-un[p] + h[p] --> feoxam-un[e] + h[c]"	"forward only"	"Inorganic Ion Transport and Metabolism"			"feoxam-un[p] + h[p] --> feoxam-un[e] + h"	"feoxam-un[p] + h[p] --> feoxam-un[e] + h"	0	-3.2	-8.6	2.3	0	1.5	-3.2	-8.6	2.3	"reversible"	"reversible"						
"FEOXAMUtpp"	"ferroxamine (minus Fe3) secretion (to periplasm)"	"feoxam-un[c] + h[p] --> feoxam-un[p] + h[c]"	"forward only"	"Inorganic Ion Transport and Metabolism"			"feoxam-un + h[p] --> feoxam-un[p] + h"	"feoxam-un + h[p] --> feoxam-un[p] + h"	0	0.3	-4.2	5.8	0	1.5	0.3	-4.2	5.8	"reversible"	"reversible"						
