CPLX0-1962	3-hydroxy acid dehydrogenase	(("EG12345-MONOMER", 4))
CPLX0-234	4-diphosphocytidyl-2C-methyl-D-erythritol synthase	(("G7423-MONOMER", 2))
PHOSACETYLTRANS-CPLX	phosphate acetyltransferase / phosphate propionyltransferase	(("PHOSACETYLTRANS-MONOMER", 6))
CPLX0-231	galactitol PTS permease	(("GATA-MONOMER", 1) ("GATB-MONOMER", 1) ("GATC-MONOMER", 2))
2OXOGLUTARATEDEH-CPLX	2-oxoglutarate dehydrogenase complex	(("E3-CPLX", 1) ("E3-MONOMER", 2) ("E2O", 1) ("E2O-MONOMER", 24) ("E1O", 1) ("E1O-MONOMER", 12))
ADENYLOSUCCINATE-SYN-DIMER	adenylosuccinate synthetase	(("ADENYLOSUCCINATE-SYN-MONOMER", 2))
CPLX0-3521	polynucleotide phosphorylase	(("EG10743-MONOMER", 3))
CPLX0-7904	ribonucleoside hydrolase 2 (pyrimidine-specific)	(("EG12030-MONOMER", 4))
CPLX0-7807	SdsRQP multidrug efflux system	(("EG11954-MONOMER", 1) ("YJCQ-MONOMER", 1) ("EG11952-MONOMER", 1))
CPLX0-7421	tRNA (cytidine/uridine-2'-<i>O</i>)-ribose methyltransferase	(("EG11888-MONOMER", 2))
CPLX-3946	exonuclease VII	(("EG11098-MONOMER", 4) ("EG11072-MONOMER", 1))
ABC-18-CPLX	methyl-&beta;-D-galactoside / galactose ABC transporter	(("MGLB-MONOMER", 1) ("MGLC-MONOMER", 2) ("MGLA-MONOMER", 2))
CPLX0-7597	protein involved in a tRNA modification pathway	(("EG10375-MONOMER", 2))
CPLX0-1667	Fad I component of anaerobic fatty acid oxidation complex	(("G7213-MONOMER", 2))
GLYOXI-CPLX	glyoxalase I	(("GLYOXI-MONOMER", 2))
6PGLUCONDEHYDROG-CPLX	6-phosphogluconate dehydrogenase (decarboxylating)	(("6PGLUCONDEHYDROG-MONOMER", 2))
TRYPSYN	tryptophan synthase	(("CPLX0-2401", 1) ("TRYPSYN-BPROTEIN", 2) ("TRYPSYN-APROTEIN", 2))
ANSB-CPLX	asparaginase II	(("ANSB-MONOMER", 4))
CPLX0-2061	2,3-diketo-L-gulonate reductase	(("EG12279-MONOMER", 2))
IMIDHISTID-CPLX	imidazoleglycerol-phosphate dehydratase / histidinol-phosphatase	(("IMIDPHOSPHADEHYDHISTIDPHOSPHA-MONOMER", 2))
CPLX0-7712	GDP-mannose mannosyl hydrolase	(("GDPMANMANHYDRO-MONOMER", 2))
CPLX0-7822	MqsA-MqsR antitoxin/toxin complex	(("G7572-MONOMER", 4) ("G7571-MONOMER", 2))
MONOMER0-1761	MalT-MalK	(("MALK-MONOMER", 1) ("PD00237", 1))
CPLX0-7992	lipopolysaccharide transport system	(("YHBN-MONOMER", 1) ("G7664-MONOMER", 1) ("ABC-53-CPLX", 1) ("G7889-MONOMER", 1) ("YHBG-MONOMER", 2) ("G7888-MONOMER", 1) ("CPLX0-7628", 1) ("EG11569-MONOMER", 1) ("EG10855-MONOMER", 1))
CPLX0-7944	outer membrane phospholipase	(("MONOMER0-341", 2))
CPLX-7524	allantoate amidohydrolase	(("G6285-MONOMER", 2))
ABC-59-CPLX	YddO/YddP/YddQ/YddR/YddS ABC transporter	(("YDDO-MONOMER", 1) ("YDDP-MONOMER", 1) ("YDDS-MONOMER", 1) ("YDDQ-MONOMER", 1) ("YDDR-MONOMER", 1))
RUVABC-CPLX	resolvasome	(("EG10923-MONOMER", 12) ("EG10924-MONOMER", 4) ("EG10925-MONOMER", 2))
CPLX0-7659	fused diaminohydroxyphosphoribosylaminopyrimidine deaminase / 5-amino-6-(5-phosphoribosylamino)uracil reductase	(("RIBOFLAVINSYNDEAM-MONOMER", 2))
CPLX0-782	lipoate synthase	(("EG11306-MONOMER", 2))
CPLX0-7988	PaaF-PaaG hydratase-isomerase complex	(("G6714-MONOMER", 6) ("G6715-MONOMER", 6))
CPLX0-201	fructose 6-phosphate aldolase 1	(("G6428-MONOMER", 10))
CPLX0-7973	cell division factor ZapD	(("EG12313-MONOMER", 2))
CPLX0-7643	acetohydroxy acid isomeroreductase	(("KETOLREDUCTOISOM-MONOMER", 4))
CPLX0-7721	DcuR-Phosphorylated DNA-binding transcriptional activator	(("PHOSPHO-DCUR-MONOMER", 2))
CPLX0-1924	vitamin B12 outer membrane transport complex	(("CPLX0-1923", 1) ("EG11012-MONOMER", 1) ("EG10271-MONOMER", 1) ("EG10272-MONOMER", 1) ("EG10126-MONOMER", 1))
CPLX0-3781	YefM-YoeB antitoxin/toxin complex and DNA-binding transcriptional repressor	(("EG12844-MONOMER", 2) ("MONOMER0-1041", 1))
CPLX0-7983	mechanosensitive channel YbiO	(("G6417-MONOMER", 7))
DEOA-CPLX	thymidine phosphorylase / uracil phosphorylase	(("DEOA-MONOMER", 2))
1-PFK	1-phosphofructokinase	(("1-PFK-MONOMER", 2))
ADHC-CPLX	formaldehyde dehydrogenase, glutathione-dependent	(("ADHC-MONOMER", 2))
PANTOTHENATE-KIN-CPLX	pantothenate kinase	(("PANTOTHENATE-KIN-MONOMER", 2))
METHYLENETHFREDUCT-CPLX	5,10-methylenetetrahydrofolate reductase	(("METHYLENETHFREDUCT-MONOMER", 4))
MONOMER0-2863	oxidized ribonucleoside-triphosphate reductase	(("RIBONUCLEOSIDE-TRIP-REDUCT-MONOMER", 2))
CPLX0-1762	ring 1,2-phenylacetyl-CoA epoxidase	(("G6710-MONOMER", 1) ("G6711-MONOMER", 1) ("G6709-MONOMER", 1) ("G6713-MONOMER", 1))
CPLX0-1541	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase	(("EG11090-MONOMER", 2))
DAPASYN-CPLX	7,8-diaminopelargonic acid synthase	(("DAPASYN-MONOMER", 2))
CPLX0-7624	PrlF-YhaV antitoxin-toxin complex	(("G7629-MONOMER", 4) ("EG10955-MONOMER", 2))
AMP-NUCLEOSID-CPLX	AMP nucleosidase	(("AMP-NUCLEOSID-MONOMER", 6))
CPLX0-2941	protease IV, a signal peptide peptidase	(("EG10968-MONOMER", 4))
B2-CPLX	ribonucleoside diphosphate reductase 1, &beta; subunit dimer	(("NRDB-MONOMER", 2))
RECBCD	RecBCD	(("EG10824-MONOMER", 1) ("EG10825-MONOMER", 1) ("EG10826-MONOMER", 1))
CPLX0-7422	predicted rRNA methyltransferase	(("EG12309-MONOMER", 2))
FABZ-CPLX	3-hydroxy-acyl-[acyl-carrier-protein] dehydratase	(("FABZ-MONOMER", 1))
CPLX0-1342	SufE homodimer	(("G6905-MONOMER", 2))
CPLX0-253	NADPH quinone reductase	(("EG12656-MONOMER", 2))
PYRNUTRANSHYDROGEN-CPLX	pyridine nucleotide transhydrogenase	(("PNTA-MONOMER", 2) ("PNTB-MONOMER", 2))
APORNAP-CPLX	RNA polymerase, core enzyme	(("RPOB-MONOMER", 1) ("RPOC-MONOMER", 1) ("EG10893-MONOMER", 2))
ABC-52-CPLX	YhdW/YhdX/YhdY/YhdZ ABC transporter	(("YHDW-MONOMER", 1) ("YHDX-MONOMER", 1) ("YHDY-MONOMER", 1) ("YHDZ-MONOMER", 2))
ABC-51-CPLX	YdcS/YdcT/YdcV/YdcU ABC transporter	(("YDCU-MONOMER", 1) ("YDCV-MONOMER", 1) ("YDCT-MONOMER", 2) ("YDCS-MONOMER", 1))
CPLX0-7647	ribokinase	(("RIBOKIN-MONOMER", 2))
THREODEHYD-CPLX	threonine dehydrogenase	(("THREODEHYD-MONOMER", 4))
CPLX0-2381	degradosome	(("ENOLASE-CPLX", 1) ("ENOLASE-MONOMER", 2) ("CPLX0-3521", 1) ("EG10743-MONOMER", 3) ("CPLX0-3541", 1) ("EG10844-MONOMER", 2) ("CPLX0-3461", 1) ("EG10859-MONOMER", 4) ("PPK-CPLX", 1) ("PPK-MONOMER", 4))
ARGDECARBOXDEG-CPLX	arginine decarboxylase, degradative	(("ARGDECARBOXDEG-MONOMER", 10))
SUPEROX-DISMUTMN-CPLX	superoxide dismutase (Mn)	(("SUPEROX-DISMUTMN-MONOMER", 2))
CPLX0-7426	octaprenyl diphosphate synthase	(("OPPSYN-MONOMER", 2))
DIHYDROPTERIREDUCT-CPLX	NAD(P)H nitroreductase NfsB	(("DIHYDROPTERIREDUCT-MONOMER", 2))
OROTPDECARB-CPLX	orotidine-5'-phosphate decarboxylase	(("OROTPDECARB-MONOMER", 2))
CPLX0-3943	&gamma;-glutamyl-&gamma;-aminobutyrate hydrolase	(("G6645-MONOMER", 2))
ABC-45-CPLX	phospholipid ABC transporter	(("G7658-MONOMER", 2) ("EG12799-MONOMER", 1) ("YRBE-MONOMER", 2) ("YRBF-MONOMER", 2) ("G7659-MONOMER", 1))
CPLXECOLI-7943	NMN amidohydrolase	(("G7409-MONOMER", 2))
TRANSALDOLB-CPLX	transaldolase B	(("TRANSALDOLB-MONOMER", 2))
CPLX0-1142	formyl-CoA transferase	(("G7237-MONOMER", 2))
ENTA-CPLX	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase	(("ENTA-MONOMER", 8))
ABC-32-CPLX	thiamin ABC transporter	(("SFUA-MONOMER", 1) ("SFUB-MONOMER", 2) ("SFUC-MONOMER", 2))
CPLX0-1669	short chain acyl-CoA synthetase	(("EG12357-MONOMER", 2))
CPLX0-245	alkylhydroperoxide reductase	(("EG11385-MONOMER", 1) ("EG11384-MONOMER", 1))
GALACTOACETYLTRAN-CPLX	galactoside O-acetyltransferase	(("GALACTOACETYLTRAN-MONOMER", 3))
CPLX0-7977	16S rRNA m<sup>4</sup>C1402 methyltransferase	(("EG11085-MONOMER", 2))
CPLX0-1262	D-arabinose 5-phosphate isomerase	(("G7662-MONOMER", 4))
CHEZ-CPLX	CheZ	(("CHEZ-MONOMER", 2))
SULFITE-REDUCT-CPLX	sulfite reductase	(("BETACOMP-MONOMER", 4) ("CPLX0-7841", 1) ("ALPHACOMP-MONOMER", 8))
CPLX0-7978	RcsB-P-phosphate	(("PHOSPHO-RCSB", 2))
ADENPRIBOSYLTRAN-CPLX	adenine phosphoribosyltransferase	(("ADENPRIBOSYLTRAN-MONOMER", 2))
ETHAMLY-CPLX	ethanolamine ammonia-lyase	(("EUTC-MONOMER", 6) ("EUTB-MONOMER", 6))
GSP-CPLX	fused glutathionylspermidine amidase / glutathionylspermidine synthetase	(("GSP-MONOMER", 2))
ABC-55-CPLX	YcjN/YcjO/YcjP ABC transporter	(("YCJN-MONOMER", 1) ("YCJO-MONOMER", 1) ("YCJP-MONOMER", 1))
SORB6PDEHYDROG-CPLX	sorbitol-6-phosphate dehydrogenase	(("SORB6PDEHYDROG-MONOMER", 4))
CPLX0-7928	RelB-antitoxin and DNA-binding transcriptional repressor	(("EG10836-MONOMER", 4))
PABSYNMULTI-CPLX	<i>para</i>-aminobenzoate synthase multi-enzyme complex	(("ADCLY-CPLX", 1) ("ADCLY-MONOMER", 2) ("PABASYN-CPLX", 1) ("PABASYN-COMPI-MONOMER", 1) ("PABASYN-COMPII-MONOMER", 1))
ABC-10-CPLX	ferric enterobactin ABC transporter	(("FEPB-MONOMER", 1) ("FEPG-MONOMER", 1) ("FEPD-MONOMER", 1) ("FEPC-MONOMER", 2))
CPLX0-7645	L-fucose mutarotase	(("EG10355-MONOMER", 6))
GLUTAMINB-CPLX	glutaminase B	(("GLUTAMINB-MONOMER", 4))
CPLX0-1943	ferric citrate outer membrane transport complex	(("CPLX0-1923", 1) ("EG11012-MONOMER", 1) ("EG10271-MONOMER", 1) ("EG10272-MONOMER", 1) ("EG10286-MONOMER", 1))
CPLX0-2561	bacterial condensin MukBEF	(("CPLX0-7697", 1) ("EG11252-MONOMER", 4) ("EG12165-MONOMER", 2) ("CPLX0-7698", 1) ("CPLX0-7696", 1) ("EG10618-MONOMER", 2))
CPLX0-7418	MprA DNA-binding transcriptional repressor	(("EG10603-MONOMER", 2))
CPLX0-7630	multifunctional acyl-CoA thioesterase I and protease I and lysophospholipase L1	(("THIOESTERI-MONOMER", 4))
PC00033	PurR transcriptional repressor	(("PD00219", 2))
PC00004	CRP transcriptional dual regulator	(("PD00257", 2))
CPLX0-7798	protein involved in threonylcarbamoyladenosine biosynthesis	(("EG11757-MONOMER", 2))
ERYTH4PDEHYDROG-CPLX	erythrose 4-phosphate dehydrogenase	(("ERYTH4PDEHYDROG-MONOMER", 4))
TRPS-CPLX	tryptophanyl-tRNA synthetase	(("TRPS-MONOMER", 2))
UVRABC-CPLX	UvrABC Nucleotide Excision Repair Complex	(("EG11062-MONOMER", 1) ("EG11063-MONOMER", 1) ("EG11061-MONOMER", 1) ("EG11064-MONOMER", 1))
CPLX0-3107	ClpXP	(("CPLX0-3102", 2) ("EG10159-MONOMER", 12) ("CPLX0-3101", 1) ("EG10158-MONOMER", 14))
CPLX0-1642	ribonuclease E inhibitor protein A	(("EG11879-MONOMER", 3))
CPLX0-7981	mechanosensitive channel of miniconductance YbdG	(("G6323-MONOMER", 7))
BETAGALACTOSID-CPLX	&beta;-galactosidase	(("BETAGALACTOSID-MONOMER", 4))
PHES-CPLX	phenylalanyl-tRNA synthetase	(("PHET-MONOMER", 2) ("PHES-MONOMER", 2))
CYSSYNMULTI-CPLX	bifunctional CysEK cysteine biosynthesis complex	(("ACSERLYA-CPLX", 1) ("ACSERLYA-MONOMER", 2) ("CPLX0-237", 1) ("SERINE-O-ACETTRAN-MONOMER", 6))
PEPSYNTH-CPLX	phosphoenolpyruvate synthetase	(("PEPSYNTH-MONOMER", 2))
ACETOLACTSYNII-CPLX	acetohydroxybutanoate synthase / acetolactate synthase	(("SMALLILVM-MONOMER", 1) ("LARGEILVG-MONOMER", 1) ("G8221-MONOMER", 1))
CPLX0-761	xanthine dehydrogenase	(("G7487-MONOMER", 1) ("G7486-MONOMER", 1) ("G7485-MONOMER", 1))
CPLX0-3881	GDP-fucose synthase	(("FCL-MONOMER", 2))
CPLX0-7644	EfeU/EfeO/EfeB ferrous iron transporter; cryptic	(("EG11735-MONOMER", 1) ("G6527-MONOMER", 1) ("G6525-MONOMER", 1))
ARCB-CPLX	ArcB sensory histidine kinase	(("ARCB-MONOMER", 2))
DHPDIOXYGEN-CPLX	2,3-dihydroxyphenylpropionate 1,2-dioxygenase	(("DHPDIOXYGEN-MONOMER", 4))
CPLX0-2641	molecular chaperone, HSP90 family	(("EG10461-MONOMER", 2))
CPLX0-7744	3-keto-L-gulonate 6-phosphate decarboxylase	(("G7858-MONOMER", 2))
ASPCARBREG-DIMER	aspartate carbamoyltransferase, regulatory subunit	(("ASPCARBREG-MONOMER", 2))
CPLX0-7428	sulfate adenylyltransferase	(("SULFATE-ADENYLYLTRANS-CPLX", 4) ("CYSD-MONOMER", 4) ("CYSN-MONOMER", 4))
PC00007	TrpR transcriptional repressor	(("PD00423", 2))
THIOREDOXIN-REDUCT-NADPH-CPLX	thioredoxin reductase	(("THIOREDOXIN-REDUCT-NADPH-MONOMER", 2))
CPLX0-3821	HypA-HypB heterodimer	(("EG10484-MONOMER", 1) ("EG10483-MONOMER", 1))
PC00010	LexA DNA-binding transcriptional repressor	(("PD00205", 2))
CPLX0-3933	Outer Membrane Protein Assembly Complex	(("G7320-MONOMER", 1) ("G6093-MONOMER", 1) ("G7352-MONOMER", 1) ("EG10658-MONOMER", 1) ("EG10952-MONOMER", 1))
CPLX0-7658	<i>N</i>-acetylneuraminate mutarotase	(("G7920-MONOMER", 2))
MALIC-NADP-CPLX	malate dehydrogenase	(("MALIC-NADP-MONOMER", 6))
E1O	2-oxoglutarate decarboxylase, thiamine-requiring	(("E1O-MONOMER", 12))
ABC-26-CPLX	glycine betaine / proline ABC transporter	(("PROX-MONOMER", 1) ("PROW-MONOMER", 2) ("PROV-MONOMER", 2))
CPLX0-242	thiosulfate sulfurtransferase	(("EG10395-MONOMER", 2))
CPLX0-901	tRNA-specific adenosine deaminase	(("EG11372-MONOMER", 2))
CPLX0-7	N-acetylmuramic acid PTS permease	(("CRR-MONOMER", 1) ("MONOMER0-5", 1))
AKBLIG-CPLX	2-amino-3-ketobutyrate CoA ligase	(("AKBLIG-MONOMER", 2))
CPLX0-3741	glutamyl-tRNA reductase	(("GLUTRNAREDUCT-MONOMER", 2))
CPLX-158	fructose PTS permease	(("FRUA-MONOMER", 2) ("FRUB-MONOMER", 1))
E3-CPLX	lipoamide dehydrogenase	(("E3-MONOMER", 2))
CPLX0-7732	<i>N</i>-acetylmuramic acid 6-phosphate etherase	(("G7263-MONOMER", 2))
CPLX0-7982	mechanosensitive channel YnaI	(("MONOMER0-82", 7))
ABC-35-CPLX	protoheme IX ABC transporter	(("CCMA-MONOMER", 2) ("CCMB-MONOMER", 1) ("CPLX0-7656", 1) ("EG12169-MONOMER", 1) ("CCME-MONOMER", 1) ("CCMC-MONOMER", 1))
CPLX0-3948	XTPase / ITPase	(("EG12600-MONOMER", 2))
CPLX-154	&beta;-glucoside PTS permease BglF - cryptic	(("BGLF-MONOMER", 2))
ACETYLORNDEACET-CPLX	acetylornithine deacetylase	(("ACETYLORNDEACET-MONOMER", 2))
BRANCHED-CHAINAMINOTRANSFER-CPLX	branched-chain amino-acid aminotransferase	(("BRANCHED-CHAINAMINOTRANSFER-MONOMER", 6))
YDGEF-CPLX	spermidine efflux transporter	(("B1599-MONOMER", 1) ("B1600-MONOMER", 1))
CPLX0-1162	HslV hexamer	(("EG11676-MONOMER", 6))
CPLX0-7623	regulator of acid resistance, influenced by indole	(("G6606-MONOMER", 2))
FORMHYDROGI-CPLX	hydrogenase 1	(("HYAC-MONOMER", 1) ("HYAB-MONOMER", 1) ("HYAA-MONOMER", 1))
L-GLN-FRUCT-6-P-AMINOTRANS-CPLX	L-glutamine:D-fructose-6-phosphate aminotransferase	(("L-GLN-FRUCT-6-P-AMINOTRANS-MONOMER", 2))
CPLX0-3362	connecting fragment of NADH dehydrogenase I	(("NUOI-MONOMER", 1) ("NUOC-MONOMER", 1) ("NUOB-MONOMER", 1))
TMAOREDUCTI-CPLX	trimethylamine N-oxide reductase I	(("TORA-MONOMER", 2) ("EG11815-MONOMER", 1))
CPLX0-3952	riboflavin synthase	(("RIBOFLAVIN-SYN-MONOMER", 3))
CPLX0-721	2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	(("EG11816-MONOMER", 3))
CPLX0-7776	fructose-1,6-bisphosphatase	(("EG11245-MONOMER", 2))
CPLX0-3951	penicillin-binding protein 1B	(("EG10605-MONOMER", 2))
CPLX0-7462	shikimate dehydrogenase / quinate dehydrogenase	(("EG11234-MONOMER", 2))
CPLX0-1261	transketolase II	(("TRANSKETOII-MONOMER", 1))
UPPSYN-CPLX	undecaprenyl diphosphate synthase	(("UPPSYN-MONOMER", 2))
FRUCBISALD-CLASSI	fructose bisphosphate aldolase class I	(("FRUCBISALD-CLASSI-MONOMER", 10))
PPX-CPLX	exopolyphosphatase	(("PPX-MONOMER", 2))
DIHYDRODIPICSYN-CPLX	4-hydroxy-tetrahydrodipicolinate synthase	(("DIHYDRODIPICSYN-MONOMER", 4))
GLYCOPHOSPHORYL-CPLX	glycogen phosphorylase	(("GLYCOPHOSPHORYL-MONOMER", 2))
CPLX0-7820	predicted class I aldolase	(("G6804-MONOMER", 10))
CPLX0-240	tagatose-1,6-bisphosphate aldolase 1	(("G7631-MONOMER", 1) ("TAGAALDOL1-MONOMER", 1))
HMP-P-KIN-CPLX	hydroxymethylpyrimidine kinase / phosphohydroxymethylpyrimidine kinase	(("HMP-P-KIN-MONOMER", 4))
CHORISMUTPREPHENDEHYDROG-CPLX	chorismate mutase / prephenate dehydrogenase	(("CHORISMUTPREPHENDEHYDROG-MONOMER", 2))
FOLE-CPLX	GTP cyclohydrolase I	(("GTP-CYCLOHYDRO-I-MONOMER", 10))
NITRITREDUCT-CPLX	nitrite reductase	(("NIRB-CPLX", 1) ("NIRB-MONOMER", 2) ("NIRD-MONOMER", 1))
CPLX0-2121	EmrAB-TolC multidrug efflux transport system	(("CPLX0-7964", 1) ("EG11009-MONOMER", 3) ("EMRB-MONOMER", 1) ("EG11354-MONOMER", 1))
RIBONUCLEOSIDE-DIP-REDUCTI-CPLX	ribonucleoside diphosphate reductase 1	(("B2-CPLX", 1) ("NRDB-MONOMER", 2) ("B1-CPLX", 1) ("NRDA-MONOMER", 2))
PPPGPPHYDRO-CPLX	guanosine-5'-triphosphate, 3'-diphosphate pyrophosphatase	(("PPPGPPHYDRO-MONOMER", 2))
SERS-CPLX	seryl-tRNA synthetase	(("SERS-MONOMER", 2))
CPLX0-3201	murein DD-endopeptidase, penicillin-insensitive	(("EG10580-MONOMER", 2))
TRANS-CPLX-203	2,3-diketo-L-gulonate:Na<sup>+</sup> symporter	(("MONOMER0-422", 1) ("EG12282-MONOMER", 1) ("EG12283-MONOMER", 1))
SUPEROX-DISMUTFE-CPLX	superoxide dismutase (Fe)	(("SUPEROX-DISMUTFE-MONOMER", 2))
CREC-CPLX	CreC sensory histidine kinase	(("CREC-MONOMER", 2))
CPLX0-7945	zinc-binding phosphatase	(("G6540-MONOMER", 3))
PEPCARBOX-CPLX	phosphoenolpyruvate carboxylase	(("PEPCARBOX-MONOMER", 4))
DALADALALIGB-CPLX	D-alanine-D-alanine ligase B	(("DALADALALIGB-MONOMER", 2))
PC00040	CysB transcriptional dual regulator	(("PD00232", 4))
CPLX0-3101	ClpP serine protease	(("EG10158-MONOMER", 14))
CPLX0-3924	FKBP-type peptidyl-prolyl <i>cis-trans</i> isomerase (rotamase)	(("G7865-MONOMER", 2))
CPLX0-3930	FlhDC DNA-binding transcriptional dual regulator	(("MONOMER0-2488", 2) ("EG10320-MONOMER", 4))
RIB5PISOMB-CPLX	allose-6-phosphate isomerase / ribose-5-phosphate isomerase B	(("RIB5PISOMB-MONOMER", 2))
HSP70-CPLX	DnaK-DnaJ-GrpE chaperone system	(("EG10416-MONOMER", 1) ("EG10241-MONOMER", 1) ("EG10240-MONOMER", 1))
DXPREDISOM-CPLX	1-deoxy-D-xylulose 5-phosphate reductoisomerase	(("DXPREDISOM-MONOMER", 2))
CPLX0-1161	HslU hexamer	(("EG11881-MONOMER", 6))
APP-UBIOX-CPLX	cytochrome <i>bd</i>-II terminal oxidase	(("APPB-MONOMER", 1) ("APPC-MONOMER", 1))
CPLX0-7691	isovaleryl-CoA dehydrogenase and DNA-binding transcriptional repressor	(("EG11811-MONOMER", 4))
LTAA-CPLX	low-specificity L-threonine aldolase	(("LTAA-MONOMER", 4))
FUMARASE-A	fumarase A	(("FUMA-MONOMER", 2))
ASPCARBCAT-TRIMER	aspartate carbamoyltransferase, catalytic subunit	(("ASPCARBCAT-MONOMER", 3))
ABC-63-CPLX	Zn<sup>2+</sup> ABC transporter	(("ZNUA-MONOMER", 1) ("ZNUB-MONOMER", 2) ("ZNUC-MONOMER", 2))
COADTRI-CPLX	phosphopantetheine adenylyltransferase	(("PANTEPADENYLYLTRAN-MONOMER", 6))
CPLX0-7816	conserved DNA-binding protein	(("EG11100-MONOMER", 2))
PKI-COMPLEX	pyruvate kinase I	(("PKI-MONOMER", 4))
PROLINEMULTI-CPLX	&gamma;-glutamyl kinase-GP-reductase multienzyme complex	(("GLUTSEMIALDEHYDROG-CPLX", 1) ("GLUTSEMIALDEHYDROG-MONOMER", 4) ("GLUTKIN-CPLX", 1) ("GLUTKIN-MONOMER", 4))
CPLX0-7959	adenylosuccinate lyase	(("ASL-MONOMER", 4))
CPLX0-322	inosine-guanosine kinase	(("GSK-MONOMER", 2))
GLUTATHIONE-SYN-CPLX	glutathione synthetase	(("GLUTATHIONE-SYN-MONOMER", 4))
CPLX0-7652	L-rhamnose isomerase	(("RHAMNISOM-MONOMER", 4))
CPLX0-7936	5-phospho-&alpha;-D-ribosyl 1,2-cyclic phosphate phosphodiesterase	(("EG10725-MONOMER", 2))
CPLX0-7802	diguanylate cyclase	(("EG11643-MONOMER", 2))
CPLX0-7843	formate channel FocA	(("FOCA-MONOMER", 5))
SAICARSYN-CPLX	phosphoribosylaminoimidazole-succinocarboxamide synthase	(("SAICARSYN-MONOMER", 3))
CPLX0-7722	L-rhamnonate dehydratase	(("G7160-MONOMER", 8))
GLUTSEMIALDEHYDROG-CPLX	glutamate-5-semialdehyde dehydrogenase	(("GLUTSEMIALDEHYDROG-MONOMER", 4))
CPLX0-3971	GDP-mannose hydrolase	(("EG12410-MONOMER", 2))
PYRROLINECARBREDUCT-CPLX	pyrroline-5-carboxylate reductase	(("PYRROLINECARBREDUCT-MONOMER", 10))
GMP-SYN-CPLX	GMP synthetase	(("GMP-SYN-MONOMER", 2))
6PFK-1-CPX	6-phosphofructokinase I	(("6PFK-1-MONOMER", 4))
ASPCARBTRANS-CPLX	aspartate transcarbamylase	(("ASPCARBREG-DIMER", 3) ("ASPCARBREG-MONOMER", 6) ("ASPCARBCAT-TRIMER", 2) ("ASPCARBCAT-MONOMER", 6))
GCVMULTI-CPLX	glycine cleavage system	(("GCVT-MONOMER", 1) ("LIPOYL-GCVH", 1) ("GCVP-CPLX", 1) ("GCVP-MONOMER", 2) ("E3-CPLX", 1) ("E3-MONOMER", 2))
NARX-CPLX	NarX sensory histidine kinase	(("NARX-MONOMER", 2))
CPLX0-1621	ribonuclease G (RNAse G)	(("EG11299-MONOMER", 2))
CPLX0-3641	&gamma;-aminobutyraldehyde dehydrogenase	(("G6755-MONOMER", 4))
ABC-24-CPLX	putrescine / spermidine ABC transporter	(("POTD-MONOMER", 1) ("POTC-MONOMER", 1) ("POTB-MONOMER", 1) ("POTA-MONOMER", 2))
CPLX-3942	sulfur transfer protein complex	(("G7714-MONOMER", 2) ("G7713-MONOMER", 2) ("G7712-MONOMER", 2))
GUANYL-KIN-CPLX	guanylate kinase	(("GUANYL-KIN-MONOMER", 2))
CPLX0-7882	1,4-dihydroxy-2-naphthoyl-CoA synthase	(("NAPHTHOATE-SYN-MONOMER", 6))
PC00103	MngR DNA-binding transcriptional repressor	(("PD01103", 2))
CPLX0-7933	predicted carbamoyltransferase	(("G7489-MONOMER", 3))
CPLX0-7649	L-rhamnose mutarotase	(("EG11865-MONOMER", 2))
CPLX0-1321	HflK-HflC complex; regulator of FtsH protease	(("EG10435-MONOMER", 1) ("EG10436-MONOMER", 1))
CPLX0-7963	multidrug / betaine / choline efflux transporter EmrE	(("EMRE-MONOMER", 2))
CPLX0-7720	undecaprenyl-phosphate-&alpha;-L-Ara4N flippase	(("G7171-MONOMER", 1) ("MONOMER0-2682", 1))
DMBPPRIBOSYLTRANS-CPLX	nicotinate-nucleotide dimethylbenzimidazole phosphoribosyltransferase	(("DMBPPRIBOSYLTRANS-MONOMER", 2))
