"Metabolite Abbreviation"	"Metabolite Name"	"Neutral Formula"	"Charged Formula"	"Charge"	"Compartment"	"KEGG ID"	"CAS Number"	"Alternate Names"
"trnasecys[c]"	"tRNA(SeCys)"	"R"	"R"	0	"Cytosol"			"L-Selenocysteinyl-tRNA"
"trnaser[c]"	"tRNA(Ser)"	"R"	"R"	0	"Cytosol"	"C01650"		
"trnathr[c]"	"tRNA(Thr)"	"R"	"R"	0	"Cytosol"	"C01651"		
"trnatrp[c]"	"tRNA(Trp)"	"R"	"R"	0	"Cytosol"	"C01652"		
"trnatyr[c]"	"tRNA(Tyr)"	"R"	"R"	0	"Cytosol"	"C00787"		
"trnaval[c]"	"tRNA(Val)"	"R"	"R"	0	"Cytosol"	"C01653"		
"trp-L[c]"	"L-Tryptophan"	"C11H12N2O2"	"C11H12N2O2"	0	"Cytosol"	"C00078"	"73-22-3"	"(S)-alpha-amino-beta-(3-indolyl)-propionic acid"
"trptrna[c]"	"L-Tryptophanyl-tRNA(Trp)"	"C11H10N2OR"	"C11H11N2OR"	1	"Cytosol"	"C03512"		
"tsul[c]"	"Thiosulfate"	"H2O3S2"	"O3S2"	-2	"Cytosol"	"C00320"		"Hyposulfite"
"ttdca[c]"	"tetradecanoate (n-C14:0)"	"C14H28O2"	"C14H27O2"	-1	"Cytosol"	"C06424"	"544-63-8"	"Tetradecanoate/ neo-fat 14/ univol u 3165/ emery 655/ hydrofol acid 1495/ Myristic Acid/ n-tetradecoic acid/ 1-tridecanecarboxylic acid/ crodacid/ Myristate/ hystrene 9014/ n-Tetradecanoic Acid"
"ttdcap[c]"	"Tetradecanoyl-phosphate (n-C14:0)"	"C14H29O5P"	"C14H28O5P"	-1	"Cytosol"			
"ttdcea[c]"	"tetradecenoate (n-C14:1)"	"C14H26O2"	"C14H25O2"	-1	"Cytosol"			"tetradecenoic acid"
"ttdceap[c]"	"Tetradecanoyl-phosphate (n-C14:1)"	"C14H27O5P"	"C14H26O5P"	-1	"Cytosol"			
"tungs[c]"	"tungstate"	"H2O4W1"	"O4W1"	-2	"Cytosol"			
"tyr-L[c]"	"L-Tyrosine"	"C9H11NO3"	"C9H11NO3"	0	"Cytosol"	"C00082"	"60-18-4"	"(S)-3-(p-Hydroxyphenyl)alanine/ (S)-2-Amino-3-(p-hydroxyphenyl)propionic acid"
"tyrtrna[c]"	"L-Tyrosyl-tRNA(Tyr)"	"C9H9NO2R"	"C9H10NO2R"	1	"Cytosol"	"C02839"		
"u23ga[c]"	"UDP-2,3-bis(3-hydroxytetradecanoyl)glucosamine"	"C43H77N3O20P2"	"C43H75N3O20P2"	-2	"Cytosol"	"C04652"		"UDP-2,3-bis(beta-hydroxymyristoyl)-D-glucosamine/ UDP-2,3-bis(3-hydroxytetradecanoyl)-D-glucosamine"
"u3aga[c]"	"UDP-3-O-(3-hydroxytetradecanoyl)-N-acetylglucosamine"	"C31H53N3O19P2"	"C31H51N3O19P2"	-2	"Cytosol"	"C04738"		"UDP-3-O-(beta-hydroxymyristoyl)-N-acetylglucosamine"
"u3hga[c]"	"UDP-3-O-(3-hydroxytetradecanoyl)-D-glucosamine"	"C29H51N3O18P2"	"C29H50N3O18P2"	-1	"Cytosol"	"C06022"		"UDP-3-O-(beta-hydroxymyristoyl)-D-glucosamine"
"uLa4fn[c]"	"undecaprenyl phosphate-4-amino-4-formyl-L-arabinose"	"C61H100N1O8P1"	"C61H99N1O8P1"	-1	"Cytosol"			
"uLa4n[c]"	"undecaprenyl phosphate-4-amino-4-deoxy-L-arabinose"	"C60H100N1O7P1"	"C60H100N1O7P1"	0	"Cytosol"			"undecaprenyl phosphate-L-Ara4N"
"uaagmda[c]"	"Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-ala-D-glu-meso-2,6-diaminopimeloyl-D-ala-D-ala"	"C95H156N8O28P2"	"C95H152N8O28P2"	-4	"Cytosol"	"C05898"		"Peptidoglycan Unit (tv)"
"uaccg[c]"	"UDP-N-acetyl-3-O-(1-carboxyvinyl)-D-glucosamine"	"C20H29N3O19P2"	"C20H26N3O19P2"	-3	"Cytosol"	"C04631"		"UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine/ UDP-N-acetylglucosamine-3-O-pyruvateether/ common abbr: UDP-NAcGlc-enolpyruvate"
"uacgam[c]"	"UDP-N-acetyl-D-glucosamine"	"C17H27N3O17P2"	"C17H25N3O17P2"	-2	"Cytosol"	"C00043"		"UDP-N-acetylglucosamine/ common abbr: UDP-NAcGlc/ UDP-GlcNAc"
"uacmam[c]"	"UDP-N-acetyl-D-mannosamine"	"C17H27N3O17P2"	"C17H25N3O17P2"	-2	"Cytosol"	"C01170"		"UDP-ManNAc"
"uacmamu[c]"	"UDP-N-acetyl-D-mannosaminouronate"	"C17H25N3O18P2"	"C17H22N3O18P2"	-3	"Cytosol"	"C06240"		"UDP-N-acetyl-D-mannosaminouronate/ UDP-N-acetyl-2-amino-2-deoxy-D-mannuronate"
"uagmda[c]"	"Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine"	"C87H143N7O23P2"	"C87H139N7O23P2"	-4	"Cytosol"	"C05897"		"N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminoheptane- D-alanyl-D-alanine-diphosphoundecaprenol"
"uama[c]"	"UDP-N-acetylmuramoyl-L-alanine"	"C23H36N4O20P2"	"C23H33N4O20P2"	-3	"Cytosol"	"C01212"		"common abbr: UDP-NAcMur-(L)-Ala"
"uamag[c]"	"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate"	"C28H43N5O23P2"	"C28H39N5O23P2"	-4	"Cytosol"	"C00692"		
"uamr[c]"	"UDP-N-acetylmuramate"	"C20H31N3O19P2"	"C20H28N3O19P2"	-3	"Cytosol"	"C01050"		"UDP-MurNac/ common abbr: UDP-NAcMur"
"udcpdp[c]"	"Undecaprenyl diphosphate"	"C55H92O7P2"	"C55H89O7P2"	-3	"Cytosol"	"C04574"		"Undecaprenyl pyrophosphate"
"udcpp[c]"	"Undecaprenyl phosphate"	"C55H91O4P"	"C55H89O4P"	-2	"Cytosol"	"C00348"		"di-trans-poly-cis-undecaprenyl-phosphate"
"udp[c]"	"UDP"	"C9H14N2O12P2"	"C9H11N2O12P2"	-3	"Cytosol"	"C00015"	"58-98-0"	"Uridine 5'-diphosphate/ uridine diphosphate/ 5'-uridylate diphosphate"
"udpLa4fn[c]"	"uridine 5''-diphospho-{beta}-4-deoxy-4-formamido-L-arabinose"	"C15H23N3O16P2"	"C15H21N3O16P2"	-2	"Cytosol"	"C16154"		"UDP-L-Ara4-Formyl-N/ UDP-L-Ara4FN"
"udpLa4n[c]"	"uridine 5''-diphospho-{beta}-4-deoxy-4-amino-L-arabinose"	"C14H23N3O15P2"	"C14H22N3O15P2"	-1	"Cytosol"	"C16153"		"UDP-4-amino-4-deoxy-L-arabinose/ UDP-L-Ara4N"
"udpLa4o[c]"	"UDP-4-keto-pyranose"	"C14H20N2O16P2"	"C14H18N2O16P2"	-2	"Cytosol"	"C16155"		"uridine 5'-ß-L-threo-pentapyranosyl-4-ulose diphosphate/ UDP-L-Ara4O"
"udpg[c]"	"UDPglucose"	"C15H24N2O17P2"	"C15H22N2O17P2"	-2	"Cytosol"	"C00029"		"UDP-D-glucose"
"udpgal[c]"	"UDPgalactose"	"C15H24N2O17P2"	"C15H22N2O17P2"	-2	"Cytosol"	"C00052"		"UDP-D-galactopyranose/ UDP-D-galactose"
"udpgalfur[c]"	"UDP-D-galacto-1,4-furanose"	"C15H24N2O17P2"	"C15H22N2O17P2"	-2	"Cytosol"	"C03733"	"638-23-3"	
"udpglcur[c]"	"UDP-D-glucuronate"	"C15H22N2O18P2"	"C15H19N2O18P2"	-3	"Cytosol"	"C00167"		"UDPglucuronate/ UDP-GlcA"
"ugmd[c]"	"UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate"	"C35H55N7O26P2"	"C35H51N7O26P2"	-4	"Cytosol"	"C04877"		"UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminoheptanedioate/ UDP-MurNac-tripeptide"
"ugmda[c]"	"UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine"	"C41H65N9O28P2"	"C41H61N9O28P2"	-4	"Cytosol"	"C04882"		"UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysyl-D-alanyl-D-alanine"
"um4p[c]"	"UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate-D-alanine"	"C38H60N8O27P2"	"C38H56N8O27P2"	-4	"Cytosol"	"C04804"		"UDP-N-acetylmuramoyl-tetrapeptide"
"ump[c]"	"UMP"	"C9H13N2O9P"	"C9H11N2O9P"	-2	"Cytosol"	"C00105"	"58-97-9"	"Uridylic acid/ Uridine monophosphate/ Uridine 5'-monophosphate/ 5'Uridylic acid"
"unaga[c]"	"Undecaprenyl diphospho N-acetyl-glucosamine"	"C63H105NO12P2"	"C63H103NO12P2"	-2	"Cytosol"	"C01289"		"Lipid I in Enterobacterial Common Antigen"
"unagamu[c]"	"Undecaprenyl-diphospho-N-acetylglucosamine-N-acetylmannosaminuronate"	"C71H116N2O18P2"	"C71H113N2O18P2"	-3	"Cytosol"			"Lipid II in Enterobacterial Common Antigen"
"unagamuf[c]"	"Undecaprenyl-diphospho N-acetylglucosamine-N-acetylmannosaminuronate-N-acetamido-4,6-dideoxy-D-galactose"	"C79H129N3O22P2"	"C79H126N3O22P2"	-3	"Cytosol"			"ECA/ Lipid III in Enterobacterial Common Antigen"
"uppg3[c]"	"Uroporphyrinogen III"	"C40H44N4O16"	"C40H36N4O16"	-8	"Cytosol"	"C01051"	"1976-85-8"	
"ura[c]"	"Uracil"	"C4H4N2O2"	"C4H4N2O2"	0	"Cytosol"	"C00106"	"66-22-8"	"2,4-dioxy pyrimidine/ 2,4-Dihydroxypyrimidine/ U/ 2,4(1H,3H)-Pyrimidinedione"
"uracp[c]"	"Ureidoacrylate peracid"	"C4H6N2O4"	"C4H6N2O4"	0	"Cytosol"			
"urate[c]"	"Urate"	"C5H4N4O3"	"C5H4N4O3"	0	"Cytosol"	"C00366"	"69-93-2"	"2,6,8-trioxypurine/ Uric oxide/ Lithic acid/ 8-Hydroxyxanthine/ Uric acid"
"urdglyc[c]"	"(-)-Ureidoglycolate"	"C3H5N2O4"	"C3H5N2O4"	-1	"Cytosol"	"C00603"		"(S)-Ureidoglycolate"
"urea[c]"	"Urea"	"CH4N2O"	"CH4N2O"	0	"Cytosol"	"C00086"	"57-13-6"	"Carbonyl diamine/ Carbamimidic acid/ aquadrate/ Isourea/ Carbamide"
"uri[c]"	"Uridine"	"C9H12N2O6"	"C9H12N2O6"	0	"Cytosol"	"C00299"	"58-96-8"	
"utp[c]"	"UTP"	"C9H15N2O15P3"	"C9H11N2O15P3"	-4	"Cytosol"	"C00075"	"63-39-8"	"Uridine 5'-triphosphate/ Uridine triphosphate/ rUTP/ 5'-uridylate triphosphate"
"val-L[c]"	"L-Valine"	"C5H11NO2"	"C5H11NO2"	0	"Cytosol"	"C00183"	"72-18-4"	"2-Aminoisovaleric acid/ Val/ 2-Amino-3-methylbutyric acid"
"valtrna[c]"	"L-Valyl-tRNA(Val)"	"C5H9NOR"	"C5H10NOR"	1	"Cytosol"	"C02554"		
"wco[c]"	"tungsten binding cofactor"	"C10H12N5O8PS2W"	"C10H10N5O8PS2W"	-2	"Cytosol"			
"xan[c]"	"Xanthine"	"C5H4N4O2"	"C5H4N4O2"	0	"Cytosol"	"C00385"	"69-89-6"	"2,6-Dioxopurine"
"xdp[c]"	"XDP"	"C10H14N4O12P2"	"C10H11N4O12P2"	-3	"Cytosol"	"C01337"		
"xmp[c]"	"Xanthosine 5'-phosphate"	"C10H13N4O9P"	"C10H11N4O9P"	-2	"Cytosol"	"C00655"	"523-98-8"	"XMP/ Xanthylic acid/ (9-D-Ribosylxanthine)-5'-phosphate"
"xtp[c]"	"XTP"	"C10H15N4O15P3"	"C10H11N4O15P3"	-4	"Cytosol"	"C00700"		
"xtsn[c]"	"Xanthosine"	"C10H12N4O6"	"C10H12N4O6"	0	"Cytosol"	"C01762"	"146-80-5"	
"xu5p-D[c]"	"D-Xylulose 5-phosphate"	"C5H11O8P"	"C5H9O8P"	-2	"Cytosol"	"C00231"		
"xu5p-L[c]"	"L-Xylulose 5-phosphate"	"C5H11O8P"	"C5H9O8P"	-2	"Cytosol"	"C03291"		
"xyl-D[c]"	"D-Xylose"	"C5H10O5"	"C5H10O5"	0	"Cytosol"	"C00181"	"58-86-6"	"Wood sugar"
"xylu-D[c]"	"D-Xylulose"	"C5H10O5"	"C5H10O5"	0	"Cytosol"	"C00310"	"551-84-8"	"D-threo-Pentulose/ D-Lyxulose"
"xylu-L[c]"	"L-Xylulose"	"C5H10O5"	"C5H10O5"	0	"Cytosol"	"C00312"	"527-50-4"	"L-threo-Pentulose/ L-Lyxulose"
"zn2[c]"	"Zinc"	"Zn"	"Zn"	2	"Cytosol"	"C00038"	"7440-66-6"	"Zn2+/ Zn(II)"
"12ppd-R[e]"	"(R)-Propane-1,2-diol"	"C3H8O2"	"C3H8O2"	0	"Extra-organism"	"C02912"	"4254-14-2"	"(R)-1,2-Propanediol/ (R)-Propylene glycol/ D-1,2-propanediol"
"12ppd-S[e]"	"(S)-Propane-1,2-diol"	"C3H8O2"	"C3H8O2"	0	"Extra-organism"	"C02917"	"4254-14-3"	"(S)-1,2-Propanediol/ (S)-Propylene glycol/ L-1,2-propanediol"
"14glucan[e]"	"1,4-alpha-D-glucan"	"C36H62O31"	"C36H62O31"	0	"Extra-organism"	"C00718"		
"15dap[e]"	"1,5-Diaminopentane"	"C5H14N2"	"C5H16N2"	2	"Extra-organism"	"C01672"	"462-94-2"	"Cadaverine/ 1,5-Pentanediamine/ Pentamethylenediamine"
"23camp[e]"	"2',3'-Cyclic AMP"	"C10H12N5O6P"	"C10H11N5O6P"	-1	"Extra-organism"	"C02353"		"Adenosine-2’,3’-cyclicmonophosphate"
"23ccmp[e]"	"2',3'-Cyclic CMP"	"C9H12N3O7P"	"C9H11N3O7P"	-1	"Extra-organism"	"C02354"		
"23cgmp[e]"	"2',3'-Cyclic GMP"	"C10H12N5O7P"	"C10H11N5O7P"	-1	"Extra-organism"	"C06194"		
"23cump[e]"	"2',3'-Cyclic UMP"	"C9H11N2O8P"	"C9H10N2O8P"	-1	"Extra-organism"	"C02355"		
"23dappa[e]"	"2,3-diaminopropionate"	"C3H8N2O2"	"C3H9N2O2"	1	"Extra-organism"	"C06393"		"2,3-Diaminopropionic acid/ 2,3-Diaminopropanoate/ 2,3-Diaminopropanoic acid/ 2,3-Diaminopropionate"
"26dap-M[e]"	"meso-2,6-Diaminoheptanedioate"	"C7H14N2O4"	"C7H14N2O4"	0	"Extra-organism"	"C00680"		"meso-2,6-Diaminopimelic acid/ meso-2,6-Diaminopimelate"
"2ddglcn[e]"	"2-Dehydro-3-deoxy-D-gluconate"	"C6H10O6"	"C6H9O6"	-1	"Extra-organism"	"C00204"		"2-Keto-3-deoxy-D-gluconate"
"34dhpac[e]"	"3,4-Dihydroxyphenylacetaldehyde"	"C8H8O3"	"C8H8O3"	0	"Extra-organism"	"C04043"		"3,4-Dihydroxyphenylacetaldehyde/ Protocatechuatealdehyde"
"3amp[e]"	"3'-AMP"	"C10H14N5O7P"	"C10H12N5O7P"	-2	"Extra-organism"	"C01367"	"84-21-9"	"3'-Adenylic acid/ 3'-Adenosine monophosphate/ AMP 3'-phosphate/ Adenosine-3'-monophosphate/ Adenosine 3'-phosphate"
"3cmp[e]"	"3'-cmp"	"C9H14N3O8P"	"C9H12N3O8P"	-2	"Extra-organism"	"C05822"		"cytidine-3'-phosphate/ cytidine-3'-monophosphate"
"3gmp[e]"	"3'-GMP"	"C10H14N5O8P"	"C10H12N5O8P"	-2	"Extra-organism"	"C06193"		"Guanosine 3'-phosphate/ 3'-Guanylic acid/ Guo-3'-P/ Gp"
"3hcinnm[e]"	"3-hydroxycinnamic acid"	"C9H8O3"	"C9H7O3"	-1	"Extra-organism"			"3-hydroxycinnamate"
"3hpp[e]"	"3-Hydroxypropanoate"	"C3H6O3"	"C3H5O3"	-1	"Extra-organism"	"C01013"	"503-66-2"	"3-Hydroxyisobutyric acid/ 3-Hydroxypropionic acid/ 3-Hydroxypropanoic acid/ 3-Hydroxypropionate/ 3-Hydroxyisobutyrate/ 3-Hydropropenoate/ Hydracrylic acid/ 3-Hydropropionic acid"
"3hpppn[e]"	"3-(3-hydroxy-phenyl)propionate"	"C9H10O3"	"C9H9O3"	-1	"Extra-organism"	"C11457"		
"3ump[e]"	"3'-UMP"	"C9H13N2O9P"	"C9H11N2O9P"	-2	"Extra-organism"	"C01368"	"35170-03-7"	"Uridine 3'-monophosphate/ Uridine 3'-phosphate"
"4abut[e]"	"4-Aminobutanoate"	"C4H9NO2"	"C4H9NO2"	0	"Extra-organism"	"C00334"	12/02/56	"GABA/ 4-Aminobutanoic acid/ 4-Aminobutylate/ 4-Aminobutyric acid/ gamma-Aminobutyric acid/ (4-Aminobutyl)guanidine"
"4hoxpacd[e]"	"4-Hydroxyphenylacetaldehyde"	"C8H8O2"	"C8H8O2"	0	"Extra-organism"	"C03765"	11/07/60	"2-(4-Hydroxyphenyl)acetaldehyde"
"5dglcn[e]"	"5-Dehydro-D-gluconate"	"C6H10O7"	"C6H9O7"	-1	"Extra-organism"	"C01062"		"5-k-gluconate/ 5-ketogluconate/ 5-Dehydrogluconate/ 5-keto-D-gluconate"
"5mtr[e]"	"5-Methylthio-D-ribose"	"C6H12O4S"	"C6H12O4S"	0	"Extra-organism"	"C03089"		"S5-Methyl-5-thio-D-ribose"
"LalaDglu[e]"	"L-alanine-D-glutamate"	"C8H14N2O5"	"C8H13N2O5"	-1	"Extra-organism"			"ala-L-glu-D/ alaglu"
"LalaDgluMdap[e]"	"L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate"	"C15H26N4O8"	"C15H25N4O8"	-1	"Extra-organism"			"ala-L-glu-D-A2pm"
"LalaDgluMdapDala[e]"	"L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate-D-alanine"	"C18H31N5O9"	"C18H30N5O9"	-1	"Extra-organism"			"ala-L-glu-D-A2pm-ala-D"
"LalaLglu[e]"	"L-alanine-L-glutamate"	"C8H14N2O5"	"C8H13N2O5"	-1	"Extra-organism"			"ala-L-glu-L"
"ac[e]"	"Acetate"	"C2H4O2"	"C2H3O2"	-1	"Extra-organism"	"C00033"	"71-50-1"	"vinegar/ Ethylic acid/ Vinegar acid/ Methanecarboxylic acid/ Acetic acid/ Ethanoic acid"
"acac[e]"	"Acetoacetate"	"C4H6O3"	"C4H5O3"	-1	"Extra-organism"	"C00164"	"541-50-4"	"Acetoacetic acid/ beta-Ketobutyric acid/ 3-Oxobutanoic acid"
"acald[e]"	"Acetaldehyde"	"C2H4O"	"C2H4O"	0	"Extra-organism"	"C00084"	"75-07-0"	"Aldehyde C(2)/ acetylaldehyde/ Aceteldehyde/ Acetic aldehyde/ Ethyl aldehyde/ Aldehyde/ Ethanal"
"acgal[e]"	"N-Acetyl-D-galactosamine"	"C8H17NO6"	"C8H15NO6"	0	"Extra-organism"	"C01132"	"14215-68-0"	"N-Acetyl-D-chondrosamine/ 2-Acetamido-2-deoxy-D-galactose/ GalNAc"
"acgal1p[e]"	"N-Acetyl-D-galactosamine 1-phosphate"	"C8H16NO9P"	"C8H14NO9P"	-2	"Extra-organism"	"C18060"		
"acgam[e]"	"N-Acetyl-D-glucosamine"	"C8H15NO6"	"C8H15NO6"	0	"Extra-organism"	"C00140"	"7512-17-6"	"N-Acetylchitosamine/ 2-Acetamido-2-deoxy-D-glucose/ GlcNAc"
"acgam1p[e]"	"N-Acetyl-D-glucosamine 1-phosphate"	"C8H16NO9P"	"C8H14NO9P"	-2	"Extra-organism"	"C04256"		
"acmana[e]"	"N-Acetyl-D-mannosamine"	"C8H15NO6"	"C8H15NO6"	0	"Extra-organism"	"C00645"	"3615-17-6"	"2-Acetamido-2-deoxy-D-monnose"
"acmum[e]"	"N-Acetylmuramate"	"C11H19NO8"	"C11H18NO8"	-1	"Extra-organism"	"C02713"	"61633-75-8"	"N-Acetylmuramate/ N-Acetylmuramic acid"
"acnam[e]"	"N-Acetylneuraminate"	"C11H19NO9"	"C11H18NO9"	-1	"Extra-organism"	"C00270"	"131-48-6"	"5-Acetamido-3,5-dideoxy-D-glycero-D-galacto-2-nonulosonic acid/ N-Acetylneuraminic acid/ Neu5Ac"
"acolipa[e]"	"4-Amino-4-deoxy-L-arabinose modified core oligosaccharide lipid A"	"C181H323N3O103P4"	"C181H314N3O103P4"	-9	"Extra-organism"			"L-Ara4N core oligosaccharide lipid A"
"acser[e]"	"O-Acetyl-L-serine"	"C5H9NO4"	"C5H9NO4"	0	"Extra-organism"	"C00979"	"66638-22-0"	"O3-Acetyl-L-serine"
"ade[e]"	"Adenine"	"C5H5N5"	"C5H5N5"	0	"Extra-organism"	"C00147"	"73-24-5"	"A/ Ade/ 1H-Purin-6-amine/ Adeninimine/ Vitamin B4/ 6-Aminopurine"
"adn[e]"	"Adenosine"	"C10H13N5O4"	"C10H13N5O4"	0	"Extra-organism"	"C00212"	"58-61-7"	"9-beta-D-Ribofuranosyladenine/ Adenocard/ 9-B-D-ribofuranosyl-9H-purin-6-amine/ rA/ Adenine riboside"
"adocbl[e]"	"Adenosylcobalamin"	"C72H100CoN18O17P"	"C72H100CoN18O17P"	0	"Extra-organism"	"C00194"	"13870-90-1"	"Dibencozide/ Funacomide/ Adenosylcobalamin/ Deoxyadenosylcobalamin/ Cobamamide/ Vitamin B12 coenzyme/ (5'-Deoxy-5'-adenosyl)cobamide coenzyme/ 6-Dimethylbenzimidazolyl-5-deoxyadenosyl-cobamide/ 6-Dimethylbenzimidazolyl-Co-5'-deoxy-5'-adenosylcobamide/ 5'-Deoxy-5'-adenosyl-5/ 6-dimethylbenzimidazolyl)cobamide coenzyme/ 6-dimethylbenzimidazolylcobamide/ 5'-Deoxy-5'-adenosyl vitamin B12/ Calomide/ Coenzyme B12/ DMBC coenzyme/ 6-Dimethylbenzimidazolyl)cobamide coenzyme/ 5'-Deoxy-5'-adenosylcobalamin/ Cobalamin coenzyme"
"ag[e]"	"silver"	"Ag"	"Ag"	1	"Extra-organism"	"C06710"	"7440-22-4"	"Argentum/ Ag/ Ag+"
"agm[e]"	"Agmatine"	"C5H14N4"	"C5H16N4"	2	"Extra-organism"	"C00179"	"306-60-5"	"(4-Aminobutyl) guanidine"
"akg[e]"	"2-Oxoglutarate"	"C5H6O5"	"C5H4O5"	-2	"Extra-organism"	"C00026"	"328-50-7"	"alpha-Ketoglutarate/ Oxoglutaric acid/ 2-Ketoglutaric acid/ alpha-Ketoglutaric Acid"
"ala-B[e]"	"beta-Alanine"	"C3H7NO2"	"C3H7NO2"	0	"Extra-organism"	"C00099"	"107-95-9"	"3-aminopropionic acid/ 3-Aminopropanoate"
"ala-D[e]"	"D-Alanine"	"C3H7NO2"	"C3H7NO2"	0	"Extra-organism"	"C00133"	"338-69-2"	"D-2-Aminopropionic acid"
"ala-L[e]"	"L-Alanine"	"C3H7NO2"	"C3H7NO2"	0	"Extra-organism"	"C00041"	"56-41-7"	"L-2-Aminopropionic acid/ L-alpha-Alanine"
"alaala[e]"	"D-Alanyl-D-alanine"	"C6H12N2O3"	"C6H12N2O3"	0	"Extra-organism"	"C00993"	"923-16-0"	"DalaDala/ D-ala-D-ala"
"all-D[e]"	"D-Allose"	"C6H12O6"	"C6H12O6"	0	"Extra-organism"	"C01487"	"2595-97-3"	"D-Allose"
"alltn[e]"	"Allantoin"	"C4H6N4O3"	"C4H6N4O3"	0	"Extra-organism"	"C01551"	"97-59-6"	"5-Ureidohydantoin/ Glyoxyldiureide/ Ureidohydantoin/ Paxyl/ Hemocane"
"amp[e]"	"AMP"	"C10H14N5O7P"	"C10H12N5O7P"	-2	"Extra-organism"	"C00020"	"61-19-8"	"Adenosine 5'-monophosphate/ Adenylic acid/ Adenylate/ 5'-AMP/ 5'-Adenylic acid/ 5'-Adenosine monophosphate/ Adenosine 5'-phosphate"
"anhgm[e]"	"N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramic acid"	"C19H30N2O12"	"C19H29N2O12"	-1	"Extra-organism"			"GlcNAc(anh)MurNAc"
"arab-L[e]"	"L-Arabinose"	"C5H10O5"	"C5H10O5"	0	"Extra-organism"	"C00259"	"147-81-9"	
"arbt[e]"	"Arbutin"	"C12H16O7"	"C12H16O7"	0	"Extra-organism"	"C06186"	"497-76-7"	"Ursin/ Uvasol"
"arbtn[e]"	"aerobactin minus Fe3"	"C22H36N4O13"	"C22H33N4O13"	-3	"Extra-organism"	"C05554"		"aerobactin - a siderophore (Fe3 -scavenging molecule)"
"arbtn-fe3[e]"	"Aerobactin"	"C22H33FeN4O13"	"C22H33FeN4O13"	0	"Extra-organism"		"61-33-6"	
"arg-L[e]"	"L-Arginine"	"C6H14N4O2"	"C6H15N4O2"	1	"Extra-organism"	"C00062"	"74-79-3"	"(S)-2-Amino-5-guanidinovaleric acid/ Arginine/ Arg"
"ascb-L[e]"	"L-Ascorbate"	"C6H8O6"	"C6H8O6"	0	"Extra-organism"	"C00072"	"50-81-7"	"Ascorbate/ Ascorbic acid/ L-Ascorbic acid/ Vitamin C"
"asn-L[e]"	"L-Asparagine"	"C4H8N2O3"	"C4H8N2O3"	0	"Extra-organism"	"C00152"	"70-47-3"	"Arg/ 2-Amino-3-carbamoylpropanoic acid/ 2-Aminosuccinamic acid"
"aso3[e]"	"arsenite"	"H3AsO3"	"AsO3"	-3	"Extra-organism"	"C06697"		"arsenite"
"asp-L[e]"	"L-Aspartate"	"C4H7NO4"	"C4H6NO4"	-1	"Extra-organism"	"C00049"	"56-84-8"	"2-aminosuccinic acid/ L-Aspartic acid/ Asp"
"btn[e]"	"Biotin"	"C10H16N2O3S"	"C10H15N2O3S"	-1	"Extra-organism"	"C00120"	"58-85-5"	"Vitamin B7/ D-Biotin/ Vitamin H/ Coenzyme R"
"but[e]"	"Butyrate (n-C4:0)"	"C4H8O2"	"C4H7O2"	-1	"Extra-organism"	"C00246"	"107-92-6"	"Butanoate/ Butyric acid/ Butanoic acid"
"butso3[e]"	"butanesulfonate"	"C4H10O3S"	"C4H9O3S"	-1	"Extra-organism"			
"ca2[e]"	"Calcium"	"Ca"	"Ca"	2	"Extra-organism"	"C00076"	"7440-70-2"	"Ca2+"
"cbi[e]"	"Cobinamide"	"C48H72CoN11O8"	"C48H72CoN11O8"	0	"Extra-organism"	"C05774"	"1867-62-5"	"Cobinamide"
"cbl1[e]"	"Cob(I)alamin"	"C62H89CoN13O14P"	"C62H88CoN13O14P"	-1	"Extra-organism"	"C00853"	"18534-66-2"	"Cbl/ Vitamin B12s"
"cd2[e]"	"Cadmium"	"Cd"	"Cd"	2	"Extra-organism"	"C01413"		
"cgly[e]"	"Cys-Gly"	"C5H10N2O3S"	"C5H10N2O3S"	0	"Extra-organism"	"C01419"	"19246-18-5"	"L-Cysteinyl-glycine/ CCRIS 2905/ Cysteinylglycine [MeSH: cysteinylglycine]/ cysteinyl-glycine [MeSH: cysteinyl-glycine]/ Glycine, N-cysteinyl/ 19246-18-5/ Cys-Gly [MeSH: Cys-Gly]/ BRN 1724689/ L-Cysteinylglycine"
"chol[e]"	"Choline"	"C5H13NO"	"C5H14NO"	1	"Extra-organism"	"C00114"	"123-41-1"	"Bilineurine"
