pathwayId	pathwayName	genes	reactions
MET-SAM-PWY	superpathway of <i>S</i>-adenosyl-L-methionine biosynthesis	["EG10581", "EG10584", "EG10587", "EG10582", "EG10583", "EG10564", "EG10550", "EG10088", "EG10998", "EG10590", "EG10589"]	["S-ADENMETSYN-RXN", "HOMOSERDEHYDROG-RXN", "ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN", "ASPARTATEKIN-RXN", "RXN-15127", "RXN-15124", "RXN-15131", "O-SUCCHOMOSERLYASE-RXN", "HOMOCYSMETB12-RXN", "HOMOCYSMET-RXN", "HOMSUCTRAN-RXN"]
CARNMET-PWY	L-carnitine degradation I	["EG11560", "EG11559", "EG11557", "EG11558"]	["LCARNCOALIG-RXN", "CARNDETRU-RXN", "RXN0-3601", "CROBETREDUCT-RXN"]
GLYCEROLMETAB-PWY	glycerol degradation V	["EG11904", "G6627", "G6626", "EG12399"]	["2.7.1.121-RXN", "GLYCDEH-RXN"]
PWY-7211	superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis	["EG10572", "EG10251", "G7164", "EG11002", "EG12302", "EG10660", "EG10661", "EG10135", "EG10134", "EG10805", "EG10811", "EG10806", "EG10808", "EG10809", "EG10807", "EG11539", "EG10650", "EG10032", "EG10810", "EG11031", "EG11887"]	["CTPSYN-RXN", "UDPKIN-RXN", "RXN-12002", "DIHYDROOROTATE-DEHYDROGENASE-RXN", "OROTPDECARB-RXN", "OROPRIBTRANS-RXN", "DIHYDROOROT-RXN", "ASPCARBTRANS-RXN", "CARBPSYN-RXN", "RXN-12195", "CDPREDUCT-RXN", "UDPREDUCT-RXN", "DTDPKIN-RXN", "DTMPKI-RXN", "THYMIDYLATESYN-RXN", "DUTP-PYROP-RXN", "DUDPKIN-RXN", "DCDPKIN-RXN"]
PWY0-1474	AtoSC Two-Component Signal Transduction System	["EG11667", "EG11668"]	["RXN0-6502", "ATOC-RXN"]
PWY-5436	L-threonine degradation IV	["G6455", "EG10031", "M014"]	["ACETALD-DEHYDROG-RXN", "THREONINE-ALDOLASE-RXN"]
PWY-5668	cardiolipin biosynthesis I	["EG10704", "EG10705", "EG11371", "EG11608", "G6406", "EG10706"]	["PHOSPHAGLYPSYN-RXN", "CARDIOLIPSYN-RXN", "PGPPHOSPHA-RXN"]
PWY0-1533	methylphosphonate degradation I	["EG10721", "EG10717", "EG10716", "EG10718", "EG10722", "EG10719", "EG10725"]	["RXN0-6710", "RXN0-6734", "RXN0-6733", "RXN0-6732"]
PWY0-1347	NADH to trimethylamine <i>N</i>-oxide electron transfer	["EG12082", "EG12088", "EG12090", "EG12091", "EG12092", "EG11773", "EG12093", "EG12089", "EG12087", "EG11774", "EG12086", "EG12084", "EG12083", "EG11815", "EG11814"]	["RXN0-5264", "RXN0-5388"]
GLUTATHIONESYN-PWY	glutathione biosynthesis	["EG10418", "EG10419"]	["GLUTATHIONE-SYN-RXN", "GLUTCYSLIG-RXN"]
RIBOSYN2-PWY	flavin biosynthesis I (bacteria and plants)	["EG11079", "EG11406", "EG11322", "G6442", "EG11202", "EG10465", "EG11321", "EG11331"]	["GTP-CYCLOHYDRO-II-RXN", "RIBOFLAVINSYNDEAM-RXN", "RIBOFLAVINSYNREDUC-RXN", "DIOHBUTANONEPSYN-RXN", "RIBOPHOSPHAT-RXN", "LUMAZINESYN-RXN", "RIBOFLAVIN-SYN-RXN", "FADSYN-RXN", "RIBOFLAVINKIN-RXN"]
PWY0-1313	acetate conversion to acetyl-CoA	["EG11448"]	["ACETATE--COA-LIGASE-RXN"]
PROPIONMET-PWY	propanoyl CoA degradation I	["EG11444"]	["PROPIONYL-COA-CARBOXY-RXN", "METHYLMALONYL-COA-MUT-RXN", "METHYLMALONYL-COA-EPIM-RXN"]
KDO-LIPASYN-PWY	(Kdo)<sub>2</sub>-lipid A biosynthesis I	["EG10464", "EG10614", "EG50003"]	["MYRISTOYLACYLTRAN-RXN", "LAUROYLACYLTRAN-RXN"]
PWY0-662	PRPP biosynthesis	["EG10774"]	["PRPPSYN-RXN"]
PWY0-823	L-arginine degradation III (arginine decarboxylase/agmatinase pathway)	["EG10959", "EG11501", "EG10960"]	["AGMATIN-RXN", "ARGDECARBOX-RXN"]
GLYCOL-GLYOXDEG-PWY	superpathway of glycol metabolism and degradation	["EG11583", "G6278", "EG11175", "G6283", "EG10023", "EG20080", "G7545", "G7544", "G0-8601", "EG10035", "EG10351"]	["GLYCOLALDREDUCT-RXN", "GLYCOLALD-DEHYDROG-RXN", "MALSYN-RXN", "GKI-RXN", "RXN0-5289", "GLYCOLATEDEHYDRO-RXN", "GLYOCARBOLIG-RXN"]
GLUCARGALACTSUPER-PWY	superpathway of D-glucarate and D-galactarate degradation	["G7445", "EG10016", "EG11176", "EG12522", "EG11175", "G6283"]	["GALACTARDEHYDRA-RXN", "GKI-RXN", "GLUCARDEHYDRA-RXN", "TSA-REDUCT-RXN", "KDGALDOL-RXN"]
PWY-6535	4-aminobutanoate degradation I	["G6646", "G6811", "EG10036"]	["SUCCINATE-SEMIALDEHYDE-DEHYDROGENASE-RXN", "GABATRANSAM-RXN"]
PWY0-1503	GlrKR Two-Component Signal Transduction System	["G7345", "EG11285"]	["RXN0-6388", "RXN0-6389"]
GLYOXYLATE-BYPASS	glyoxylate cycle	["EG10576", "EG10023", "EG10022", "EG10402", "EG11325", "EG12316"]	["ACONITATEDEHYDR-RXN", "CITSYN-RXN", "ACONITATEHYDR-RXN", "ISOCIT-CLEAV-RXN", "MALSYN-RXN", "MALATE-DEH-RXN"]
GLYCLEAV-PWY	glycine cleavage	["EG10543", "EG11810", "EG10371", "EG11442"]	["GCVT-RXN", "GCVP-RXN", "RXN-8629"]
PWY-6147	6-hydroxymethyl-dihydropterin diphosphate biosynthesis I	["EG11374", "EG11673", "EG11138", "EG11375"]	["GTP-CYCLOHYDRO-I-RXN", "H2NEOPTERINP3PYROPHOSPHOHYDRO-RXN", "DIHYDRONEOPTERIN-MONO-P-DEPHOS-RXN", "H2NEOPTERINALDOL-RXN", "H2PTERIDINEPYROPHOSPHOKIN-RXN"]
PWY0-541	cyclopropane fatty acid (CFA) biosynthesis	["EG11531"]	["2.1.1.79-RXN"]
PWY0-1355	formate to trimethylamine <i>N</i>-oxide electron transfer	["EG11227", "EG11228", "EG11229", "EG11858", "EG11857", "EG11856", "EG11815", "EG11814"]	["RXN0-5264", "FORMATEDEHYDROG-RXN"]
PYRIDNUCSAL-PWY	NAD salvage pathway I	["G6350", "EG10742", "EG10663", "EG11135"]	["NICOTINAMID-RXN", "NAD-SYNTH-GLN-RXN", "NMNNUCLEOSID-RXN", "NICOTINATEPRIBOSYLTRANS-RXN", "NADPYROPHOSPHAT-RXN", "NICONUCADENYLYLTRAN-RXN"]
GLUTSYNIII-PWY	L-glutamate biosynthesis III	["EG10372"]	["GLUTDEHYD-RXN"]
PWY0-1261	anhydromuropeptides recycling I	["G7263", "G6880", "G6567", "EG10041", "G6452", "EG10632", "EG11553", "EG11198", "G6621", "G7147", "EG12440", "EG11358", "EG11205"]	["UDPNACETYLMURAMATEDEHYDROG-RXN", "UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN", "RXN0-2361", "RXN0-5227", "NAG1P-URIDYLTRANS-RXN", "2.3.1.157-RXN", "5.4.2.10-RXN", "NAG6PDEACET-RXN", "RXN0-5225", "RXN0-5226", "RXN0-4621", "RXN0-4641"]
RIBOKIN-PWY	ribose phosphorylation	["EG10818", "EG10817"]	["RXN-14904", "RXN0-5304", "RIBOKIN-RXN"]
UDPNAGSYN-PWY	UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis I	["EG11198", "EG10382", "EG11553", "EG10702"]	["PGLUCISOM-RXN", "5.4.2.10-RXN", "L-GLN-FRUCT-6-P-AMINOTRANS-RXN", "2.3.1.157-RXN", "NAG1P-URIDYLTRANS-RXN"]
ENTBACSYN-PWY	enterobactin biosynthesis	["EG10261", "EG12362", "EG10259", "EG12221", "EG10247", "EG10262", "EG10263", "EG10264", "EG10260"]	["ENTG-RXN", "RXN-15891", "RXN-15890", "RXN-15889", "ENTF-RXN", "RXN0-6442", "DHBAMPLIG-RXN", "ENTDB-RXN", "DHBDEHYD-RXN", "ISOCHORMAT-RXN", "ISOCHORSYN-RXN"]
GLYCOCAT-PWY	glycogen degradation I	["EG10561", "EG10380", "EG10381", "EG10565", "EG10560", "EG12144", "EG12957"]	["GLUCOKIN-RXN", "PHOSPHOGLUCMUT-RXN", "RXN-9025", "RXN0-5183", "RXN0-5182", "RXN0-5146", "GLYCOPHOSPHORYL-RXN", "AMYLOMALT-RXN"]
PWY-5705	allantoin degradation to glyoxylate III	["G6275", "G6281", "G6285", "G6284"]	["URUR-RXN", "ALLANTOATE-DEIMINASE-RXN", "ALLANTOINASE-RXN", "UREIDOGLYCOLATE-LYASE-RXN"]
PWY-6537	4-aminobutanoate degradation II	["EG10361", "EG11329"]	["SUCCSEMIALDDEHYDROG-RXN", "GABATRANSAM-RXN"]
SULFATE-CYS-PWY	superpathway of sulfate assimilation and cysteine biosynthesis	["EG10189", "EG10191", "EG10190", "EG10186", "EG10194", "EG10185", "EG10187", "EG10192", "EG10193", "EG10946", "EG10944", "EG10945", "EG11934", "EG11031", "EG11887"]	["RXN0-5114", "PGLYCDEHYDROG-RXN", "PSERTRANSAM-RXN", "ACSERLY-RXN", "SERINE-O-ACETTRAN-RXN", "ADENYLYLSULFKIN-RXN", "SULFATE-ADENYLYLTRANS-RXN", "SULFITE-REDUCT-RXN", "1.8.4.8-RXN"]
PWY-5783	octaprenyl diphosphate biosynthesis	["EG10017"]	["RXN-8992"]
PWY0-1481	BaeSR Two-Component Signal Transduction System	["EG11618", "EG11617"]	["BAES-RXN", "BAER-RXN"]
PWY-5852	demethylmenaquinol-8 biosynthesis I	["EG11880"]	["DMK-RXN"]
PWY-6387	UDP-<i>N</i>-acetylmuramoyl-pentapeptide biosynthesis I (<i>meso</i>-diaminopimelate containing)	["EG11358", "EG11205", "EG10622", "EG10619", "EG10620", "EG11204", "EG10621", "EG10213", "EG10214"]	["DALADALALIG-RXN", "UDP-NACMURALGLDAPLIG-RXN", "GLUTRACE-RXN", "UDP-NACMURALA-GLU-LIG-RXN", "UDP-NACMUR-ALA-LIG-RXN", "UDP-NACMURALGLDAPAALIG-RXN", "UDPNACETYLMURAMATEDEHYDROG-RXN", "UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN"]
ENTNER-DOUDOROFF-PWY	Entner-Doudoroff pathway I	["EG10256", "EG10257"]	["PGLUCONDEHYDRAT-RXN", "KDPGALDOL-RXN"]
GLYCOGENSYNTH-PWY	glycogen biosynthesis I (from ADP-D-Glucose)	["EG10377", "EG10378", "EG10379", "EG12144"]	["PHOSPHOGLUCMUT-RXN", "GLUC1PADENYLTRANS-RXN", "GLYCOGEN-BRANCH-RXN", "GLYCOGENSYN-RXN"]
PWY-5971	palmitate biosynthesis II (bacteria and plants)	["EG10274", "EG11318", "EG11284", "EG11528", "EG50003"]	["RXN-9663", "4.2.1.61-RXN", "RXN-9540", "RXN-9539", "RXN-9662", "RXN-9537", "RXN-9536", "RXN-9535", "RXN-9661", "RXN-9533", "RXN-9532", "RXN-9531", "RXN-9655", "RXN-9660", "RXN-9528", "RXN-9527", "4.2.1.59-RXN", "RXN-9659", "RXN-9524", "RXN-9523", "4.2.1.58-RXN", "RXN-9514", "RXN-9516", "RXN-9518", "RXN-9520", "RXN-9658", "RXN-9657"]
PWY0-1576	hydrogen to fumarate electron transfer	["EG11799", "EG11800", "G7554", "EG11801", "EG10330", "EG10331", "EG10332", "EG10333"]	["R601-RXN", "RXN0-5256"]
GLUTORN-PWY	L-ornithine biosynthesis I	["EG10063", "EG10064", "EG10065", "EG10066", "EG10361", "EG11286"]	["ACETYLORNDEACET-RXN", "ACETYLORNTRANSAM-RXN", "N-ACETYLGLUTPREDUCT-RXN", "ACETYLGLUTKIN-RXN", "N-ACETYLTRANSFER-RXN"]
ACETATEUTIL-PWY	superpathway of acetate utilization and formation	["EG11448", "EG10027", "EG11809", "EG20173", "G7288"]	["PHOSACETYLTRANS-RXN", "ACETATEKIN-RXN", "ACETATE--COA-LIGASE-RXN"]
PWY-6476	cytidylyl molybdenum cofactor biosynthesis	["G7496"]	["RXN0-6254"]
BETSYN-PWY	glycine betaine biosynthesis I (Gram-negative bacteria)	["EG10109", "EG10110"]	["BADH-RXN", "CHD-RXN"]
FUCCAT-PWY	fucose degradation	["EG10348", "EG10350", "EG10349", "EG10355"]	["RXN0-5298", "FUCISOM-RXN", "FUCULOKIN-RXN", "FUCPALDOL-RXN"]
PWY0-1317	L-lactaldehyde degradation (aerobic)	["EG10035", "EG11963"]	["L-LACTDEHYDROGFMN-RXN", "LACTALDDEHYDROG-RXN"]
GLYCOLYSIS	glycolysis I (from glucose 6-phosphate)	["EG10803", "EG10804", "EG10258", "EG12296", "EG10703", "EG10367", "EG11015", "EG10282", "G7129", "EG10700", "EG10699", "EG10702", "EG10759", "EG10283", "EG11517", "EG11239", "EG11245", "EG11699"]	["RXN-15513", "F16BDEPHOS-RXN", "PEPSYNTH-RXN", "PGLUCISOM-RXN", "6PFRUCTPHOS-RXN", "F16ALDOLASE-RXN", "TRIOSEPISOMERIZATION-RXN", "GAPOXNPHOSPHN-RXN", "PHOSGLYPHOS-RXN", "3PGAREARR-RXN", "2PGADEHYDRAT-RXN", "PEPDEPHOS-RXN"]
PENTOSE-P-PWY	pentose phosphate pathway	["EG11556", "EG11797", "EG11427", "EG12100", "M004", "EG11827", "EG11443", "G6397", "EG11221", "EG10411"]	["RXN-9952", "GLU6PDEHYDROG-RXN", "6PGLUCONOLACT-RXN", "RIB5PISOM-RXN", "RIBULP3EPIM-RXN", "1TRANSKETO-RXN", "2TRANSKETO-RXN", "TRANSALDOL-RXN"]
PWY0-1337	oleate &beta;-oxidation	["G6244", "EG10279", "G7212"]	["RXN0-5393", "RXN0-5390", "RXN0-5391"]
P4-PWY	"superpathway of L-lysine", "L-threonine and L-methionine biosynthesis I"	["EG10999", "EG11000", "EG10096", "EG10209", "EG10549", "EG10208", "EG10066", "EG10946", "EG10207", "EG10205", "EG10088", "EG10998", "EG10590", "EG10550", "EG10206", "EG10581", "EG10584", "EG10587", "EG10582", "EG10583", "EG10564"]	["RXN-15127", "RXN-15124", "RXN-15131", "O-SUCCHOMOSERLYASE-RXN", "HOMOCYSMETB12-RXN", "HOMOCYSMET-RXN", "HOMSUCTRAN-RXN", "RXN-14014", "DIHYDRODIPICSYN-RXN", "TETHYDPICSUCC-RXN", "SUCCINYLDIAMINOPIMTRANS-RXN", "SUCCDIAMINOPIMDESUCC-RXN", "DIAMINOPIMDECARB-RXN", "DIAMINOPIMEPIM-RXN", "ASPAMINOTRANS-RXN", "THRESYN-RXN", "HOMOSERKIN-RXN", "HOMOSERDEHYDROG-RXN", "ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN", "ASPARTATEKIN-RXN"]
PWY0-1505	"ArcAB Two-Component Signal Transduction System", "quinone dependent"	["EG10061", "EG10062"]	["ARCBTRANS-RXN", "ALTARCA-RXN", "ARCB-RXN", "ARCB717-RXN"]
HOMOSERSYN-PWY	L-homoserine biosynthesis	["EG10550", "EG10088", "EG10998", "EG10590"]	["HOMOSERDEHYDROG-RXN", "ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN", "ASPARTATEKIN-RXN"]
GLYCOLYSIS-TCA-GLYOX-BYPASS	"superpathway of glycolysis", "pyruvate dehydrogenase", "TCA", "and glyoxylate bypass"	["EG10023", "EG20080", "EG10022", "EG10576", "EG10358", "EG10357", "EG10356", "G6903", "EG11162", "EG10982", "EG10981", "EG10979", "EG10980", "EG10489", "EG10402", "G6198", "EG11325", "EG12316", "EG10934", "EG10933", "EG10932", "EG10931", "EG12069", "EG10803", "EG10804", "EG10258", "EG12296", "EG10703", "EG10367", "EG11015", "EG10282", "G7129", "EG10700", "EG10699", "EG10702", "EG10759", "EG10283", "EG11517", "EG11239", "EG11245", "EG11699", "EG10024", "EG10025", "EG10543"]	["PYRUVDEH-RXN", "RXN-15513", "F16BDEPHOS-RXN", "PEPSYNTH-RXN", "PGLUCISOM-RXN", "6PFRUCTPHOS-RXN", "F16ALDOLASE-RXN", "TRIOSEPISOMERIZATION-RXN", "GAPOXNPHOSPHN-RXN", "PHOSGLYPHOS-RXN", "3PGAREARR-RXN", "2PGADEHYDRAT-RXN", "PEPDEPHOS-RXN", "MALATE-DEHYDROGENASE-ACCEPTOR-RXN", "SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN", "ISOCITDEH-RXN", "2OXOGLUTARATEDEH-RXN", "SUCCCOASYN-RXN", "FUMHYDR-RXN", "ACONITATEDEHYDR-RXN", "CITSYN-RXN", "ACONITATEHYDR-RXN", "ISOCIT-CLEAV-RXN", "MALSYN-RXN", "MALATE-DEH-RXN"]
PWY0-1221	putrescine degradation II	["G6645", "EG10036", "EG11822", "G6644"]	["RXN0-3901", "RXN0-3921", "RXN0-3922", "RXN0-3942"]
ARABCAT-PWY	L-arabinose degradation I	["EG10052", "EG10055", "EG10053"]	["RXN0-5116", "RIBULPEPIM-RXN", "ARABISOM-RXN"]
PWY0-1277	3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation	["M012", "M011", "M010", "G7335", "G7334", "G7336", "M015", "M009", "M013", "G6205", "EG10031", "M014"]	["ACETALD-DEHYDROG-RXN", "MHPELY-RXN", "2-OXOPENT-4-ENOATE-HYDRATASE-RXN", "HCAMULTI-RXN", "PHENPRODIOLDEHYDROG-RXN", "MHPHYDROXY-RXN", "1.13.11.16-RXN", "MHPCHYDROL-RXN"]
PWY-5484	glycolysis II (from fructose 6-phosphate)	["EG10803", "EG10804", "EG10258", "EG12296", "EG10703", "EG10367", "EG11015", "EG10282", "G7129", "EG10700", "EG10699", "EG10759", "EG10283", "EG11517", "EG11239", "EG11245", "EG10727", "EG11699"]	["RXN-15513", "F16BDEPHOS-RXN", "PEPSYNTH-RXN", "6PFRUCTPHOS-RXN", "F16ALDOLASE-RXN", "TRIOSEPISOMERIZATION-RXN", "GAPOXNPHOSPHN-RXN", "PHOSGLYPHOS-RXN", "3PGAREARR-RXN", "2PGADEHYDRAT-RXN", "PEPDEPHOS-RXN"]
PWY0-1581	nitrate reduction IX (dissimilatory)	["EG10391", "EG10392", "EG10393", "EG10638", "EG10639", "EG10640", "EG10647", "EG10648", "EG10644"]	["RXN0-3501", "RXN-15740"]
GLUCONEO-PWY	gluconeogenesis I	["EG10702", "EG10283", "EG11517", "EG11239", "EG11245", "EG10282", "G7129", "EG10367", "EG10703", "EG12296", "EG10258", "EG10688", "EG10576", "EG10759", "EG10948", "G7293", "EG11015"]	["TRIOSEPISOMERIZATION-RXN", "MALIC-NADP-RXN", "1.1.1.39-RXN", "PEPSYNTH-RXN", "MALATE-DEH-RXN", "PEPCARBOXYKIN-RXN", "2PGADEHYDRAT-RXN", "3PGAREARR-RXN", "PHOSGLYPHOS-RXN", "GAPOXNPHOSPHN-RXN", "F16ALDOLASE-RXN", "F16BDEPHOS-RXN", "PGLUCISOM-RXN"]
PWY0-1507	biotin biosynthesis from 8-amino-7-oxononanoate I	["EG10120", "EG10118", "EG10117", "EG11328"]	["DAPASYN-RXN", "2.8.1.6-RXN", "DETHIOBIOTIN-SYN-RXN"]
PWY0-1295	pyrimidine ribonucleosides degradation	["EG10137", "EG11045", "EG12159", "EG10220"]	["PPENTOMUT-RXN", "URPHOS-RXN", "CYTIDEAM2-RXN"]
METSYN-PWY	L-homoserine and L-methionine biosynthesis	["EG10581", "EG10584", "EG10587", "EG10582", "EG10583", "EG10564", "EG10088", "EG10590"]	["HOMOSERDEHYDROG-RXN", "ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN", "ASPARTATEKIN-RXN", "RXN-15127", "RXN-15124", "RXN-15131", "O-SUCCHOMOSERLYASE-RXN", "HOMOCYSMETB12-RXN", "HOMOCYSMET-RXN", "HOMSUCTRAN-RXN"]
PWY0-1545	cardiolipin biosynthesis III	["EG10706", "EG10704", "EG10705", "EG11371", "G6551"]	["RXN0-7012", "PGPPHOSPHA-RXN", "PHOSPHAGLYPSYN-RXN"]
PWY0-1325	superpathway of L-asparagine biosynthesis	["EG10092", "EG10091"]	["ASNSYNA-RXN", "ASNSYNB-RXN"]
FAO-PWY	fatty acid &beta;-oxidation I	["EG10278", "G7213", "EG11530", "EG12357", "G6105", "G7212", "EG10279"]	["ENOYL-COA-HYDRAT-RXN", "ENOYL-COA-DELTA-ISOM-RXN", "ACYLCOADEHYDROG-RXN", "ACYLCOASYN-RXN", "OHBUTYRYL-COA-EPIM-RXN", "KETOACYLCOATHIOL-RXN", "OHACYL-COA-DEHYDROG-RXN"]
COLANSYN-PWY	colanic acid building blocks biosynthesis	["EG11787", "EG11788", "EG10702", "EG10566", "EG10162", "EG10161", "EG11319", "EG12144", "EG10362", "G7091"]	["UGD-RXN", "PHOSPHOGLUCMUT-RXN", "GLUC1PURIDYLTRANS-RXN", "2.7.7.13-RXN", "PHOSMANMUT-RXN", "MANNPISOM-RXN", "PGLUCISOM-RXN", "1.1.1.271-RXN", "GDPMANDEHYDRA-RXN", "UDPGLUCEPIM-RXN"]
PWY0-1482	BasSR Two-Component Signal Transduction System	["EG11614", "EG11615"]	["BASS-RXN", "BASR-RXN"]
BGALACT-PWY	lactose degradation III	["EG10527"]	["BETAGALACTOSID-RXN"]
PWY0-1585	formate to nitrite electron transfer	["EG11227", "EG11228", "EG11229", "EG11858", "EG11857", "EG11856", "EG11947", "EG11946", "EG11781"]	["RXN-18605", "RXN-18604", "FORMATEDEHYDROG-RXN"]
ASPARTATESYN-PWY	L-aspartate biosynthesis	["EG10096"]	["ASPAMINOTRANS-RXN"]
TCA	TCA cycle I (prokaryotic)	["EG10576", "EG10358", "EG10357", "EG10356", "G6903", "EG11162", "EG10982", "EG10981", "EG10979", "EG10980", "EG10543", "EG10489", "EG10402", "EG11325", "EG12316", "EG10934", "EG10933", "EG10932", "EG10931", "EG12069"]	["MALATE-DEHYDROGENASE-ACCEPTOR-RXN", "SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN", "ACONITATEDEHYDR-RXN", "CITSYN-RXN", "ACONITATEHYDR-RXN", "ISOCITDEH-RXN", "2OXOGLUTARATEDEH-RXN", "SUCCCOASYN-RXN", "FUMHYDR-RXN", "MALATE-DEH-RXN"]
PWY-6038	citrate degradation	["G6343", "G6341", "G6342"]	["CITRYLY-RXN", "CITTRANS-RXN"]
PWY-7193	pyrimidine ribonucleosides salvage I	["EG10137", "EG11701"]	["CYTIKIN-RXN", "URIDINEKIN-RXN", "CYTIDEAM2-RXN"]
PWY0-1303	aminopropylcadaverine biosynthesis	["EG10963", "EG10131", "G6094"]	["LYSDECARBOX-RXN", "RXN0-5217"]
PWY-6612	superpathway of tetrahydrofolate biosynthesis	["EG50011", "EG10327", "EG10326", "G6862", "EG11374", "EG11673", "EG11138", "EG11375", "EG10683", "EG10682", "EG11493"]	["ADCLY-RXN", "PABASYN-RXN", "GTP-CYCLOHYDRO-I-RXN", "H2NEOPTERINP3PYROPHOSPHOHYDRO-RXN", "DIHYDRONEOPTERIN-MONO-P-DEPHOS-RXN", "H2NEOPTERINALDOL-RXN", "H2PTERIDINEPYROPHOSPHOKIN-RXN", "DIHYDROFOLATEREDUCT-RXN", "DIHYDROFOLATESYNTH-RXN", "H2PTEROATESYNTH-RXN"]
PWY-6284	superpathway of unsaturated fatty acids biosynthesis (<i>E. coli</i>)	["EG10273", "EG10274", "EG11542", "EG12606", "EG11318", "EG11284", "EG11528", "EG50003"]	["RXN-9558", "RXN-9557", "RXN-9556", "2.3.1.179-RXN", "RXN-9555", "RXN-9550", "RXN-10654", "RXN-10655", "RXN-10656", "RXN-10657", "RXN-10658", "RXN-10659", "RXN-10660", "RXN-10661", "RXN-9655", "5.3.3.14-RXN", "RXN0-2141", "RXN0-2142", "RXN0-2144", "RXN0-2145"]
PWY0-1506	"TorSR Two-Component Signal Transduction System", "TMAO dependent"	["G6514", "EG12615"]	["TORSASP-RXN", "RXN0-6518", "TORS850-RXN", "RXN0-6519"]
PANTO-PWY	phosphopantothenate biosynthesis I	["EG11746", "G6239", "EG10495", "EG11675", "EG10922"]	["PANTOTHENATE-KIN-RXN", "3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-RXN", "2-DEHYDROPANTOATE-REDUCT-RXN", "PANTOATE-BETA-ALANINE-LIG-RXN"]
THRDLCTCAT-PWY	L-threonine degradation III (to methylglyoxal)	["EG10993", "EG12293", "EG13139"]	["AMACETOXID-RXN", "THREOSPON-RXN", "THREODEHYD-RXN"]
PPGPPMET-PWY	ppGpp biosynthesis	["EG10413", "EG10835", "EG10966", "EG10650", "EG10032"]	["GDPKIN-RXN", "RXN0-6427", "GDPPYPHOSKIN-RXN", "GTPPYPHOSKIN-RXN", "PPGPPSYN-RXN", "PPPGPPHYDRO-RXN"]
XYLCAT-PWY	xylose degradation I	["EG11075", "EG11074"]	["XYLISOM-RXN", "XYLULOKIN-RXN"]
PWY0-1336	NADH to fumarate electron transfer	["EG12082", "EG12088", "EG12090", "EG12091", "EG12092", "EG11773", "EG12093", "EG12089", "EG12087", "EG11774", "EG12086", "EG12084", "EG12083", "EG10330", "EG10331", "EG10332", "EG10333"]	["R601-RXN", "RXN0-5388"]
PWY-6620	guanine and guanosine salvage	["EG10414", "EG20098", "EG10222", "G85", "EG12159"]	["RXN0-5199", "GUANPRIBOSYLTRAN-RXN"]
PWY-5686	UMP biosynthesis I	["EG10135", "EG10134", "EG10805", "EG10811", "EG10806", "EG10808", "EG10809", "EG10807"]	["DIHYDROOROTATE-DEHYDROGENASE-RXN", "OROTPDECARB-RXN", "OROPRIBTRANS-RXN", "DIHYDROOROT-RXN", "ASPCARBTRANS-RXN", "CARBPSYN-RXN"]
PWY-5965	fatty acid biosynthesis initiation III	["EG12606", "EG10274", "EG50003"]	["MALONYL-ACPDECARBOX-RXN", "3-OXOACYL-ACP-SYNTH-BASE-RXN"]
GLUCOSE1PMETAB-PWY	glucose and glucose-1-phosphate degradation	["EG11470", "EG11195", "G6425", "EG11850", "EG12144", "EG12957", "EG10369"]	["RXN0-6373", "GLUCOKIN-RXN", "PHOSPHOGLUCMUT-RXN", "GLUCONOLACT-RXN", "GLUCOSE-1-PHOSPHAT-RXN"]
SERDEG-PWY	L-serine degradation	["EG11623", "EG10990", "EG10930", "G7624"]	["RXN-15127", "RXN-15124", "RXN-15125"]
PWY0-162	superpathway of pyrimidine ribonucleotides <i>de novo</i> biosynthesis	["EG10135", "EG10134", "EG10805", "EG10811", "EG10806", "EG10808", "EG10809", "EG10807", "EG11539", "EG10650", "EG10032", "EG10810"]	["CTPSYN-RXN", "UDPKIN-RXN", "RXN-12002", "DIHYDROOROTATE-DEHYDROGENASE-RXN", "OROTPDECARB-RXN", "OROPRIBTRANS-RXN", "DIHYDROOROT-RXN", "ASPCARBTRANS-RXN", "CARBPSYN-RXN"]
PWY-6605	adenine and adenosine salvage II	["EG10051", "EG11082"]	["ADENOSINE-NUCLEOSIDASE-RXN", "ADENPRIBOSYLTRAN-RXN"]
