"Reactions"	"Object ID"	"EC-Number"	"Enzymatic-Reaction"
RXN-18435	"RXN-18435"	EC-3.2.2.23	ENZRXN-25484
RXN0-6522	"RXN0-6522"	EC-3.1.26.12	ENZRXN0-7391
DMKCYT-RXN	"DMKCYT-RXN"		
MENCYT-RXN	"MENCYT-RXN"		
3.2.1.21-RXN	"3.2.1.21-RXN"	EC-3.2.1.21	ENZRXN0-6204
GALACTOACETYLTRAN-RXN	"GALACTOACETYLTRAN-RXN"	EC-2.3.1.18	GALACTOACETYLTRAN-ENZRXN
BETA-GLUCURONID-RXN	"BETA-GLUCURONID-RXN"	EC-3.2.1.31	BETA-GLUCURONID-ENZRXN
BETA-LACTAMASE-RXN	"BETA-LACTAMASE-RXN"	EC-3.5.2.6	ENZRXN0-8404 // ENZRXN0-6609 // ENZRXN0-2709
RXN-9516	"RXN-9516"	EC-2.3.1.179 // EC-2.3.1.41	ENZRXN-15226
RXN-9657	"RXN-9657"	EC-1.3.1.9	ENZRXN0-7438
TRANS-RXN0-517	"TRANS-RXN0-517"		ENZRXN0-7561
RXN-12473	"RXN-12473"	EC-2.8.1.11	ENZRXN-19567
CARBOXYLESTERASE-RXN	"CARBOXYLESTERASE-RXN"	EC-3.1.1.1	ENZRXN0-8139 // ENZRXN0-2001
CDPDIGLYPYPHOSPHA-RXN	"CDPDIGLYPYPHOSPHA-RXN"	EC-3.6.1.26	CDPDIGLYPYPHOSPHA-ENZRXN
PHOSPHASERSYN-RXN	"PHOSPHASERSYN-RXN"	EC-2.7.8.8	PHOSPHASERSYN-ENZRXN
PHOSPHAGLYPSYN-RXN	"PHOSPHAGLYPSYN-RXN"	EC-2.7.8.5	PHOSPHAGLYPSYN-ENZRXN
RXN-19004	"RXN-19004"		ENZRXN0-8379
RXN-17015	"RXN-17015"	EC-2.3.1.51	
RXN-17014	"RXN-17014"	EC-2.3.1.51	
RXN-9558	"RXN-9558"	EC-1.3.1.9	ENZRXN0-7706
RXN-17016	"RXN-17016"	EC-2.3.1.15	ENZRXN0-7988
RXN-9555	"RXN-9555"	EC-3.1.2.14	ENZRXN0-7584
CITRYLY-RXN	"CITRYLY-RXN"	EC-4.1.3.34	CITRYLY-ENZRXN
RXN-1961	"RXN-1961"	EC-6.3.4.19	ENZRXN0-2501
RXN0-5418	"RXN0-5418"	EC-2.3.1.193	ENZRXN0-6583
RXN-11193	"RXN-11193"	EC-1.4.5.1	DAADEHYDROG-ENZRXN
RXN-15041	"RXN-15041"	EC-3.1.1.96	ENZRXN-22303
TRANS-RXN-98	"TRANS-RXN-98"		TRANS-ENZRXN-98
RXN0-2601	"RXN0-2601"	EC-4.2.99.18	ENZRXN0-8376 // ENZRXN-2004
RXN-9025	"RXN-9025"	EC-2.4.1.1	ENZRXN-23799
RXN-9531	"RXN-9531"	EC-2.3.1.179 // EC-2.3.1.41	ENZRXN-15223
RXN-9660	"RXN-9660"	EC-1.3.1.9	ENZRXN0-7441
TRANS-RXN0-609	"TRANS-RXN0-609"		ENZRXN0-8183 // ENZRXN0-8053 // ENZRXN0-8026
DEOXYRIBODIPYRIMIDINE-PHOTOLYASE-RXN	"DEOXYRIBODIPYRIMIDINE-PHOTOLYASE-RXN"	EC-4.1.99.3	ENZRXN0-1601
RXN-19026	"RXN-19026"	EC-4.1.99.3	ENZRXN-25884
RXN-19025	"RXN-19025"	EC-4.1.99.3	ENZRXN-25883
3.4.13.18-RXN	"3.4.13.18-RXN"	EC-3.4.13.18	ENZRXN0-4381
3.4.13.9-RXN	"3.4.13.9-RXN"	EC-3.4.13.9	ENZRXN0-4121
TRANS-RXN0-288	"TRANS-RXN0-288"		ENZRXN0-7792 // ENZRXN0-7311 // ENZRXN0-7304 // ENZRXN0-6615
3.4.13.21-RXN	"3.4.13.21-RXN"	EC-3.4.13.21	ENZRXN0-4841
RXN0-7203	"RXN0-7203"		ENZRXN0-8233 // ENZRXN0-8214 // ENZRXN0-8196
4.2.99.18-RXN	"4.2.99.18-RXN"	EC-4.2.99.18	ENZRXN0-7780 // ENZRXN0-02002
3.1.21.7-RXN	"3.1.21.7-RXN"	EC-3.1.21.7	ENZRXN0-6302
RXN-17823	"RXN-17823"	EC-2.1.1	ENZRXN0-8304
RXN0-5100	"RXN0-5100"	EC-5.99.1	ENZRXN0-6203
RXN0-2604	"RXN0-2604"	EC-3.6.1	ENZRXN-2007
RXN-9535	"RXN-9535"	EC-2.3.1.179 // EC-2.3.1.41 // EC-2.3.1.85 // EC-2.3.1.86	ENZRXN-15224
LAUROYLACYLTRAN-RXN	"LAUROYLACYLTRAN-RXN"	EC-2.3.1.241	LAUROYLACYLTRAN-ENZRXN
RXN-9661	"RXN-9661"	EC-1.3.1.9	ENZRXN0-7442
5.99.1.3-RXN	"5.99.1.3-RXN"	EC-5.99.1.3	ENZRXN0-6160
RXN0-5039	"RXN0-5039"	EC-3.1.11	ENZRXN0-6276 // ENZRXN0-6158
RXN0-7100	"RXN0-7100"		ENZRXN0-8349 // ENZRXN0-7848
RXN0-2605	"RXN0-2605"	EC-3.1.11.5	ENZRXN-2008
3.1.21.1-RXN	"3.1.21.1-RXN"	EC-3.1.21.1	ENZRXN0-6154
RXN-11135	"RXN-11135"	EC-3.6.4.12	ENZRXN0-8383 // ENZRXN0-8380
RXN-11479	"RXN-11479"	EC-2.3.1.179 // EC-2.3.1.41	ENZRXN-17873
RXN-11478	"RXN-11478"	EC-1.3.1.9	ENZRXN-17871
GLYCPDIESTER-RXN	"GLYCPDIESTER-RXN"	EC-3.1.4.46	GLYCPDIESTER-CYTO-ENZRXN // GLYCPDIESTER-PERI-ENZRXN
TRANS-RXN0-573	"TRANS-RXN0-573"	EC-3.6.3	ENZRXN0-7800
GLYCOPHOSPHORYL-RXN	"GLYCOPHOSPHORYL-RXN"	EC-2.4.1.1	GLYCOPHOSPHORYL-ENZRXN
RXN0-7210	"RXN0-7210"		ENZRXN0-8239 // ENZRXN0-8220 // ENZRXN0-8201
RXN0-1321	"RXN0-1321"	EC-2.4.2.29	ENZRXN0-1641
RXN-9523	"RXN-9523"	EC-2.3.1.179 // EC-2.3.1.41	ENZRXN-15227
RXN-9658	"RXN-9658"	EC-1.3.1.9	ENZRXN0-7439
RXN-14483	"RXN-14483"	EC-3.1.3	
3.1.4.14-RXN	"3.1.4.14-RXN"	EC-3.1.4.14	ENZRXN0-5902
CITC-RXN	"CITC-RXN"	EC-6.2.1.22	CITC-ENZRXN
2.3.1.49-RXN	"2.3.1.49-RXN"	EC-2.3.1.49	
RXN-15890	"RXN-15890"		
RXN0-7243	"RXN0-7243"		ENZRXN0-8224 // ENZRXN0-8205 // ENZRXN0-8187
RXN-17943	"RXN-17943"	EC-4.2.1	ENZRXN-24992
RXN0-7246	"RXN0-7246"		ENZRXN0-8227 // ENZRXN0-8208 // ENZRXN0-8190
RXN0-5129	"RXN0-5129"		ENZRXN0-6231
2.4.1.56-RXN	"2.4.1.56-RXN"	EC-2.4.1.56	ENZRXN0-7545
3.6.3.39-RXN	"3.6.3.39-RXN"	EC-3.6.3.39	ENZRXN0-6535
TRANS-RXN-237	"TRANS-RXN-237"		ENZRXN0-7641
RXN0-3201	"RXN0-3201"	EC-3.4.21	ENZRXN0-8368 // ENZRXN0-4343
RXN0-1802	"RXN0-1802"		ENZRXN0-2243
TRANS-RXN-295	"TRANS-RXN-295"		ENZRXN0-8119
TRANS-RXN0-224	"TRANS-RXN0-224"		TRANS-ENZRXN-324
3-OXOACYL-ACP-SYNTH-RXN	"3-OXOACYL-ACP-SYNTH-RXN"	EC-2.3.1.179 // EC-2.3.1.41 // EC-2.3.1.85 // EC-2.3.1.86	3-OXOACYL-ACP-SYNTHII-ENZRXN // 3-OXOACYL-ACP-SYNTHI-ENZRXN
3-OXOACYL-ACP-SYNTH-BASE-RXN	"3-OXOACYL-ACP-SYNTH-BASE-RXN"	EC-2.3.1.179 // EC-2.3.1.41 // EC-2.3.1.85 // EC-2.3.1.86	3-OXOACYL-ACP-SYNTHI-BASE-ENZRXN // 3-OXOACYL-ACP-SYNTHII-BASE-ENZRXN
MALONYL-ACPDECARBOX-RXN	"MALONYL-ACPDECARBOX-RXN"	EC-2.3.1	MALONYL-ACPDECARBOX-ENZRXN
RXN-11474	"RXN-11474"	EC-2.3.1.179 // EC-2.3.1.41	
RXN-17392	"RXN-17392"	EC-4.2.2	ENZRXN0-8107 // ENZRXN0-8106 // ENZRXN0-8104 // ENZRXN0-8102 // ENZRXN0-8101
RXN-17391	"RXN-17391"	EC-4.2.2	ENZRXN0-8109 // ENZRXN0-8108 // ENZRXN0-8105 // ENZRXN0-8103 // ENZRXN0-8100 // ENZRXN0-8099 // ENZRXN0-8097
RXN0-7241	"RXN0-7241"		ENZRXN0-8241 // ENZRXN0-8221 // ENZRXN0-8185
DMK-FE-RXN	"DMK-FE-RXN"		
MEN-FE-RXN	"MEN-FE-RXN"		
RXN0-5256	"RXN0-5256"	EC-1.12.99.6	FORMHYDROGI-ENZRXN // FORMHYDROG2-ENZRXN
RXN0-5388	"RXN0-5388"	EC-1.6.5	ENZRXN0-6540
RXN0-7123	"RXN0-7123"		ENZRXN0-7913
RXN0-5254	"RXN0-5254"		
TRANS-RXN0-234	"TRANS-RXN0-234"		
RXN-12353	"RXN-12353"	EC-1.14.11.33	
RXN0-2625	"RXN0-2625"		ENZRXN-2016
RXN0-7207	"RXN0-7207"		ENZRXN0-8236 // ENZRXN0-8217 // ENZRXN0-8184
RXN-17022	"RXN-17022"	EC-2.3.1.51	ENZRXN0-7991
RXN-9539	"RXN-9539"	EC-2.3.1.179 // EC-2.3.1.41	ENZRXN-15225
MYRISTOYLACYLTRAN-RXN	"MYRISTOYLACYLTRAN-RXN"	EC-2.3.1.243	MYRISTOYLACYLTRAN-ENZRXN
MYRPALMTRAN-RXN	"MYRPALMTRAN-RXN"	EC-2.3.1	MYRISTOYLACYLTRAN-ENZRXN
RXN-9662	"RXN-9662"	EC-1.3.1.9	ENZRXN0-7443
RXN-17017	"RXN-17017"	EC-2.3.1.15	ENZRXN0-7989
RXN-17393	"RXN-17393"	EC-4.2.2	ENZRXN0-8098
RXN-16688	"RXN-16688"		
RXN-16687	"RXN-16687"		
RXN-16660	"RXN-16660"		ENZRXN0-7955 // ENZRXN0-7954
RXN-16665	"RXN-16665"		ENZRXN0-7961 // ENZRXN0-7960 // ENZRXN0-7959 // ENZRXN0-7958 // ENZRXN0-7957
RXN-16664	"RXN-16664"	EC-3.4.17.13	ENZRXN0-7956 // ENZRXN0-7953 // ENZRXN0-7952 // ENZRXN0-7951 // ENZRXN0-7950
RXN-16685	"RXN-16685"		
RXN-16659	"RXN-16659"	EC-3.4.16.4	ENZRXN0-7970 // ENZRXN0-7968 // ENZRXN0-7380 // ENZRXN0-6573
RXN-16691	"RXN-16691"		
RXN-16689	"RXN-16689"		
RXN-16690	"RXN-16690"		
RXN-16649	"RXN-16649"	EC-3.4.16.4	ENZRXN0-8094 // ENZRXN0-8093 // ENZRXN0-4761 // ENZRXN0-4801 // ENZRXN0-6586 // ENZRXN0-7448 // ENZRXN0-7497
RXN-16650	"RXN-16650"	EC-2.4.1.129	ENZRXN0-7971 // ENZRXN0-7969 // ENZRXN0-6562 // ENZRXN0-6563
5.99.1.2-RXN	"5.99.1.2-RXN"	EC-5.99.1.2	ENZRXN0-4041 // ENZRXN0-3962
TRANS-RXN0-611	"TRANS-RXN0-611"		ENZRXN0-8054 // ENZRXN0-8041 // ENZRXN0-8027
RXN-16009	"RXN-16009"	EC-3.1.3.97	ENZRXN0-7965
RXN-14473	"RXN-14473"	EC-3.1.3.31	ENZRXN0-7699
NUCLEOSIDE-DIP-KIN-RXN	"NUCLEOSIDE-DIP-KIN-RXN"	EC-2.7.4.6	NUCLEOSIDE-DIP-KIN-ENZRXN
NUCLEOSIDE-DIPHOSPHATASE-RXN	"NUCLEOSIDE-DIPHOSPHATASE-RXN"	EC-3.6.1.6	
NUCLEOTIDE-PYROPHOSPHATASE-RXN	"NUCLEOTIDE-PYROPHOSPHATASE-RXN"	EC-3.6.1.9	ENZRXN0-1201
DNA-DIRECTED-RNA-POLYMERASE-RXN	"DNA-DIRECTED-RNA-POLYMERASE-RXN"	EC-2.7.7.6	ENZRXN0-6216
TRANS-RXN0-468	"TRANS-RXN0-468"		ENZRXN0-7458
RXN0-7199	"RXN0-7199"		ENZRXN0-8229 // ENZRXN0-8210 // ENZRXN0-8194
TRANS-RXN-108	"TRANS-RXN-108"		TRANS-ENZRXN-28
RXN0-7201	"RXN0-7201"		ENZRXN0-8231 // ENZRXN0-8212 // ENZRXN0-8193
RXN0-7200	"RXN0-7200"		ENZRXN0-8230 // ENZRXN0-8211 // ENZRXN0-8192
RXN-17013	"RXN-17013"	EC-2.3.1.51	ENZRXN0-7995
RXN-17020	"RXN-17020"	EC-2.3.1.51	ENZRXN0-7992
RXN-17012	"RXN-17012"	EC-2.3.1.51	ENZRXN0-7994
2.3.1.179-RXN	"2.3.1.179-RXN"	EC-2.3.1.179	ENZRXN-15101
PALMITOTRANS-RXN	"PALMITOTRANS-RXN"	EC-2.3.1.242	PALMITOTRANS-ENZRXN
RXN-10661	"RXN-10661"	EC-1.3.1.9	ENZRXN-16659
RXN-9550	"RXN-9550"	EC-3.1.2.14	ENZRXN0-7206
RXN-9663	"RXN-9663"	EC-1.3.1.9	ENZRXN0-7444
RXN-17018	"RXN-17018"	EC-2.3.1.15	ENZRXN0-7990
3.4.11.9-RXN	"3.4.11.9-RXN"	EC-3.4.11.9	ENZRXN0-4481
TRANS-RXN-205A	"TRANS-RXN-205A"		TRANS-ENZRXN-30
3.4.21.89-RXN	"3.4.21.89-RXN"	EC-3.4.21.89	ENZRXN0-3941
3.4.11.2-RXN	"3.4.11.2-RXN"	EC-3.4.11.14 // EC-3.4.11.2	ENZRXN0-4461
3.4.11.18-RXN	"3.4.11.18-RXN"	EC-3.4.11.18	ENZRXN0-3801
3.4.11.1-RXN	"3.4.11.1-RXN"	EC-3.4.11.9 // EC-3.4.11.1	ENZRXN0-4441
3.2.1.17-RXN	"3.2.1.17-RXN"	EC-3.2.1.17	ENZRXN0-6489
RXN0-5190	"RXN0-5190"	EC-4.2.2	ENZRXN0-6534 // ENZRXN0-6445 // ENZRXN0-6444 // ENZRXN0-6443 // ENZRXN0-6442 // ENZRXN0-6280 // ENZRXN0-6279
RXN-16938	"RXN-16938"	EC-3.5.1.28	ENZRXN0-3507 // NACMURLALAAMI2-ENZRXN // NACMURLALAAMI1-ENZRXN
ALKAPHOSPHA-RXN	"ALKAPHOSPHA-RXN"	EC-3.1.3.1	ENZRXN0-7757
ACID-PHOSPHATASE-RXN	"ACID-PHOSPHATASE-RXN"	EC-3.1.3.2	APHA-ENZRXN
RXN-16995	"RXN-16995"		
DEPHOSICITDEHASE-RXN	"DEPHOSICITDEHASE-RXN"	EC-3.1.3	ICITDEHDEPHOSPH-ENZRXN
RXN-16997	"RXN-16997"		
RXN-16424	"RXN-16424"		
URITRANS-RXN	"URITRANS-RXN"	EC-2.7.7.59	URITRANS-ENZRXN
RXN-11484	"RXN-11484"	EC-2.3.1.47	ENZRXN-17865
RXN-11483	"RXN-11483"	EC-3.1.1.85	ENZRXN-17864
RXN-11482	"RXN-11482"	EC-1.3.1.9	ENZRXN-17872
RXN0-6478	"RXN0-6478"	EC-3.1.26.12	ENZRXN0-7366
RXN0-6485	"RXN0-6485"	EC-3.1.26.12	ENZRXN0-7372
RXN0-5195	"RXN0-5195"	EC-3.4.11	ENZRXN0-6287
TRANS-RXN0-181	"TRANS-RXN0-181"		ENZRXN0-2321
RXN0-3182	"RXN0-3182"	EC-3.4.21	ENZRXN0-8003 // ENZRXN0-8002
RXN0-3364	"RXN0-3364"	EC-3.4.23.51	ENZRXN0-4601
ALCOHOL-DEHYDROG-GENERIC-RXN	"ALCOHOL-DEHYDROG-GENERIC-RXN"	EC-1.1.1.1	ENZRXN0-7583 // ALCOHOL-DEHYDROG-ENZRXN
RXN-9597	"RXN-9597"	EC-1.4.3.21	ENZRXN-18098
3.4.24.55-RXN	"3.4.24.55-RXN"	EC-3.4.24.55	ENZRXN0-4341
3.4.21.87-RXN	"3.4.21.87-RXN"	EC-3.4.23.49	ENZRXN0-6305
RXN0-3221	"RXN0-3221"	EC-3.4.24	ENZRXN0-7557 // ENZRXN0-4361
3.4.21.53-RXN	"3.4.21.53-RXN"	EC-3.4.21.53	ENZRXN0-4263
RXN0-5103	"RXN0-5103"	EC-3.4.21	ENZRXN0-7996
3.4.21.92-RXN	"3.4.21.92-RXN"	EC-3.4.21.92	ENZRXN0-4564 // ENZRXN0-4563 // ENZRXN0-4562 // ENZRXN0-4561
RXN0-5051	"RXN0-5051"	EC-3.4.11	ENZRXN0-6164
RXN0-5052	"RXN0-5052"	EC-3.4.11	ENZRXN0-7527 // ENZRXN0-6165
RXN0-5204	"RXN0-5204"	EC-3.4.11.23	ENZRXN0-6304
RXN-17474	"RXN-17474"	EC-3.4.21	
RXN0-7271	"RXN0-7271"		ENZRXN-25588 // ENZRXN0-8355
5.3.4.1-RXN	"5.3.4.1-RXN"	EC-5.3.4.1	DSBG-ENZRXN // DISULISOM-ENZRXN
DISULFOXRED-RXN	"DISULFOXRED-RXN"		ENZRXN0-8058 // DSBGOXRED-ENZRXN // DISULFOXRED2-ENZRXN // DISULFOXRED-ENZRXN
RXN-17662	"RXN-17662"		
RXN-17663	"RXN-17663"		ENZRXN0-8128
RXN-17651	"RXN-17651"		
RXN-17652	"RXN-17652"		ENZRXN0-8127
3.4.21.107-RXN	"3.4.21.107-RXN"	EC-3.4.21.107	ENZRXN0-8392 // ENZRXN0-7999
3.4.21.102-RXN	"3.4.21.102-RXN"	EC-3.4.21.102	ENZRXN0-4321
PNP-RXN	"PNP-RXN"	EC-2.4.2.1	PNP-ENZRXN
RIBOSYLPYRIMIDINE-NUCLEOSIDASE-RXN	"RIBOSYLPYRIMIDINE-NUCLEOSIDASE-RXN"	EC-3.2.2.8	ENZRXN0-6537
RXN-8638	"RXN-8638"	EC-3.6.3.32	ENZRXN0-6322
RXN-12104	"RXN-12104"	EC-1.17.99.6	ENZRXN0-7456
CYTC-RED-RXN	"CYTC-RED-RXN"		
CYTD-RED-RXN	"CYTD-RED-RXN"		
CYT-ACC-RXN	"CYT-ACC-RXN"		
RXN0-7235	"RXN0-7235"		
FLAVONADPREDUCT-RXN	"FLAVONADPREDUCT-RXN"	EC-1.19.1.1	FLAVONADPREDUCT-ENZRXN
FAD-OX-RXN	"FAD-OX-RXN"		
FMN-OX-RXN	"FMN-OX-RXN"		
RXN-12275	"RXN-12275"		ENZRXN-19150
FES-OX-RXN	"FES-OX-RXN"		
RXN-14499	"RXN-14499"		
RXN0-267	"RXN0-267"	EC-1.11.1.16	ENZRXN0-7383
RXN-14498	"RXN-14498"		
THIOREDOXIN-REDUCT-NADPH-RXN	"THIOREDOXIN-REDUCT-NADPH-RXN"	EC-1.8.1.9	THIOREDOXIN-REDUCT-NADPH-ENZRXN
RXN0-6385	"RXN0-6385"	EC-2.8.1	ENZRXN0-7319
RXN0-5361	"RXN0-5361"	EC-3.1.27	ENZRXN0-6524
RXN0-4223	"RXN0-4223"	EC-3.1.13	ENZRXN0-7964 // ENZRXN0-7892 // ENZRXN0-5584
CYCPHOSDIESTER-RXN	"CYCPHOSDIESTER-RXN"	EC-3.1.4.16	CYCPHOSDIESTER-ENZRXN
3-NUCLEOTID-RXN	"3-NUCLEOTID-RXN"	EC-3.1.3.6	ENZRXN0-7769 // ENZRXN0-5182 // 3-NUCLEOTID-ENZRXN
5-NUCLEOTID-RXN	"5-NUCLEOTID-RXN"	EC-3.1.3.5	ENZRXN0-7768 // ENZRXN0-6193 // ENZRXN0-5241 // ENZRXN0-5181 // 5-NUCLEOTID-ENZRXN
3.2.2.23-RXN	"3.2.2.23-RXN"	EC-3.2.2.23	ENZRXN-2005
3.1.26.4-RXN	"3.1.26.4-RXN"	EC-3.1.26.4	ENZRXN0-5521 // ENZRXN0-5501
TRANS-RXN0-607	"TRANS-RXN0-607"		ENZRXN0-8051 // ENZRXN0-8038 // ENZRXN0-8022
TRANS-RXN0-606	"TRANS-RXN0-606"		ENZRXN0-8050 // ENZRXN0-8037 // ENZRXN0-8021
RXN-18678	"RXN-18678"		ENZRXN0-8365
3.1.11.6-RXN	"3.1.11.6-RXN"	EC-3.1.11.6	ENZRXN0-8312 // ENZRXN0-6300
RXN0-5021	"RXN0-5021"	EC-2.7.7	ENZRXN0-6141
3.1.21.2-RXN	"3.1.21.2-RXN"	EC-3.1.21.2	ENZRXN0-8382 // ENZRXN-2000
2.7.7.8-RXN	"2.7.7.8-RXN"	EC-2.7.7.8	ENZRXN0-5441
RXN0-6527	"RXN0-6527"	EC-3.1.27.6	ENZRXN0-7396
RXN-11361	"RXN-11361"	EC-2.7.7.80	ENZRXN-15056
RXN0-7189	"RXN0-7189"		ENZRXN0-8135
TRANS-RXN0-608	"TRANS-RXN0-608"		ENZRXN0-8052 // ENZRXN0-8039 // ENZRXN0-8023
SUGAR-PHOSPHATASE-RXN	"SUGAR-PHOSPHATASE-RXN"	EC-3.1.3.23	ENZRXN0-8147 // ENZRXN0-6267 // ENZRXN0-6262 // ENZRXN0-6254 // ENZRXN0-5981
RXN0-7208	"RXN0-7208"		ENZRXN0-8237 // ENZRXN0-8218 // ENZRXN0-8199
RXN0-7209	"RXN0-7209"		ENZRXN0-8238 // ENZRXN0-8219 // ENZRXN0-8200
RXN0-6359	"RXN0-6359"	EC-2.8.1.1	
RXN0-4261	"RXN0-4261"		ENZRXN0-6146 // ENZRXN0-6150 // ENZRXN0-5621
DIHYDROFOLATEREDUCT-RXN	"DIHYDROFOLATEREDUCT-RXN"	EC-1.5.1.3	ENZRXN0-3061 // DIHYDROFOLATEREDUCT-ENZRXN
RXN0-7205	"RXN0-7205"		
RXN-9789	"RXN-9789"	EC-2.7.7.73	ENZRXN0-6599
RXN-9790	"RXN-9790"		
3.4.11.4-RXN	"3.4.11.4-RXN"	EC-3.4.11.4	ENZRXN0-4421
TRANS-RXN0-267	"TRANS-RXN0-267"		ENZRXN0-7831 // ENZRXN0-7830 // ENZRXN0-6508
RXN0-7204	"RXN0-7204"		ENZRXN0-8234 // ENZRXN0-8215 // ENZRXN0-8197
TRNA-CYTIDYLYLTRANSFERASE-RXN	"TRNA-CYTIDYLYLTRANSFERASE-RXN"	EC-2.7.7.72	ENZRXN0-1606
3.1.13.5-RXN	"3.1.13.5-RXN"	EC-3.1.13.5	ENZRXN0-5101
3.1.26.11-RXN	"3.1.26.11-RXN"	EC-3.1.26.11	ENZRXN0-8359
RXN0-6480	"RXN0-6480"	EC-3.1.26.5	ENZRXN0-7369
RXN0-4222	"RXN0-4222"	EC-3.1.13.1	ENZRXN0-5583
RXN0-6479	"RXN0-6479"	EC-3.1.13.1	ENZRXN0-7368 // ENZRXN0-7367
RXN0-6483	"RXN0-6483"	EC-3.1.13.5	ENZRXN0-7375 // ENZRXN0-7373
3.1.26.5-RXN	"3.1.26.5-RXN"	EC-3.1.26.5	ENZRXN0-1981
RXN0-6481	"RXN0-6481"	EC-2.7.7.56	ENZRXN0-7370
RXN0-6484	"RXN0-6484"	EC-3.1.13.5	ENZRXN0-7376 // ENZRXN0-7374
RXN0-6482	"RXN0-6482"	EC-2.7.7.56	ENZRXN0-7371
ALANINE--TRNA-LIGASE-RXN	"ALANINE--TRNA-LIGASE-RXN"	EC-6.1.1.7	ALAS-ENZRXN
ARGININE--TRNA-LIGASE-RXN	"ARGININE--TRNA-LIGASE-RXN"	EC-6.1.1.19	ARGS-ENZRXN
CYSTEINE--TRNA-LIGASE-RXN	"CYSTEINE--TRNA-LIGASE-RXN"	EC-6.1.1.16	CYSS-ENZRXN
GLUTAMINE--TRNA-LIGASE-RXN	"GLUTAMINE--TRNA-LIGASE-RXN"	EC-6.1.1.18	GLNS-ENZRXN
GLURS-RXN	"GLURS-RXN"	EC-6.1.1.17	GLURS-ENZRXN
GLYCINE--TRNA-LIGASE-RXN	"GLYCINE--TRNA-LIGASE-RXN"	EC-6.1.1.14	GLYS-ENZRXN
HISTIDINE--TRNA-LIGASE-RXN	"HISTIDINE--TRNA-LIGASE-RXN"	EC-6.1.1.21	HISS-ENZRXN
ISOLEUCINE--TRNA-LIGASE-RXN	"ISOLEUCINE--TRNA-LIGASE-RXN"	EC-6.1.1.5	ILES-ENZRXN
LEUCINE--TRNA-LIGASE-RXN	"LEUCINE--TRNA-LIGASE-RXN"	EC-6.1.1.4	LEUS-ENZRXN
PHENYLALANINE--TRNA-LIGASE-RXN	"PHENYLALANINE--TRNA-LIGASE-RXN"	EC-6.1.1.20	PHES-ENZRXN
PROLINE--TRNA-LIGASE-RXN	"PROLINE--TRNA-LIGASE-RXN"	EC-6.1.1.15	PROS-ENZRXN
RXN0-2161	"RXN0-2161"	EC-6.1.1.11	ENZRXN0-2981
SERINE--TRNA-LIGASE-RXN	"SERINE--TRNA-LIGASE-RXN"	EC-6.1.1.11	SERS-ENZRXN
THREONINE--TRNA-LIGASE-RXN	"THREONINE--TRNA-LIGASE-RXN"	EC-6.1.1.3	THRS-ENZRXN
TYROSINE--TRNA-LIGASE-RXN	"TYROSINE--TRNA-LIGASE-RXN"	EC-6.1.1.1	TYRS-ENZRXN
VALINE--TRNA-LIGASE-RXN	"VALINE--TRNA-LIGASE-RXN"	EC-6.1.1.9	VALS-ENZRXN
3.4.23.43-RXN	"3.4.23.43-RXN"	EC-3.4.23.43	ENZRXN0-4641
UBIQUINOL-OX-RXN	"UBIQUINOL-OX-RXN"		
RXN0-5330	"RXN0-5330"	EC-1.6.5.9	NADH-DHII-ENZRXN
RXN0-5244	"RXN0-5244"		
TRANS-RXN0-237	"TRANS-RXN0-237"		
UDPSUGARHYDRO-RXN	"UDPSUGARHYDRO-RXN"	EC-3.6.1.45	UDPSUGARHYDRO-ENZRXN
RXN0-2584	"RXN0-2584"	EC-3.2.2.27	ENZRXN-2003
RXN0-1281	"RXN0-1281"	EC-1.1.1	ENZRXN0-1563 // ENZRXN0-1562 // ENZRXN0-1561
RXN-11841	"RXN-11841"	EC-5.4.99.27	ENZRXN0-3781
RXN-11835	"RXN-11835"	EC-5.4.99.21	ENZRXN0-2464
RXN-11842	"RXN-11842"	EC-5.4.99.28	ENZRXN0-6364
RXN0-2023	"RXN0-2023"	EC-2.8.1.13	ENZRXN0-2584
RXN0-7068	"RXN0-7068"		ENZRXN0-7779
RXN0-7253	"RXN0-7253"	EC-5.4.99	ENZRXN0-8321
TRNA-PSEUDOURIDINE-SYNTHASE-I-RXN	"TRNA-PSEUDOURIDINE-SYNTHASE-I-RXN"	EC-5.4.99.12	ENZRXN0-3782
RXN-11833	"RXN-11833"	EC-5.4.99.19	ENZRXN0-2521
RXN-11839	"RXN-11839"	EC-5.4.99.25	ENZRXN0-3783
RXN-11840	"RXN-11840"	EC-5.4.99.26	ENZRXN0-3784
RXN-16381	"RXN-16381"		ENZRXN0-7916
RXN-7716	"RXN-7716"	EC-1.8.1.4	ENZRXN0-1304
RXN-18703	"RXN-18703"		
RXN0-7090	"RXN0-7090"	EC-1.14.11.47	ENZRXN0-7832
BIOTINLIG-RXN	"BIOTINLIG-RXN"	EC-6.3.4.15	BIOTINLIG-ENZRXN
BIOTIN-CARBOXYL-RXN	"BIOTIN-CARBOXYL-RXN"	EC-6.3.4.14	BIOTIN-CARBOXYL-ENZRXN
RXN-14391	"RXN-14391"	EC-3.6.4	ENZRXN0-7305
RXN-17920	"RXN-17920"		
RXN-17918	"RXN-17918"		
DNA-LIGASE-NAD+-RXN	"DNA-LIGASE-NAD+-RXN"	EC-6.5.1.6 // EC-6.5.1.2	ENZRXN0-2702 // ENZRXN0-2701
