"id"	"common_name"	"synonyms"	"chemical_formula"	"mw"	
"Gcv-H"	"[glycine cleavage system lipoyl-carrier protein]-L-lysine"	[]	null	null	
"GDP"	"GDP"	["ppG", "guanosine-5'-diphosphate", "guanosine-diphosphate"]	"C10H12N5O11P2"	440.179	
"GDP-4-DEHYDRO-6-DEOXY-D-MANNOSE"	"GDP-4-dehydro-&alpha;-D-rhamnose"	["GDP-4-keto-6-deoxymannose", "GDP-4-keto-6-deoxy-&alpha;-D-mannose", "GDP-4-dehydro-6-deoxy-&alpha;-D-talose", "GDP-4-oxo-6-deoxy-&alpha;-D-mannose", "GDP-4-dehydro-6-deoxy-&alpha;-D-mannose", "GDP-4-dehydro-6-deoxymannose", "GDP-6-deoxy-D-<i>lyxo</i>-4-hexulose"]	"C16H21N5O15P2"	585.314	
"GDP-4-DEHYDRO-6-L-DEOXYGALACTOSE"	"GDP-4-dehydro-6-deoxy-&beta;-L-galactose"	["GDP-4-oxo-L-fucose", "GDP-4-keto-6-L-deoxygalactose"]	"C16H21N5O15P2"	585.314	
"GDP-D-GLUCOSE"	"GDP-&alpha;-D-glucose"	["GDP-glucose"]	"C16H23N5O16P2"	603.329	
"GDP-GROUP"	"GDP group"	[]	"C10H13N5O11P2"	441.187	
"GDP-MANNOSE"	"GDP-&alpha;-D-mannose"	["guanosine pyrophosphate mannose", "guanosine diphosphomannose", "guanosine diphosphate mannose", "GDP-mannose"]	"C16H23N5O16P2"	603.329	
"GDP-SUGARS"	"a GDP-sugar"	[]	null	null	
"GDP-TP"	"pppGpp"	["guanosine pentaphosphate", "guanosine 3'-diphosphate 5'-triphosphate", "guanosine 5'-triphosphate,3'-diphosphate"]	"C10H11N5O20P5"	676.087	
"Gellan"	"gellan"	["E418"]	null	null	
"Gentamicin-2-prime-prime-phosphate"	"a gentamicin 2''-phosphate"	["a gentamycin 2''-phosphate"]	null	null	
"Gentamycins"	"a gentamicin"	["a gentamycin"]	null	null	
"Gentiobiose"	"gentiobiose"	["&beta;-D-Glcp-(1&rarr;6)-D-Glcp", "&beta;-D-glucopyranose-(1&rarr;6)-D-glucopyranose"]	"C12H22O11"	342.299	
"GERANIAL"	"geranial"	["citral", "geranialdehyde", "geranal", "<i>trans</i>-citral"]	"C10H16O"	152.236	
"GERANIOL"	"geraniol"	["lemonol", "geranyl alcohol", "<i>trans</i>-geraniol", "<i>trans</i>-3,7-dimethyl-2,6-octadien-1-ol", "(<i>E</i>)-geraniol"]	"C10H18O"	154.252	
"GERANYL-PP"	"geranyl diphosphate"	["geranyl-diphosphate", "geranyl-pyrophosphate", "GPP", "geranyl-PP", "geranyl pyrophosphate", "&omega;,E-geranyl diphosphate"]	"C10H17O7P2"	311.188	
"GERANYLGERANYL-PP"	"geranylgeranyl diphosphate"	["GGPP", "all-<i>trans</i>-geranyl-geranyl-pp", "geranylgeranyl-PP", "geranylgeranyl diphosphate", "(2E,6E,10E)-geranylgeranyl diphosphate", "&omega;,<i>E</i>,<i>E</i>,<i>E</i>-geranylgeranyl diphosphate", "(2E,6E,10E)-3,7,11,15-tetramethylhexadeca-2,6,10,14-tetraen-1-yl diphosphate", "all-<i>trans</i>-geranylgeranyl diphosphate", "2-<i>trans</i>,6-<i>trans</i>,10-<i>trans</i>-geranylgeranyl diphosphate"]	"C20H33O7P2"	447.424	
"Gibberellins"	"a gibberellin"	[]	null	null	
"Ginsenosides"	"a ginsenoside"	["a panaxoside"]	null	null	
"GIPC-40-0-2s"	"a glycosylinositolphosphoceramide(40:0)-2"	["a GIPC(40:0)-2"]	null	null	
"GIPC-40-0-3s"	"a glycosylinositolphosphoceramide(40:0)-3"	["a GIPC(40:0)-3"]	null	null	
"GIPC-40-1-2s"	"a glycosylinositolphosphoceramide(40:1)-2"	["a GIPC(40:1)-2"]	null	null	
"GIPC-40-1-3s"	"a glycosylinositolphosphoceramide(40:1)-3"	["a GIPC(40:1)-3"]	null	null	
"GIPC-42-2-3s"	"a glycosylinositolphosphoceramide(42:2)-3"	["a GIPC(42:2)-3"]	null	null	
"GIPC-44-0-2s"	"a glycosylinositolphosphoceramide(44:0)-2"	["a GIPC(44:0)-2"]	null	null	
"GIPC-44-0-3s"	"a glycosylinositolphosphoceramide(44:0)-3"	["a GIPC(44:0)-3"]	null	null	
"GIPC-46-2-2s"	"a glycosylinositolphosphoceramide(46:2)-2"	["a GIPC(46:2)-2"]	null	null	
"GLC"	"&beta;-D-glucopyranose"	["&beta;-D-glucose", "&beta;-glucose"]	"C6H12O6"	180.157	
"GLC-1-P"	"&alpha;-D-glucopyranose 1-phosphate"	["glucose 1-phosphate", "cori ester", "D-glucose 1-phosphate", "glucose-1P", "&alpha;-glucose-1-phosphate", "D-glucose-&alpha;-1-phosphate", "&alpha;-D-glucose-1-P", "D-glucose-1-phosphate", "&alpha;-D-glucose 1-phosphate"]	"C6H11O9P"	258.121	
"GLC-6-P"	"&beta;-D-glucose 6-phosphate"	["&beta;-D-glucose-6-P"]	"C6H11O9P"	258.121	
"GLC-D-LACTONE"	"D-glucono-1,5-lactone"	["3,4,5-trihydroxy-6-(hydroxymethyl)tetrahydropyran-2-one", "gluconolactone", "glucono-1,5-lactone", "1,5-gluconolactone", "D-gluconolactone", "glucono-&delta;-lactone", "&delta;-gluconolactone", "D-glucono-&delta;-lactone", "gluconic lactone", "gluconic acid lactone"]	"C6H10O6"	178.141	
"Glc2Man9GlcNAc2-proteins"	"Glc<sub>2</sub>Man<sub>9</sub>GlcNAc<sub>2</sub>-[protein]"	["an [&alpha;-D-Glc-(1&rarr;3)-&alpha;-D-Glc-(1&rarr;3)-&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;3)-{&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;3)-[&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;6)]-&alpha;-D-Man-(1&rarr;6)}-&beta;-D-Man-(1&rarr;4)-&beta;-D-GlcNAc-(1&rarr;4)-&beta;-D-GlcNAc]-<i>N</i>-Asn-[protein]", "a -[(glucosyl)<sub>2</sub>(mannosyl)<sub>9</sub>(<i>N</i>-acetylglucosaminyl)<sub>2</sub>]-L-asparaginyl-[protein]"]	null	null	
"GlcA-Gal-Gal-Xyl-Proteins"	"a 3-<i>O</i>-[&beta;-D-GlcA-(1&rarr;3)-&beta;-D-Gal-(1&rarr;3)-&beta;-D-Gal-(1&rarr;4)-&beta;-D-Xyl]-L-seryl-[protein]"	["3-&beta;-D-glucosyluronate-3-&beta;-D-galactosyl-4-&beta;-D-galactosyl-<i>O</i>-&beta;-D-xylosyl-[protein]", "&beta;-D-glucosyluronate-(1->3)-&beta;-D-galactosyl-(1->3)-&beta;-D-galactosyl-(1->4)-&beta;-D-xylosyl-[proteoglycan]", "&beta;-D-glucuronosyl-(1->3)-&beta;-D-galactosyl-(1->3)-&beta;-D-galactosyl-(1->4)-&beta;-D-xylosyl-[core protein]", "a [protein]-3-<i>O</i>-(&beta;-D-glucuronosyl-(1&rarr;3)-&beta;-D-galactosyl-(1&rarr;3)-&beta;-D-galactosyl-(1&rarr;4)-&beta;-D-xylosyl)-L-serine"]	null	null	
"GlcA-GalNAc-GlcA-Gal-Gal-Xyl-Proteins"	"a 3-<i>O</i>-[&beta;-D-GlcA-(1&rarr;3)-&beta;-D-GalNAc-(1&rarr;4)-&beta;-D-GlcA-(1&rarr;3)-&beta;-D-Gal-(1&rarr;3)-&beta;-D-Gal-(1&rarr;4)-&beta;-D-Xyl]-L-seryl-[protein]"	["D-glucuronosyl-(1&rarr;3)-&beta;-<i>N</i>-acetyl-D-galactosaminyl-(1&rarr;4)-&beta;-D-glucuronosyl-(1&rarr;3)-&beta;-D-galactosyl-(1->3)-&beta;-D-galactosyl-(1->4)-&beta;-D-xylosyl-[core protein]"]	null	null	
"GlcA-GlcNAc-GlcA-Gal-Gal-Xyl-Protein"	"a 3-<i>O</i>-[&beta;-D-GlcA-(1&rarr;3)-&alpha;-D-GlcNAc-(1&rarr;4)-&beta;-D-GlcA-(1&rarr;3)-&beta;-D-Gal-(1&rarr;3)-&beta;-D-Gal-(1&rarr;4)-&beta;-D-Xyl]-L-seryl-[protein]"	["&beta;-D-glucosyluronate-(1->3)-&alpha;-N-acetyl-D-glucosaminyl-(1->4)-&beta;-D-glucosyluronate-(1->3)-&beta;-D-galactosyl-(1->3)-&beta;-D-galactosyl-(1->4)-&beta;-D-xylosyl-[proteoglycan]", "&beta;-D-glucosyluronate-(1->3)-&alpha;-N-acetyl-D-glucosaminyl-(1->4)-&beta;-D-glucosyluronate-(1->3)-&beta;-D-galactosyl-(1->3)-&beta;-D-galactosyl-(1->4)-&beta;-D-xylosylproteoglycan", "&beta;-D-glucuronosyl-(1->3)-&alpha;-N-acetyl-D-glucosaminyl-(1->4)-&beta;-D-glucuronosyl-(1->3)-&beta;-D-galactosyl-(1->3)-&beta;-D-galactosyl-(1->4)-&beta;-D-xylosyl-[core protein]"]	null	null	
"GlcA-n-3-O-sulfoGlcNS"	"heparan sulfate containing a glucuronate--<i>N</i>,3-<i>O</i>-disulfo-D-glucosamine disaccharide"	[]	null	null	
"GlcA-n-6-O-sulfoGlcNS"	"heparan sulfate containing a glucuronate--<i>N</i>,6-<i>O</i>-disulfo-D-glucosamine disaccharide"	[]	null	null	
"GlcCer-40-1-3s"	"a glucosylceramide(40:1)-3"	["a GlcCer(40:1)-3", "a glucosyl ceramide(40:1)-3"]	null	null	
"GlcMan9GlcNAc2-proteins"	"GlcMan<sub>9</sub>GlcNAc<sub>2</sub>-[protein]"	["an N-linked GlcMan<sub>9</sub>(GlcNAc)<sub>2</sub>-glycoprotein", "an &alpha;-D-Glc-(1&rarr;3)-&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;3)-[&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;3)-[&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;6)]-&alpha;-D-Man-(1&rarr;6)]-&beta;-D-Man-(1&rarr;4)-&beta;-D-GlcNAc-(1&rarr;4)-&beta;-D-GlcNAc-1-L-asparaginyl-[protein]", "a [glucosyl(mannosyl)<sub>9</sub>(<i>N</i>-acetylglucosaminyl)<sub>2</sub>]-L-asparaginyl-[protein]"]	null	null	
"GlcNAc-1-6-anhydro-MurNAc-pentapeptide"	"GlcNAc-1,6-anhydro-MurNAc-pentapeptide"	[]	null	null	
"GlcNAc-b2-GlcNAc-b6-O-D-mannosyl-Protein"	"a 3-<i>O</i>-{&beta;-D-GlcNAc-(1&rarr;2)-[&beta;-D-GlcNAc-(1&rarr;6)-]-&alpha;-D-mannosyl}-(Ser/Thr)-[protein]"	["core M2"]	null	null	
"GlcNAc-b2-O-D-mannosyl-Protein"	"a 3-<i>O</i>-[&beta;-D-GlcNAc-(1&rarr;2)-&alpha;-D-mannosyl]-(Ser/Thr)-[protein]"	["core M1"]	null	null	
"GlcNAc-GlcA-Gal-Gal-Xyl-Protein"	"a 3-<i>O</i>-[&alpha;-D-GlcNAc-(1&rarr;4)-&beta;-D-GlcA-(1&rarr;3)-&beta;-D-Gal-(1&rarr;3)-&beta;-D-Gal-(1&rarr;4)-&beta;-D-Xyl]-L-seryl-[protein]"	["&alpha;-N-acetyl-D-glucosaminyl-(1->4)-&beta;-D-glucosyluronate-(1->3)-&beta;-D-galactosyl-(1->3)-&beta;-D-galactosyl-(1->4)-&beta;-D-xylosyl-[proteoglycan]", "&alpha;-N-acetyl-D-glucosaminyl-(1->4)-&beta;-D-glucosyluronate-(1->3)-&beta;-D-galactosyl-(1->3)-&beta;-D-galactosyl-(1->4)-&beta;-D-xylosylproteoglycan", "&alpha;-N-acetyl-D-glucosaminyl-(1->4)-&beta;-D-glucuronosyl-(1->3)-&beta;-D-galactosyl-(1->3)-&beta;-D-galactosyl-(1->4)-&beta;-D-xylosyl-[core protein]"]	null	null	
"GlcNAc-GlcA-GlcNAc-GlcA-Gal-Gal-Xyl-Core"	"a 3-<i>O</i>-[&alpha;-D-GlcNAc-(1&rarr;4)-&beta;-D-GlcA-(1&rarr;3)-&alpha;-D-GlcNAc-(1&rarr;4)-&beta;-D-GlcA-(1&rarr;3)-&beta;-D-Gal-(1&rarr;3)-&beta;-D-Gal-(1&rarr;4)-&beta;-D-Xyl]-L-seryl-[protein]"	["&alpha;-N-acetyl-D-glucosaminyl-(1->4)-&beta;-D-glucosyluronate-(1->3)-&alpha;-N-acetyl-D-glucosaminyl-(1->4)-&beta;-D-glucosyluronate-(1->3)-&beta;-D-galactosyl-(1->3)-&beta;-D-galactosyl-(1->4)-&beta;-D-xylosyl-[proteoglycan]", "&alpha;-N-acetyl-D-glucosaminyl-(1->4)-&beta;-D-glucosyluronate-(1->3)-&alpha;-N-acetyl-D-glucosaminyl-(1->4)-&beta;-D-glucosyluronate-(1->3)-&beta;-D-galactosyl-(1->3)-&beta;-D-galactosyl-(1->4)-&beta;-D-xylosylproteoglycan", "&alpha;-N-acetyl-D-glucosaminyl-(1->4)-&beta;-D-glucuronosyl-(1->3)-&alpha;-N-acetyl-D-glucosaminyl-(1->4)-&beta;-D-glucuronosyl-(1->3)-&beta;-D-galactosyl-(1->3)-&beta;-D-galactosyl-(1->4)-&beta;-D-xylosyl-[core protein]"]	null	null	
"GlcNAc-MurNAc-tetrapeptide"	"an <i>N</i>-acetyl-D-glucosamine-<i>N</i>-acetylmuramyl-tetrapeptide"	["a GlcNAc-MurNAc-tetrapeptide"]	null	null	
"GlgE-Glycogen"	"a GlgE-glycogen"	["a mycobacterial &alpha;-D-glucan"]	null	null	
"GLN"	"L-glutamine"	["Q", "proglumide", "glum", "glutamine", "glumin", "2-aminoglutaramic acid", "glutamic acid 5-amide", "L-gln"]	"C5H10N2O3"	146.146	
"Globo-Series-GSLs"	"a globo-series glycosphingolipid"	[]	null	null	
"GLOBOMYCIN"	"globomycin"	[]	"C33H59N5O9"	669.857	
"GLT"	"L-glutamate"	["1-amino-propane-1,3-dicarboxylic acid", "glutacid", "glutaminic acid", "L-glutamic acid", "&alpha;-aminoglutaric acid", "E", "glt", "glut", "L-glu", "2-aminopentanedioic acid"]	"C5H8NO4"	146.122	
"Gluc-Glycosyl-Hydroxymethylcytosine-DNAs"	"&beta;-D-glucosyl-&beta;-D-glucosyl-hydroxymethylcytosine in DNA"	["a DNA containing &beta;-D-glucosyl-&beta;-D-glucosyl-hydroxymethylcytosine"]	null	null	
"Glucans"	"a glucan"	[]	null	null	
"Glucocorticoids"	"a  glucocorticoid"	[]	null	null	
"Glucolipids"	"a glucolipid"	[]	null	null	
"Glucomannans"	"a glucomannan"	[]	null	null	
"GLUCONATE"	"D-gluconate"	["D-gluconic acid", "dextronic acid", "maltonic acid"]	"C6H11O7"	195.149	
"Glucopyranose"	"D-glucopyranose"	["6-(hydroxymethyl)tetrahydropyran-2,3,4,5-tetraol"]	"C6H12O6"	180.157	
"GLUCOSAMINATE"	"2-amino-2-deoxy-D-gluconate"	["D-glucosaminic acid", "D-glucosaminate", "2-amino-2-deoxy-D-gluconic acid"]	"C6H13NO6"	195.172	
"GLUCOSAMINE"	"D-glucosamine"	["2-amino-2-deoxyglucose", "chitosamine", "glucosamine"]	"C6H14NO5"	180.18	
"GLUCOSAMINE-1P"	"&alpha;-D-glucosamine 1-phosphate"	["glucosamine-1P", "&alpha;-D-glucosamine 1P", "D-glucosamine 1-phosphate"]	"C6H13NO8P"	258.144	
"Glucosaminoglycans"	"a glucosaminoglycan"	[]	null	null	
"GLUCOSAMINYL-13-N-ETCETERA-GALACTOSAMINY"	"core 3"	["<i>N</i>-acetyl-&beta;-D-glucosaminyl-1,3-<i>N</i>-acetyl-&alpha;-D-galactosaminyl-R", "<i>N</i>-acetyl-&beta;-D-glucosaminyl-1,3-<i>N</i>-acetyl-&alpha;-D-galactosaminyl-[glycoprotein]"]	null	null	
"GLUCOSAMINYL-16-ETCETERA-GALACTOSAMINYL-"	"core 4"	["<i>N</i>-acetyl-&beta;-D-glucosaminyl-1,6-(<i>N</i>-acetyl-&beta;-D-glucosaminyl-1,3)-<i>N</i>-acetyl-&alpha;-D-galactosaminyl-R", "<i>N</i>-acetyl-&beta;-D-glucosaminyl-1,6-(<i>N</i>-acetyl-&beta;-D-glucosaminyl-1,3)-<i>N</i>-acetyl-&alpha;-D-galactosaminyl-[glycoprotein]"]	null	null	
"GLUCOSAMINYL-ETCETERA-MANNOSYL-R"	"(<i>N</i>-acetyl-&beta;-D-glucosaminyl-1,2)-&alpha;-D-mannosyl-1,3-(&beta;-<i>N</i>-acetyl-D-glucosaminyl-1,2-&alpha;-D-mannosyl-1,6)-&beta;-D-mannosyl-R"	[]	null	null	
"Glucose"	"glucose"	[]	null	null	
"GLUCOSE-16-DIPHOSPHATE"	"glucose-1,6-bisphosphate"	["glucose-1,6-diphosphate"]	"C6H10O12P2"	336.085	
"Glucose-6-phosphate"	"D-glucose 6-phosphate"	["D-glucose-6-P"]	null	null	
"Glucosides"	"a D-glucoside"	["a D-glucopyranoside"]	null	null	
"Glucosinolates"	"a glucosinolate"	[]	null	null	
"Glucosyl-Acceptors"	"a glucosyl acceptor"	["a glucosyl donor"]	null	null	
"Glucosyl-acyl-sphinganines"	"a &beta;-D-glucosyl-<i>N</i>-acylsphinganine"	["a glucosylceramide (I)", "an <i>N</i>-acyl-&beta;-D-glucosyl-sphinganine", "a dihydroglucosylceramide", "GlcCer"]	null	null	
"Glucosyl-acyl-sphingosines"	"a &beta;-D-glucosyl-<i>N</i>-acylsphingosine"	["a &beta;-D-glucosyl-(1&harr;1)-ceramide", "<i>N</i>-acyl-&beta;-D-glucosyl-sphingosine", "a glucosylceramide (II)"]	null	null	
"Glucosyl-ceramides"	"a glucosylceramide"	["a glucocerebroside", "a D-glucosylceramide", "a glucosyl cerebroside", "a GlcCer", "a glucosyl ceramide"]	null	null	
"Glucosyl-Lipopolysaccharides"	"an &alpha;-D-glucosyl-lipopolysaccharide"	[]	null	null	
"Glucosylated-Glucose-Acceptors"	"a glucosylated D-glucose acceptor"	["a glucosylated D-glucose donor"]	null	null	
"Glucuronans"	"a glucuronan"	["a (1,4)-&beta;-D-glucuronan"]	null	null	
"GLUCURONATE"	"D-glucuronate"	["glucuronate", "glucuronic acid", "D-glucuronic acid", "GlcA", "D-glucopyranuronic acid"]	"C6H9O7"	193.133	
"Glucuronides"	"a D-glucoronoside"	["a D-glucosiduronate"]	null	null	
"Glucuronoarabinoxylan-Oligosaccharides"	"a glucuronoarabinoxylan oligosaccharide"	[]	null	null	
"Glucuronoarabinoxylans"	"a glucuronoarabinoxylan"	["GAX"]	null	null	
"Glucuronoside-Acceptors"	"a glucuronoside acceptor"	[]	null	null	
"Glucuronosylated-Glucuronoside-Acceptors"	"a glucuronated glucosyluronate acceptor"	[]	null	null	
"GLUCURONOXYLAN-4-O-METHYL-D-GLUCURONATE"	"[glucuronoxylan] 4-<i>O</i>-methyl-D-glucuronate"	[]	null	null	
"GLUCURONOXYLAN-D-GLUCURONATE"	"[glucuronoxylan] D-glucuronate"	[]	null	null	
"Glucuronoxylan-Oligosaccharides"	"a glucuronoxylan oligosaccharide"	[]	null	null	
"Glucuronoxylans"	"a glucuronoxylan"	["MGX", "4-<i>O</i>-methyl-D-glucurono-D-xylan"]	null	null	
"GLUCURONYL-ETCETERA-GALACTOSYLPROTEOGLYC"	"D-glucosyluronate-1,3-&beta;-D-galactosyl-[proteoglycan]"	["3-&beta;-D-glucosyluronate-3-&beta;-D-galactosyl-4-&beta;-D-galactosyl-O-&beta;-D-xylosyl-[protein]", "&beta;-D-glucosyluronate-1,3-D-galactosyl-[proteoglycan]"]	null	null	
"GLUTACONATE"	"(<i>E</i>)-glutaconate"	["<i>trans</i>-glutaconic acid", "<i>trans</i>-glutaconate", "(<i>E</i>)-glutaconic acid"]	"C5H4O4"	128.084	
"GLUTAMATE-1-SEMIALDEHYDE"	"(S)-4-amino-5-oxopentanoate"	["L-glutamate 1-semialdehyde"]	"C5H9NO3"	131.131	
"Glutamates"	"glutamate"	[]	"C5H8NO4"	146.122	
"GLUTAMIDE"	"D-glutamine"	["glutamide"]	"C5H10N2O3"	146.146	
"Glutamine-synthetase-adenylyl-Tyr"	"a [glutamine synthetase]-<i>O</i><sup>4</sup>-(5'-adenylyl)-L-tyrosine"	[]	null	null	
"Glutamine-synthetase-Tyr"	"a [glutamine-synthetase]-L-tyrosine"	[]	null	null	
"Glutamyl-Acceptors"	"a glutamyl acceptor"	[]	null	null	
"GLUTARATE"	"glutarate"	["pentanedioate", "glutaric acid"]	"C5H6O4"	130.1	
"GLUTATHIONE"	"glutathione"	["L-&gamma;-glutamyl-L-cysteinylglycine", "GSH", "reduced glutathione", "glutathionate"]	"C10H16N3O6S"	306.313	
"GLUTATHIONYLSPERMIDINE"	"glutathionylspermidine"	["N1-(&gamma;-L-glutamyl-L-cysteinyl-glycyl)-spermidine"]	"C17H36N6O5S"	436.569	
"GLY"	"glycine"	["G", "aminoacetic acid"]	"C2H5NO2"	75.067	
"Glycan-Groups"	"a glycan group"	[]	null	null	
"Glycans"	"a glycan"	[]	null	null	
"Glyceollins"	"a glyceollin"	[]	null	null	
"GLYCERALD"	"D-glyceraldehyde"	["glyceraldehyde", "&alpha;,&beta;-dihydroxypropionaldehyde", "D-(+)-glyceraldehyde", "D-2,3-dihydroxypropanal", "D-2,3-dihydroxypropionaldehyde", "D-aldotriose", "D-glycerose"]	"C3H6O3"	90.079	
"GLYCERATE"	"D-glycerate"	["(<i>R</i>)-glycerate", "glycerate", "D-glyceric acid"]	"C3H5O4"	105.07	
"Glycerates"	"a glycerate"	["glyceric acid"]	null	null	
"Glycerides"	"a glyceride"	[]	null	null	
"GLYCEROL"	"glycerol"	["1,2,3-trihydroxypropane", "glycerin", "1,2,3-trihydroxypropanol"]	"C3H8O3"	92.094	
"Glycerol-1-phosphate"	"glycerol 1-phosphate"	["D,L-&alpha;-glycerol-phosphate", "DL-glycerol 1-phosphate"]	"C3H7O6P"	170.058	
"GLYCEROL-3P"	"<i>sn</i>-glycerol 3-phosphate"	["L-&alpha;-glycerophosphate", "L-G3P", "L-glycerol 3-phosphate", "&alpha;-glycerophosphoric acid", "&alpha;-glycerophosphate", "D-glycerol 1-phosphate", "glycerol 3-phosphate"]	"C3H7O6P"	170.058	
"Glycerol-Ethers"	"a glycerol ether"	[]	null	null	
"Glycerolipid-crepenynate"	"a [glycerolipid]-crepenynate"	[]	null	null	
"Glycerolipid-Olefinic-Fatty-Acids"	"a [glycerolipid] olefinic fatty acid"	[]	null	null	
"Glycerolipid-vernolate"	"a [glycerolipid]-vernolate"	[]	null	null	
"Glycerolipids"	"a glycerolipid"	[]	null	null	
"Glycerophosphodiesters"	"a glycerophosphodiester"	["glycerophosphodiester", "glycerol-3-P-OR"]	null	null	
"GLYCEROPHOSPHOGLYCEROL"	"glycerophosphoglycerol"	["diglycerol phosphate", "bis(2,3-dihydroxypropyl) phosphate"]	"C6H14O8P"	245.146	
"Glycerophosphoinositols"	"a glycerophosphoinositol"	[]	null	null	
"GLYCO-CT-ACETYL"	null	[]	null	null	
"GLYCO-CT-AMINO"	null	[]	null	null	
"Glyco-CT-Base-Types"	"Glyco-CT Base Types"	[]	null	null	
"GLYCO-CT-METHYL"	null	[]	null	null	
"GLYCO-CT-N-ACETYL"	"GLYCO-CT-N-ACETYL"	[]	null	null	
"GLYCO-CT-N-SULFATE"	"GLYCO-CT-N-SULFATE"	[]	null	null	
"GLYCO-CT-PHOSPHATE"	null	[]	null	null	
"Glyco-CT-Stemtype-ALL"	null	[]	null	null	
"Glyco-CT-Stemtype-ALT"	null	[]	null	null	
"Glyco-CT-Stemtype-ARA"	null	[]	null	null	
"Glyco-CT-Stemtype-ERY"	null	[]	null	null	
"Glyco-CT-Stemtype-GAL"	null	[]	null	null	
"Glyco-CT-Stemtype-GLC"	null	[]	null	null	
"Glyco-CT-Stemtype-GUL"	null	[]	null	null	
"Glyco-CT-Stemtype-IDO"	null	[]	null	null	
"Glyco-CT-Stemtype-LYX"	null	[]	null	null	
"Glyco-CT-Stemtype-MAN"	null	[]	null	null	
"Glyco-CT-Stemtype-RIB"	null	[]	null	null	
"Glyco-CT-Stemtype-TAL"	null	[]	null	null	
"Glyco-CT-Stemtype-TRE"	null	[]	null	null	
"Glyco-CT-Stemtype-XYL"	null	[]	null	null	
"Glyco-CT-Substituents"	"Glyco-CT Substituents"	[]	null	null	
"GLYCO-CT-SULFATE"	null	[]	null	null	
"Glyco-CT-Superclass-DEC"	"Decose"	[]	null	null	
"Glyco-CT-Superclass-HEP"	"Heptose"	[]	null	null	
"Glyco-CT-Superclass-HEX"	"Hexose"	[]	null	null	
"Glyco-CT-Superclass-NON"	"Nonose"	[]	null	null	
"Glyco-CT-Superclass-OCT"	"Octose"	[]	null	null	
"Glyco-CT-Superclass-PEN"	"Pentose"	[]	null	null	
"Glyco-CT-Superclass-S11"	"Undecose"	[]	null	null	
"Glyco-CT-Superclass-S12"	"Dodecose"	[]	null	null	
"Glyco-CT-Superclass-S13"	"Tridecose"	[]	null	null	
"Glyco-CT-Superclass-S14"	"Tetradecose"	[]	null	null	
"Glyco-CT-Superclass-S15"	"Pentadecose"	[]	null	null	
"Glyco-CT-Superclass-S16"	"Hexadecose"	[]	null	null	
"Glyco-CT-Superclass-TET"	"Tetrose"	[]	null	null	
"Glyco-CT-Superclass-TRI"	"Triose"	[]	"C3H6O3"	90.079	
"Glycoalkaloids"	"a glycoalkaloid"	[]	null	null	
"Glycoconjugates"	"a glycoconjugate"	[]	null	null	
"Glycogens"	"a glycogen"	["a branching glycogen", "6-&alpha;-D-(1,4-&alpha;-D-glucano)-glucan", "glycogen"]	null	null	
"GLYCOL"	"ethylene glycol"	["monoethylene glycol", "2-hydroxyethanol", "ethanediol", "1,2-ethanediol", "glycol"]	"C2H6O2"	62.068	
"GLYCOLALDEHYDE"	"glycolaldehyde"	["glycoaldehyde", "2-OH-acetaldehyde", "hydroxyacetaldehyde", "2-hydroxyethanal"]	"C2H4O2"	60.052	
"Glycolipids"	"a glycolipid"	[]	null	null	
"GLYCOLLATE"	"glycolate"	["hydroxyacetic acid", "glycolic acid", "glycollate"]	"C2H3O3"	75.044	
"glycols"	"a glycol"	[]	null	null	
"Glycoprotein-Asn-oligosaccharides"	"a [glycoprotein]-L-asparagine-[oligosaccharide]"	[]	null	null	
"Glycoprotein-L-Lysine"	"a [glycoprotein]-L-lysine"	[]	null	null	
"Glycoprotein-L-Serine"	"a [glycolipid] L-serine"	[]	null	null	
"Glycoprotein-L-serine-or-L-threonine"	"a [glycoprotein]-(L-serine/L-threonine)"	["a [glycoprotein]-L-serine/L-threonine"]	null	null	
"GLYCOPROTEIN-PHOSPHO-D-MANNOSE"	"a 3-phospho-&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;3)-[&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;3)-[&alpha;-D-Man-(1&rarr;6)]-&alpha;-D-Man-(1&rarr;6)]-&beta;-D-Man-(1&rarr;4)-&beta;-D-GlcNAc-(1&rarr;4)-&alpha;-D-GlcNAc-L-asparaginyl-[lysosomal protein]"	[]	null	null	
"Glycosaminoglycans"	"a glycosaminoglycan"	["a mucopolysaccharide"]	null	null	
"Glycosides"	"a glycoside"	[]	null	null	
"Glycosphingolipids"	"a glycosphingolipid"	[]	null	null	
"Glycosyl-Esters"	"a glycosyl ester"	[]	null	null	
"Glycosyl-IPCs"	"a glycosylinositol phosphoceramide"	["a GIPC"]	null	null	
