"id"	"symbol"	"synonyms"	"left_end_pos"	"right_end_pos"	"direction"	"rna_id"
"EG12801"	"mlaF"	["mlaF", "yrbF", "b3195", "ECK3184"]	3339256	3340065	"-"	"EG12801_RNA"
"EG12802"	"yrbG"	["yrbG", "b3196", "ECK3185"]	3340275	3341252	"+"	"EG12802_RNA"
"EG12830"	"ybaM"	["ybaM", "b0466", "ECK0460"]	490110	490271	"-"	"EG12830_RNA"
"EG12834"	"yhdW"	["yhdW", "b3268", "ECK3255"]	3419042	3420066	"+"	"EG12834_RNA"
"EG12835"	"yhdX"	["yhdX", "b3269", "ECK3256"]	3420134	3421315	"+"	"EG12835_RNA"
"EG12836"	"yhdY"	["yhdY", "b3270", "ECK3257"]	3421325	3422428	"+"	"EG12836_RNA"
"EG12837"	"yhdZ"	["yhdZ", "b3271", "ECK3258"]	3422436	3423194	"+"	"EG12837_RNA"
"EG12842"	"ybjC"	["ybjC", "b0850", "ECK0841"]	890913	891200	"+"	"EG12842_RNA"
"EG12843"	"ybaN"	["ybaN", "b0468", "ECK0462"]	490882	491259	"+"	"EG12843_RNA"
"EG12844"	"yefM"	["yefM", "b2017", "ECK2012"]	2089462	2089713	"-"	"EG12844_RNA"
"EG12845"	"cas2"	["cas2", "ygbF", "b2754", "ECK2749"]	2878569	2878853	"-"	"EG12845_RNA"
"EG12850"	"yfaL"	["yfaL", "yfaF", "yfaK", "yfaJ", "b2233", "ECK2225"]	2340417	2344169	"-"	"EG12850_RNA"
"EG12851"	"ybeL"	["ybeL", "b0643", "ECK0636"]	675018	675500	"+"	"EG12851_RNA"
"EG12853"	"abgT"	["abgT", "ydaH", "b1336", "ECK1332"]	1400247	1401773	"-"	"EG12853_RNA"
"EG12854"	"cpoB"	["cpoB", "ybgF", "b0742", "ECK0731"]	779598	780389	"+"	"EG12854_RNA"
"EG12855"	"matP"	["matP", "ycbG", "b0956", "ECK0947"]	1018485	1018937	"+"	"EG12855_RNA"
"EG12857"	"yfiM"	["yfiM", "b2586", "ECK2584"]	2724128	2724451	"+"	"EG12857_RNA"
"EG12859"	"opgD"	["opgD", "yzzZ", "ydcG", "mdoD", "b1424", "ECK1418"]	1496856	1498511	"+"	"EG12859_RNA"
"EG12860"	"yebK"	["yebK", "hexR(P.a.)", "b1853", "ECK1854"]	1936652	1937521	"+"	"EG12860_RNA"
"EG12861"	"yecF"	["yecF", "b1915", "ECK1914"]	1995818	1996042	"+"	"EG12861_RNA"
"EG12865"	"ydcH"	["ydcH", "b1426", "ECK1419"]	1498651	1498875	"+"	"EG12865_RNA"
"EG12866"	"proQ"	["proQ", "yoeC", "yobE", "yebJ", "b1831", "ECK1830"]	1914836	1915534	"-"	"EG12866_RNA"
"EG12867"	"ampH"	["ampH", "yaiH", "b0376", "ECK0371"]	395130	396287	"-"	"EG12867_RNA"
"EG12868"	"yciN"	["yciN", "b1273", "ECK1267"]	1330417	1330668	"-"	"EG12868_RNA"
"EG12870"	"ycjF"	["ycjF", "b1322", "ECK1318"]	1385511	1386572	"+"	"EG12870_RNA"
"EG12874"	"yajI"	["yajI", "b0412", "ECK0406"]	432312	432851	"-"	"EG12874_RNA"
"EG12875"	"ybhC"	["ybhC", "b0772", "ECK0761"]	805998	807281	"-"	"EG12875_RNA"
"EG12876"	"tusE"	["tusE", "yccK", "b0969", "ECK0960"]	1030339	1030668	"-"	"EG12876_RNA"
"EG12877"	"ycfK"	["ycfK", "stfP", "b1154", "ECK1140"]	1207501	1208130	"+"	"EG12877_RNA"
"EG12878"	"zapA"	["zapA", "ygfE", "b2910", "ECK2905"]	3055612	3055941	"+"	"EG12878_RNA"
"EG12879"	"ybcJ"	["ybcJ", "b0528", "ECK0521"]	556661	556873	"-"	"EG12879_RNA"
"EG12880"	"dgcN"	["dgcN", "yfiN", "b2604", "ECK2601"]	2742383	2743609	"+"	"EG12880_RNA"
"EG12881"	"yfaH"	["yfaH", "b2238", "ECK2230"]	2349687	2349893	"+"	"EG12881_RNA"
"EG12882"	"gss"	["gss", "gsp", "b2988", "ECK2982"]	3136663	3138522	"-"	"EG12882_RNA"
"EG12883"	"pitB"	["pitB", "b2987", "ECK2981"]	3134872	3136371	"-"	"EG12883_RNA"
"EG12903"	"yheS"	["yheS", "b3352", "ECK3340"]	3481289	3483202	"+"	"EG12903_RNA"
"EG12908"	"frlA"	["frlA", "yhfM", "b3370", "ECK3358"]	3499910	3501247	"+"	"EG12908_RNA"
"EG12933"	"feoC"	["feoC", "yhgG", "b3410", "ECK3397"]	3542728	3542964	"+"	"EG12933_RNA"
"EG12957"	"glk"	["glk", "b2388", "ECK2384"]	2508461	2509426	"-"	"EG12957_RNA"
"EG13139"	"tynA"	["tynA", "feaA", "maoA", "b1386", "ECK1383"]	1449076	1451349	"-"	"EG13139_RNA"
"EG13159"	"xapB"	["xapB", "b2406", "ECK2400"]	2522729	2523985	"-"	"EG13159_RNA"
"EG13161"	"dsdC"	["dsdC", "b2364", "ECK2360"]	2476694	2477629	"-"	"EG13161_RNA"
"EG13174"	"yqcE"	["yqcE", "yqcF", "b2775", "ECK2769"]	2900592	2901869	"+"	"EG13174_RNA"
"EG13217"	"ybaE"	["ybaE", "b0445", "ECK0439"]	465612	467312	"-"	"EG13217_RNA"
"EG13235"	"mngA"	["mngA", "frx", "hrsA", "b0731", "ECK0719"]	765984	767960	"+"	"EG13235_RNA"
"EG13236"	"mngB"	["mngB", "ybgG", "b0732", "ECK0720"]	767978	770611	"+"	"EG13236_RNA"
"EG13238"	"cobU"	["cobU", "b1993", "ECK1988"]	2065219	2065764	"-"	"EG13238_RNA"
"EG13270"	"aqpZ"	["aqpZ", "bniP", "b0875", "ECK0866"]	915352	916047	"-"	"EG13270_RNA"
"EG13283"	"emrY"	["emrY", "b2367", "ECK2363"]	2480638	2482176	"-"	"EG13283_RNA"
"EG20044"	"dctA"	["dctA", "b3528", "ECK3513"]	3682161	3683447	"-"	"EG20044_RNA"
"EG20049"	"dgoA"	["dgoA", "b3692", "yidU", "b4477", "ECK3685"]	3872995	3873612	"-"	"EG20049_RNA"
"EG20051"	"dgoK"	["dgoK", "yidV", "b3693", "ECK3686"]	3873596	3874474	"-"	"EG20051_RNA"
"EG20053"	"dgoT"	["dgoT", "yidT", "b3691", "ECK3683"]	3870438	3871730	"-"	"EG20053_RNA"
"EG20080"	"glcB"	["glcB", "glc", "b2976", "ECK2970"]	3121634	3123805	"-"	"EG20080_RNA"
"EG20091"	"gpsA"	["gpsA", "b3608", "ECK3598"]	3782642	3783661	"-"	"EG20091_RNA"
"EG20098"	"hpt"	["hpt", "b0125", "ECK0124"]	141431	141967	"+"	"EG20098_RNA"
"EG20110"	"kefB"	["kefB", "trkB", "b3350", "ECK3338"]	3478802	3480607	"-"	"EG20110_RNA"
"EG20173"	"pta"	["pta", "b2297", "ECK2291"]	2414747	2416891	"+"	"EG20173_RNA"
"EG20248"	"uxuB"	["uxuB", "b4323", "ECK4314"]	4552901	4554361	"+"	"EG20248_RNA"
"EG20249"	"uxuR"	["uxuR", "b4324", "ECK4315"]	4554576	4555349	"+"	"EG20249_RNA"
"EG20252"	"xylF"	["xylF", "xylT", "b3566", "ECK3555"]	3731131	3732123	"+"	"EG20252_RNA"
"EG20253"	"xylR"	["xylR", "b3569", "ECK3558"]	3734979	3736157	"+"	"EG20253_RNA"
"EG20257"	"nrdE"	["nrdE", "b2675", "ECK2669"]	2801348	2803492	"+"	"EG20257_RNA"
"EG30008"	"alaT"	["alaT", "talA", "b3853", "ECK3845"]	4037260	4037335	"+"	"alaT-tRNA"
"EG30009"	"alaU"	["alaU", "talD", "b3276", "ECK3263"]	3426958	3427033	"-"	"alaU-tRNA"
"EG30010"	"alaV"	["alaV", "b0203", "ECK0203"]	225500	225575	"+"	"alaV-tRNA"
"EG30011"	"alaW"	["alaW", "alaWalpha", "b2397", "ECK2391"]	2518156	2518231	"-"	"alaW-tRNA"
"EG30012"	"alaX"	["alaX", "alaWbeta", "b2396", "ECK2390"]	2518041	2518116	"-"	"alaX-tRNA"
"EG30013"	"argQ"	["argQ", "argVdelta", "b2691", "ECK2686"]	2817784	2817860	"-"	"argQ-tRNA"
"EG30014"	"argU"	["argU", "dnaY", "pin", "b0536", "ECK0529"]	564723	564799	"+"	"argU-tRNA"
"EG30015"	"argV"	["argV", "argValpha", "b2694", "ECK2689"]	2818473	2818549	"-"	"argV-tRNA"
"EG30016"	"argW"	["argW", "b2348", "ECK2342"]	2466309	2466383	"+"	"argW-tRNA"
"EG30017"	"argX"	["argX", "b3796", "ECK3789"]	3982375	3982451	"+"	"argX-tRNA"
"EG30018"	"argY"	["argY", "argVbeta", "b2693", "ECK2688"]	2818198	2818274	"-"	"argY-tRNA"
"EG30019"	"argZ"	["argZ", "argVgamma", "b2692", "ECK2687"]	2818059	2818135	"-"	"argZ-tRNA"
"EG30020"	"asnT"	["asnT", "b1977", "ECK1973"]	2044549	2044624	"+"	"asnT-tRNA"
"EG30021"	"asnU"	["asnU", "b1986", "ECK1981"]	2059851	2059926	"+"	"asnU-tRNA"
"EG30022"	"asnV"	["asnV", "b1989", "ECK1984"]	2062260	2062335	"+"	"asnV-tRNA"
"EG30023"	"aspT"	["aspT", "tasC", "b3760", "ECK3754"]	3946872	3946948	"+"	"aspT-tRNA"
"EG30024"	"aspU"	["aspU", "b0206", "ECK0206"]	228928	229004	"+"	"aspU-tRNA"
"EG30025"	"aspV"	["aspV", "b0216", "ECK0216"]	236931	237007	"+"	"aspV-tRNA"
"EG30027"	"ffs"	["ffs", "b0455", "ECK0449"]	476448	476561	"+"	"FFS-RNA"
"EG30028"	"glnU"	["glnU", "glnUalpha", "supB", "trnA", "b0670", "ECK0659"]	696865	696939	"-"	"glnU-tRNA"
"EG30029"	"glnV"	["glnV", "Su2", "glnValpha", "suII", "supE", "b0665", "ECK0656"]	696542	696616	"-"	"glnV-tRNA"
"EG30030"	"glnW"	["glnW", "glnU-beta", "glnUbeta", "b0668", "ECK0658"]	696756	696830	"-"	"glnW-tRNA"
"EG30031"	"glnX"	["glnX", "supE", "glnV-beta", "glnVbeta", "b0664", "ECK0655"]	696430	696504	"-"	"glnX-tRNA"
"EG30032"	"gltT"	["gltT", "tgtB", "b3969", "ECK3961"]	4168372	4168447	"+"	"gltT-tRNA"
"EG30033"	"gltU"	["gltU", "tgtC", "b3757", "ECK3751"]	3943435	3943510	"+"	"gltU-tRNA"
"EG30034"	"gltV"	["gltV", "tgtE", "b4008", "ECK4000"]	4209774	4209849	"+"	"gltV-tRNA"
"EG30035"	"gltW"	["gltW", "b2590", "ECK2588"]	2729369	2729444	"-"	"gltW-tRNA"
"EG30036"	"glyT"	["glyT", "sumA", "sup15B", "supA36", "b3978", "ECK3969"]	4175673	4175747	"+"	"glyT-tRNA"
"EG30037"	"glyU"	["glyU", "supT", "suA36", "sufD", "sumA", "sumB", "b2864", "ECK2860"]	2998984	2999057	"-"	"glyU-tRNA"
"EG30038"	"glyV"	["glyV", "glyValpha", "ins", "mutA", "suA58", "suA78", "b4163", "ECK4159"]	4392360	4392435	"+"	"glyV-tRNA"
"EG30039"	"glyW"	["glyW", "ins", "mutC", "suA58", "suA78", "b1911", "ECK1910"]	1992042	1992117	"-"	"glyW-tRNA"
"EG30040"	"glyX"	["glyX", "glyVbeta", "b4164", "ECK4160"]	4392472	4392547	"+"	"glyX-tRNA"
"EG30041"	"glyY"	["glyY", "glyVgamma", "b4165", "ECK4161"]	4392583	4392658	"+"	"glyY-tRNA"
"EG30042"	"hisR"	["hisR", "hisT", "b3797", "ECK3790"]	3982509	3982585	"+"	"hisR-tRNA"
"EG30043"	"ileT"	["ileT", "tilA", "b3852", "ECK3844"]	4037141	4037217	"+"	"ileT-tRNA"
"EG30044"	"ileU"	["ileU", "tilD", "b3277", "ECK3264"]	3427076	3427152	"-"	"ileU-tRNA"
"EG30045"	"ileV"	["ileV", "b0202", "ECK0202"]	225381	225457	"+"	"ileV-tRNA"
"EG30046"	"ileX"	["ileX", "b3069", "ECK3059"]	3215598	3215673	"+"	"ileX-tRNA"
"EG30047"	"leuP"	["leuP", "leuV-beta", "leuVbeta", "b4369", "ECK4360"]	4606200	4606286	"-"	"leuP-tRNA"
"EG30048"	"leuQ"	["leuQ", "leuVgamma", "b4370", "ECK4361"]	4606315	4606401	"-"	"leuQ-tRNA"
"EG30049"	"leuT"	["leuT", "b3798", "ECK3791"]	3982606	3982692	"+"	"leuT-tRNA"
"EG30050"	"leuU"	["leuU", "b3174", "ECK3163"]	3322072	3322158	"-"	"leuU-tRNA"
"EG30051"	"leuV"	["leuV", "leuValpha", "b4368", "ECK4359"]	4606079	4606165	"-"	"leuV-tRNA"
"EG30052"	"leuW"	["leuW", "feeB", "b0672", "ECK0660"]	696963	697047	"-"	"leuW-tRNA"
"EG30053"	"leuX"	["leuX", "Su-6", "supP", "b4270", "ECK4263"]	4496405	4496489	"+"	"leuX-tRNA"
"EG30054"	"leuZ"	["leuZ", "b1909", "ECK1908"]	1991815	1991901	"-"	"leuZ-tRNA"
"EG30055"	"lysT"	["lysT", "supL", "supG", "sua", "lysTalpha", "Su[beta]", "b0743", "ECK0732"]	780554	780629	"+"	"lysT-tRNA"
"EG30056"	"lysV"	["lysV", "supN", "b2404", "ECK2398"]	2521253	2521328	"+"	"lysV-tRNA"
"EG30057"	"lysW"	["lysW", "lysT-beta", "lysTbeta", "su", "b0745", "ECK0734"]	780843	780918	"+"	"lysW-tRNA"
"EG30058"	"metT"	["metT", "metTalpha", "b0673", "ECK0661"]	697057	697133	"-"	"metT-tRNA"
"EG30059"	"metU"	["metU", "metT-beta", "metTbeta", "b0666", "ECK0657"]	696664	696740	"-"	"metU-tRNA"
"EG30060"	"metV"	["metV", "metZbeta", "metX", "metZ-&beta;", "metZb", "b2816", "ECK2812"]	2947607	2947683	"+"	"RNA0-306"
"EG30061"	"metY"	["metY", "b3171", "ECK3160"]	3318213	3318289	"-"	"metY-tRNA"
"EG30062"	"metZ"	["metZ", "metZalpha", "b2814", "ECK2810"]	2947387	2947463	"+"	"metZ-tRNA"
"EG30063"	"micF"	["micF", "stc", "b4439", "ECK2208"]	2313084	2313176	"+"	"MICF-RNA"
"EG30064"	"pheU"	["pheU", "pheR", "pheW", "b4134", "ECK4128"]	4362551	4362626	"-"	"pheU-tRNA"
"EG30065"	"pheV"	["pheV", "pheC", "b2967", "ECK2962"]	3110366	3110441	"+"	"pheV-tRNA"
"EG30066"	"proK"	["proK", "proV", "b3545", "ECK3532"]	3708616	3708692	"-"	"proK-tRNA"
"EG30067"	"proL"	["proL", "proW", "b2189", "ECK2183"]	2286211	2286287	"+"	"proL-tRNA"
"EG30068"	"proM"	["proM", "proU", "b3799", "ECK3792"]	3982735	3982811	"+"	"proM-tRNA"
"EG30069"	"rnpB"	["rnpB", "b3123", "ECK3111"]	3270216	3270592	"-"	"RNPB-RNA"
"EG30070"	"rrfA"	["rrfA", "b3855", "ECK3847"]	4040517	4040636	"+"	"RRFA-RRNA"
"EG30071"	"rrfB"	["rrfB", "b3971", "ECK3963"]	4171637	4171756	"+"	"RRFB-RRNA"
"EG30072"	"rrfC"	["rrfC", "b3759", "ECK3753"]	3946700	3946819	"+"	"RRFC-RRNA"
"EG30073"	"rrfD"	["rrfD", "b3274", "ECK3261"]	3423668	3423787	"-"	"RRFD-RRNA"
"EG30074"	"rrfE"	["rrfE", "b4010", "ECK4002"]	4213040	4213159	"+"	"RRFE-RRNA"
"EG30075"	"rrfG"	["rrfG", "b2588", "ECK2586"]	2726069	2726188	"-"	"RRFG-RRNA"
"EG30076"	"rrfH"	["rrfH", "b0205", "ECK0205"]	228756	228875	"+"	"RRFH-RRNA"
"EG30077"	"rrlA"	["rrlA", "b3854", "ECK3846"]	4037519	4040423	"+"	"RRLA-RRNA"
"EG30078"	"rrlB"	["rrlB", "b3970", "ECK3962"]	4168641	4171544	"+"	"RRLB-RRNA"
"EG30079"	"rrlC"	["rrlC", "b3758", "ECK3752"]	3943704	3946607	"+"	"RRLC-RRNA"
"EG30080"	"rrlD"	["rrlD", "b3275", "ECK3262"]	3423880	3426783	"-"	"RRLD-RRNA"
"EG30081"	"rrlE"	["rrlE", "b4009", "ECK4001"]	4210043	4212946	"+"	"RRLE-RRNA"
"EG30082"	"rrlG"	["rrlG", "b2589", "ECK2587"]	2726281	2729184	"-"	"RRLG-RRNA"
"EG30083"	"rrlH"	["rrlH", "b0204", "ECK0204"]	225759	228662	"+"	"RRLH-RRNA"
"EG30084"	"rrsA"	["rrsA", "b3851", "ECK3843"]	4035531	4037072	"+"	"RRSA-RRNA"
"EG30085"	"rrsB"	["rrsB", "b3968", "ECK3960"]	4166659	4168200	"+"	"RRSB-RRNA"
"EG30086"	"rrsC"	["rrsC", "b3756", "ECK3750"]	3941808	3943349	"+"	"RRSC-RRNA"
"EG30087"	"rrsD"	["rrsD", "b3278", "ECK3265"]	3427221	3428762	"-"	"RRSD-RRNA"
"EG30088"	"rrsE"	["rrsE", "b4007", "ECK3999"]	4208147	4209688	"+"	"RRSE-RRNA"
"EG30089"	"rrsG"	["rrsG", "b2591", "ECK2589"]	2729616	2731157	"-"	"RRSG-RRNA"
"EG30090"	"rrsH"	["rrsH", "b0201", "ECK0201"]	223771	225312	"+"	"RRSH-RRNA"
"EG30091"	"rrfF"	["rrfF", "rrfDbeta", "rrvD", "b3272", "ECK3259"]	3423423	3423542	"-"	"RRFF-RRNA"
"EG30092"	"selC"	["selC", "fdhC", "b3658", "ECK3648"]	3836222	3836316	"+"	"selC-tRNA"
"EG30093"	"serT"	["serT", "divE", "b0971", "ECK0962"]	1031625	1031712	"-"	"serT-tRNA"
"EG30094"	"serU"	["serU", "supH", "Su-1", "ftsM", "su1", "supD", "b1975", "ECK1971"]	2043468	2043557	"-"	"serU-tRNA"
"EG30095"	"serV"	["serV", "supD", "b2695", "ECK2690"]	2818553	2818645	"-"	"serV-tRNA"
"EG30096"	"serW"	["serW", "b0883", "ECK0874"]	925884	925971	"-"	"serW-tRNA"
"EG30097"	"serX"	["serX", "b1032", "ECK1018"]	1097565	1097652	"-"	"serX-tRNA"
"EG30098"	"spf"	["spf", "b3864", "ECK3856"]	4049899	4050009	"+"	"SPF-RNA"
"EG30099"	"ssrS"	["ssrS", "ssr", "b2911", "ECK2906"]	3055983	3056165	"+"	"6S-RNA"
"EG30100"	"ssrA"	["ssrA", "sipB", "b2621", "ECK2617"]	2755593	2755955	"+"	"SSRA-RNA"
"EG30101"	"thrT"	["thrT", "b3979", "ECK3970"]	4175754	4175829	"+"	"thrT-tRNA"
"EG30102"	"thrU"	["thrU", "b3976", "ECK3967"]	4175388	4175463	"+"	"thrU-tRNA"
"EG30103"	"thrV"	["thrV", "b3273", "ECK3260"]	3423580	3423655	"-"	"thrV-tRNA"
"EG30104"	"thrW"	["thrW", "b0244", "ECK0245"]	262871	262946	"+"	"thrW-tRNA"
"EG30105"	"trpT"	["trpT", "su7", "su8", "su9", "supU", "supV", "b3761", "ECK3755"]	3946957	3947032	"+"	"trpT-tRNA"
"EG30106"	"tyrT"	["tyrT", "tyrTalpha", "supFsupO", "Su-3", "Su-4", "su(c)", "suIII", "supC", "b1231", "ECK1226"]	1287538	1287622	"-"	"tyrT-tRNA"
"EG30107"	"tyrU"	["tyrU", "sup15B", "supM", "supZ", "b3977", "ECK3968"]	4175472	4175556	"+"	"tyrU-tRNA"
"EG30108"	"tyrV"	["tyrV", "tyrTbeta", "b1230", "ECK1225"]	1287244	1287328	"-"	"tyrV-tRNA"
"EG30109"	"valT"	["valT", "valTa", "valTalpha", "b0744", "ECK0733"]	780765	780840	"+"	"valT-tRNA"
"EG30110"	"valU"	["valU", "valUalpha", "b2401", "ECK2395"]	2520931	2521006	"+"	"valU-tRNA"
"EG30111"	"valV"	["valV", "b1665", "ECK1661"]	1746435	1746511	"+"	"valV-tRNA"
"EG30112"	"valW"	["valW", "b1666", "ECK1662"]	1746516	1746592	"+"	"valW-tRNA"
"EG30113"	"valX"	["valX", "valU-beta", "valUbeta", "b2402", "ECK2396"]	2521051	2521126	"+"	"valX-tRNA"
"EG30114"	"valY"	["valY", "valUgamma", "b2403", "ECK2397"]	2521173	2521248	"+"	"valY-tRNA"
"EG31115"	"dicF"	["dicF", "b1574", "ECK1568"]	1649382	1649434	"+"	"DICF-RNA"
"EG31116"	"oxyS"	["oxyS", "b4458", "ECK3952"]	4158278	4158394	"-"	"OXYS-RNA"
"EG31117"	"metW"	["metW", "b2815", "ECK2811"]	2947497	2947573	"+"	"metW-tRNA"
"EG50001"	"rplU"	["rplU", "b3186", "ECK3175"]	3333140	3333451	"-"	"EG50001_RNA"
"EG50002"	"rpmA"	["rpmA", "rpz", "b3185", "ECK3174"]	3332862	3333119	"-"	"EG50002_RNA"
"EG50003"	"acpP"	["acpP", "b1094", "ECK1080"]	1151615	1151851	"+"	"EG50003_RNA"
"EG50004"	"rmf"	["rmf", "res", "rimF", "b0953", "ECK0944"]	1015715	1015882	"+"	"EG50004_RNA"
"EG50005"	"nfsB"	["nfsB", "ntr", "dprA", "nfnB", "b0578", "ECK0570"]	604771	605424	"-"	"EG50005_RNA"
"EG50006"	"eutB"	["eutB", "b2441", "ECK2436"]	2557318	2558679	"-"	"EG50006_RNA"
"EG50007"	"eutC"	["eutC", "b2440", "ECK2435"]	2556410	2557297	"-"	"EG50007_RNA"
"EG50008"	"cybC"	["cybC", "cytochrome b562", "b4236", "ECK4231"]	4459488	4459855	"+"	"EG50008_RNA"
"EG50009"	"gadA"	["gadA", "gadS", "b3517", "ECK3502"]	3666180	3667580	"-"	"EG50009_RNA"
"EG50010"	"frmA"	["frmA", "adhC", "b0356", "ECK0353"]	378462	379571	"-"	"EG50010_RNA"
"EG50011"	"folP"	["folP", "dhpS", "b3177", "ECK3166"]	3324063	3324911	"-"	"EG50011_RNA"
"G0-10201"	"istR"	["istR", "psrA19", "istR-1", "istR-2", "b4616", "ECK4425"]	3853118	3853257	"-"	"RNA0-281"
"G0-10202"	"istR-1"	["istR-1"]	3853118	3853192	"-"	"G0-10202_RNA"
"G0-10241"	"sgcB"	["sgcB", "b4565", "ECK4294"]	4530255	4530533	"-"	"G0-10241_RNA"
"G0-10261"	"ymgF"	["ymgF", "b4520", "ECK1156"]	1218983	1219201	"+"	"G0-10261_RNA"
"G0-10430"	"insA4"	["insA4", "b4516", "ECK0023"]	1049833	1050108	"+"	"G0-10430_RNA"
"G0-10431"	"yafF"	["yafF", "b4503", "ECK0219"]	239190	239378	"+"	"G0-10431_RNA"
"G0-10432"	"ykfH"	["ykfH", "b4504", "ECK0248"]	264026	264247	"-"	"G0-10432_RNA"
"G0-10433"	"insX"	["insX", "ykgN", "ECK0266", "b4505", "ECK4473"]	280114	280362	"-"	"G0-10433_RNA"
"G0-10434"	"ykgO"	["ykgO", "b4506", "ECK0295"]	312374	312514	"-"	"G0-10434_RNA"
"G0-10435"	"ylcG"	["ylcG", "b4509", "ECK0542"]	573730	573870	"+"	"G0-10435_RNA"
"G0-10436"	"rzoD"	["rzoD", "b4510", "ECK0548"]	578327	578509	"+"	"G0-10436_RNA"
"G0-10437"	"ybdZ"	["ybdZ", "b4511", "ECK0578"]	613942	614160	"+"	"G0-10437_RNA"
"G0-10438"	"ybdD"	["ybdD", "b4512", "ECK0592"]	632182	632379	"+"	"G0-10438_RNA"
"G0-10439"	"kdpF"	["kdpF", "b4513", "ECK0687"]	728732	728821	"-"	"G0-10439_RNA"
"G0-10440"	"ybfQ"	["ybfQ", "b4514", "ECK0693"]	736445	736699	"+"	"G0-10440_RNA"
"G0-10441"	"cydX"	["cydX", "ybgT", "b4515", "ECK0723"]	774196	774309	"+"	"G0-10441_RNA"
"G0-10443"	"ymdF"	["ymdF", "b4518", "ECK0996"]	1068081	1068254	"+"	"G0-10443_RNA"
"G0-10444"	"ycgI"	["ycgI", "ymgH", "b1173", "ECK1160", "b4521", "ECK1161"]	1223564	1223907	"+"	"G0-10444_RNA"
"G0-10445"	"ymjB"	["ymjB", "b4524", "ECK1314"]	1381789	1381902	"+"	"G0-10445_RNA"
"G0-10446"	"ymjC"	["ymjC", "b4525", "ECK1323"]	1390680	1390862	"-"	"G0-10446_RNA"
"G0-10448"	"ydaF"	["ydaF", "b4527", "ECK1352"]	1419156	1419311	"-"	"G0-10448_RNA"
"G0-10449"	"rzoR"	["rzoR", "b4528", "ECK1361"]	1423400	1423585	"+"	"G0-10449_RNA"
"G0-10450"	"ydbJ"	["ydbJ", "b4529", "ECK1375"]	1441058	1441324	"+"	"G0-10450_RNA"
"G0-10451"	"hicA"	["hicA", "yncN", "b4532", "ECK1431"]	1509286	1509462	"+"	"G0-10451_RNA"
"G0-10452"	"ynfO"	["ynfO", "b4533", "ECK1542"]	1636756	1636989	"+"	"G0-10452_RNA"
"G0-10453"	"yniD"	["yniD", "b4535", "ECK1719"]	1805165	1805272	"+"	"G0-10453_RNA"
"G0-10454"	"yobH"	["yobH", "b4536", "ECK1825"]	1908925	1909164	"+"	"G0-10454_RNA"
"G0-10455"	"yecJ"	["yecJ", "b4537", "ECK1901"]	1987507	1987758	"-"	"G0-10455_RNA"
"G0-10456"	"yoeF"	["yoeF", "b4538", "ECK2000"]	2078575	2078931	"+"	"G0-10456_RNA"
"G0-10458"	"yehK"	["yehK", "b4541", "ECK2110"]	2203972	2204289	"+"	"G0-10458_RNA"
"G0-10459"	"yohO"	["yohO", "b4542", "ECK2120"]	2215657	2215764	"+"	"G0-10459_RNA"
"G0-10460"	"arnE"	["arnE", "yfbW", "b4544", "ECK2251"]	2372557	2372892	"+"	"G0-10460_RNA"
"G0-10461"	"ypdJ"	["ypdJ", "b4545", "ECK2358"]	2476094	2476234	"+"	"G0-10461_RNA"
"G0-10462"	"ypeB"	["ypeB", "b4546", "ECK2405"]	2527941	2528159	"-"	"G0-10462_RNA"
"G0-10463"	"ypfN"	["ypfN", "b4547", "ECK2468"]	2592762	2592962	"+"	"G0-10463_RNA"
"G0-10464"	"ypjJ"	["ypjJ", "b4548", "ECK2641"]	2776877	2777077	"+"	"G0-10464_RNA"
"G0-10465"	"arfA"	["arfA", "yhdL", "b4550", "ECK3278"]	3438431	3438649	"-"	"G0-10465_RNA"
"G0-10466"	"yheV"	["yheV", "b4551", "ECK3337"]	3478592	3478792	"-"	"G0-10466_RNA"
"G0-10467"	"ysaB"	["ysaB", "b4553", "ECK3549"]	3725413	3725712	"-"	"G0-10467_RNA"
"G0-10468"	"yibT"	["yibT", "b4554", "ECK3591"]	3776171	3776380	"-"	"G0-10468_RNA"
"G0-10469"	"yicS"	["yicS", "b4555", "ECK3652"]	3840215	3840508	"+"	"G0-10469_RNA"
"G0-10470"	"yidD"	["yidD", "b4557", "ECK3697"]	3884816	3885073	"+"	"G0-10470_RNA"
"G0-10471"	"yifL"	["yifL", "b4558", "ECK3803"]	3994522	3994725	"+"	"G0-10471_RNA"
"G0-10472"	"ghoT"	["ghoT", "yjdO", "b4559", "ECK4122"]	4352908	4353081	"+"	"G0-10472_RNA"
"G0-10473"	"topAI"	["topAI", "yjhX", "b4566", "ECK4298"]	4533796	4534053	"-"	"G0-10473_RNA"
"G0-10474"	"yjjZ"	["yjjZ", "b4567", "ECK4358"]	4605804	4606040	"+"	"G0-10474_RNA"
"G0-10475"	"ytjA"	["ytjA", "b4568", "ECK4368"]	4612128	4612289	"+"	"G0-10475_RNA"
"G0-10511"	"yeiW"	["yeiW", "b4502", "ECK2164"]	2265041	2265295	"-"	"G0-10511_RNA"
"G0-10512"	"ymiA"	["ymiA", "yciX_1", "b4522", "ECK4433"]	1335148	1335288	"+"	"G0-10512_RNA"
"G0-10513"	"yciX"	["yciX", "yciX_2", "b4523", "ECK1270"]	1335291	1335458	"+"	"G0-10513_RNA"
