# From Sanchez-Vazquez et al. Genome-wide effects on Escherichia coli transcription from ppGpp binding to its two sites on RNA polymerase. PNAS. 2019. (Dataset S01)
# Downloaded from: https://www.pnas.org/highwire/filestream/859108/field_highwire_adjunct_files/1/pnas.1819682116.sd01.xlsx
"Gene"	"Synonym"	"length"	"Start"	"end"	"Strand"	"1+2+ 5 min"	"1+2+ 5 min Category"	"1+2+ 10 min"	"1+2+ 10 min Category"	"1-2- 5 min"	"1-2- 5 min Category"	"1-2- 10 min"	"1-2- 10 min Category"	"1-2-/1+2+ 0 min"	"1-2-/1+2+ 0 min Category"
"yhdY"	"b3270"	1104	3421325	3422428	"+"	1.12	"E"	1.35	"B"	0.93	"E"	0.18	"E"	0.18	"E"
"ydiR"	"b1698"	939	1780401	1781339	"+"	1.11	"E"	1.45	"B"	-0.71	"E"	-0.73	"E"	0.39	"E"
"astA"	"b1747"	1035	1829731	1830765	"-"	1.46	"E"	2.33	"B"	-0.07	"E"	0.17	"E"	0.11	"E"
"yhjX"	"b3547"	1209	3710799	3712007	"-"	0.75	"E"	1.39	"B"	-0.55	"E"	0.36	"E"	-0.51	"E"
"yibI"	"b3598"	363	3771382	3771744	"-"	1.15	"E"	1.94	"B"	0.35	"E"	0.40	"E"	-0.21	"E"
"lhgO"	"b2660"	1269	2789982	2791250	"+"	1.03	"E"	1.61	"B"	-0.27	"E"	-1.04	"E"	0.04	"E"
"ydhU"	"b1670"	786	1749563	1750348	"-"	1.12	"E"	1.79	"B"	0.00	"E"	0.35	"E"	0.24	"E"
"paoD"	"b0283"	957	297770	298726	"-"	1.05	"E"	1.11	"B"	0.43	"E"	-0.07	"E"	0.20	"E"
"astC"	"b1748"	1221	1830762	1831982	"-"	1.02	"E"	2.06	"B"	-0.50	"E"	-1.00	"E"	-0.27	"E"
"ymdB"	"b1045"	534	1105820	1106353	"+"	0.61	"E"	1.02	"B"	0.20	"E"	0.15	"E"	0.44	"E"
"gldA"	"b3945"	1104	4137932	4139035	"-"	0.48	"E"	1.58	"B"	-0.07	"E"	0.48	"E"	-0.04	"E"
"yqeA"	"b2874"	933	3011461	3012393	"+"	0.67	"E"	1.02	"B"	-0.31	"E"	0.06	"E"	-0.21	"E"
"moaD"	"b0784"	246	819048	819293	"+"	0.40	"E"	1.25	"B"	0.43	"E"	0.48	"E"	0.17	"E"
"yahG"	"b0321"	1419	338325	339743	"+"	1.12	"E"	1.68	"B"	-0.34	"E"	-0.62	"E"	0.93	"E"
"ssuD"	"b0935"	1146	994843	995988	"-"	1.17	"E"	1.72	"B"	-0.61	"E"	-0.12	"E"	0.71	"E"
"yliI"	"b0837"	1116	878742	879857	"+"	0.73	"E"	1.36	"B"	0.56	"E"	0.46	"E"	0.08	"E"
"frvX"	"b3898"	1071	4089855	4090925	"-"	0.62	"E"	1.07	"B"	-0.10	"E"	0.15	"E"	0.42	"E"
"gspO"	"b3335"	678	3465543	3466220	"+"	0.67	"E"	1.22	"B"	-0.21	"E"	0.40	"E"	-0.09	"E"
"yehX"	"b2129"	927	2216481	2217407	"-"	0.92	"E"	1.77	"B"	-0.11	"E"	0.23	"E"	-0.29	"E"
"patD"	"b1444"	1425	1515578	1517002	"+"	0.59	"E"	1.03	"B"	0.13	"E"	0.53	"E"	0.29	"E"
"yagG"	"b0270"	1383	285395	286777	"+"	0.92	"E"	1.35	"B"	0.22	"E"	0.48	"E"	-0.03	"E"
"prpR"	"b0330"	1587	346857	348443	"-"	1.11	"E"	1.53	"B"	0.55	"E"	0.97	"E"	-0.21	"E"
"glcG"	"b2977"	405	3123827	3124231	"-"	0.60	"E"	1.77	"B"	0.36	"E"	0.77	"E"	-0.13	"E"
"rutC"	"b1010"	387	1071773	1072159	"-"	2.14	"E"	2.69	"B"	-3.55	"E"	-1.25	"E"	0.06	"E"
"mlrA"	"b2127"	732	2214866	2215597	"+"	0.64	"E"	1.51	"B"	0.95	"E"	0.75	"E"	-0.46	"E"
"ymgE"	"b1195"	255	1244728	1244982	"+"	1.86	"E"	4.76	"B"	-0.33	"E"	-0.03	"E"	0.29	"E"
"yjdJ"	"b4127"	273	4352085	4352357	"+"	0.91	"E"	2.10	"B"	-0.41	"E"	0.69	"E"	-0.06	"E"
"clsB"	"b0789"	1242	822498	823739	"-"	0.78	"E"	2.72	"B"	0.13	"E"	0.39	"E"	0.22	"E"
"tnaB"	"b3709"	1248	3890236	3891483	"+"	0.89	"E"	1.24	"B"	0.46	"E"	0.36	"E"	-0.23	"E"
"yhbV"	"b3159"	879	3302489	3303367	"+"	0.79	"E"	1.05	"B"	0.17	"E"	-0.74	"E"	0.03	"E"
"yjdI"	"b4126"	231	4351843	4352073	"+"	1.18	"E"	2.49	"B"	-0.19	"E"	0.27	"E"	-0.38	"E"
"sufD"	"b1681"	1272	1760520	1761791	"-"	0.44	"E"	1.37	"B"	0.56	"E"	0.16	"E"	-0.17	"E"
"yghA"	"b3003"	885	3149662	3150546	"+"	0.83	"E"	2.89	"B"	0.32	"E"	1.32	"E"	-0.31	"E"
"ycjR"	"b1314"	789	1376034	1376822	"+"	1.14	"E"	1.50	"B"	0.09	"E"	-0.02	"E"	-0.07	"E"
"ytfR"	"b4485"	1503	4451058	4452560	"+"	0.61	"E"	1.11	"B"	0.85	"E"	0.67	"E"	-0.19	"E"
"ychH"	"b1205"	279	1258791	1259069	"+"	0.39	"E"	1.55	"B"	0.33	"E"	0.55	"E"	0.39	"E"
"yfdT"	"b2363"	306	2475873	2476178	"+"	1.10	"E"	1.83	"B"	-0.08	"E"	0.61	"E"	-0.27	"E"
"puuB"	"b1301"	1281	1364232	1365512	"+"	0.79	"E"	1.68	"B"	0.06	"E"	-0.91	"E"	-0.72	"E"
"yihU"	"b3882"	897	4072675	4073571	"-"	1.45	"E"	2.18	"B"	0.90	"E"	2.21	"E"	-0.46	"E"
"tar"	"b1886"	1662	1971030	1972691	"-"	0.78	"E"	1.21	"B"	0.43	"E"	1.14	"E"	0.19	"E"
"ydhL"	"b1648"	240	1725681	1725920	"-"	1.30	"E"	2.06	"B"	1.72	"E"	1.07	"E"	0.22	"E"
"rutF"	"b1007"	495	1069860	1070354	"-"	1.52	"E"	2.73	"B"	-0.17	"E"	-0.42	"E"	0.58	"E"
"gadA"	"b3517"	1401	3666180	3667580	"-"	0.62	"E"	1.62	"B"	-1.11	"E"	-0.67	"E"	0.22	"E"
"alaE"	"b2670"	450	2799164	2799613	"+"	0.46	"E"	1.27	"B"	0.14	"E"	0.23	"E"	-0.36	"E"
"flgC"	"b1074"	405	1131438	1131842	"+"	0.48	"E"	1.26	"B"	-0.11	"E"	0.29	"E"	-0.40	"E"
"rclA"	"b0304"	1326	318676	320001	"-"	0.69	"E"	1.67	"B"	-0.46	"E"	-0.13	"E"	0.78	"E"
"gabT"	"b2662"	1281	2792735	2794015	"+"	0.50	"E"	1.01	"B"	0.06	"E"	-0.16	"E"	0.10	"E"
"csiD"	"b2659"	978	2788985	2789962	"+"	0.79	"E"	1.71	"B"	-0.81	"E"	0.37	"E"	-0.34	"E"
"katE"	"b1732"	2262	1813867	1816128	"+"	0.45	"E"	1.50	"B"	0.54	"E"	0.62	"E"	0.02	"E"
"rrrQ"	"b1554"	534	1639524	1640057	"-"	1.64	"E"	2.64	"B"	-0.24	"E"	0.84	"E"	1.38	"E"
"psiF"	"b0384"	321	403281	403601	"+"	0.44	"E"	1.10	"B"	0.44	"E"	0.18	"E"	-0.08	"E"
"glcE"	"b4468"	1053	3125470	3126522	"-"	0.92	"E"	1.71	"B"	-1.33	"E"	-0.84	"E"	0.08	"E"
"ydbC"	"b1406"	861	1474221	1475081	"+"	0.48	"E"	1.01	"B"	-0.11	"E"	0.23	"E"	-0.08	"E"
"ugpA"	"b3452"	888	3590024	3590911	"-"	0.54	"E"	1.91	"B"	0.14	"E"	0.85	"E"	-0.71	"E"
"mcbA"	"b0806"	261	841796	842056	"-"	1.10	"E"	1.90	"B"	0.26	"E"	-0.32	"E"	0.64	"E"
"aldB"	"b3588"	1539	3754973	3756511	"-"	0.76	"E"	1.33	"B"	0.23	"E"	-0.22	"E"	-0.09	"E"
"ygaC"	"b2671"	345	2799650	2799994	"-"	0.45	"E"	1.03	"B"	0.57	"E"	0.35	"E"	-0.01	"E"
"yfdC"	"b2347"	933	2465301	2466233	"+"	0.61	"E"	1.41	"B"	-0.04	"E"	-0.02	"E"	0.05	"E"
"phnO"	"b4093"	435	4315104	4315538	"-"	0.52	"E"	1.01	"B"	-0.16	"E"	-0.09	"E"	0.28	"E"
"sgcE"	"b4301"	633	4526905	4527537	"-"	0.51	"E"	1.09	"B"	-0.08	"E"	-0.31	"E"	0.30	"E"
"paoB"	"b0285"	957	300931	301887	"-"	0.89	"E"	1.68	"B"	-0.01	"E"	0.65	"E"	0.23	"E"
"sufE"	"b1679"	417	1758874	1759290	"-"	0.53	"E"	1.26	"B"	-0.07	"E"	0.45	"E"	-0.17	"E"
"mhpE"	"b0352"	1014	373868	374881	"+"	0.56	"E"	1.15	"B"	0.15	"E"	0.45	"E"	-0.49	"E"
"sgbU"	"b3582"	861	3749232	3750092	"+"	0.66	"E"	1.67	"B"	0.07	"E"	-0.04	"E"	0.27	"E"
"ynfD"	"b1586"	306	1657565	1657870	"+"	0.31	"E"	1.44	"B"	0.23	"E"	0.07	"E"	-0.10	"E"
"yodD"	"b1953"	228	2024986	2025213	"+"	0.68	"E"	2.82	"B"	-0.39	"E"	0.26	"E"	0.34	"E"
"yhhT"	"b3474"	1050	3611865	3612914	"+"	0.34	"E"	1.05	"B"	-0.63	"E"	-0.15	"E"	-0.36	"E"
"yqjE"	"b3099"	405	3249683	3250087	"+"	0.14	"E"	1.41	"B"	0.11	"E"	0.31	"E"	0.06	"E"
"yegP"	"b2080"	333	2165189	2165521	"+"	0.59	"E"	2.30	"B"	0.66	"E"	0.39	"E"	0.46	"E"
"yedP"	"b1955"	816	2025511	2026326	"+"	0.38	"E"	1.46	"B"	-0.10	"E"	-0.40	"E"	0.46	"E"
"ycaP"	"b0906"	693	956762	957454	"+"	0.45	"E"	1.46	"B"	0.55	"E"	0.66	"E"	-0.17	"E"
"hyuA"	"b2873"	1386	3010028	3011413	"+"	0.49	"E"	1.32	"B"	0.13	"E"	0.79	"E"	-0.49	"E"
"ygfF"	"b2902"	744	3045158	3045901	"-"	0.37	"E"	1.22	"B"	-0.08	"E"	-0.34	"E"	0.42	"E"
"narY"	"b1467"	1545	1537309	1538853	"-"	0.54	"E"	2.11	"B"	-0.09	"E"	0.13	"E"	0.14	"E"
"amyA"	"b1927"	1488	2006156	2007643	"+"	0.22	"E"	1.83	"B"	-0.03	"E"	0.51	"E"	0.16	"E"
"sufC"	"b1682"	747	1761766	1762512	"-"	0.28	"E"	1.39	"B"	-0.07	"E"	0.51	"E"	-0.43	"E"
"astD"	"b1746"	1479	1828256	1829734	"-"	0.40	"E"	1.90	"B"	-0.65	"E"	-0.10	"E"	0.24	"E"
"sgbH"	"b3581"	663	3748577	3749239	"+"	0.50	"E"	1.62	"B"	0.68	"E"	-0.12	"E"	0.37	"E"
"ldcC"	"b0186"	2142	209679	211820	"+"	0.12	"E"	1.23	"B"	-0.03	"E"	-0.08	"E"	0.14	"E"
"tauD"	"b0368"	852	387795	388646	"+"	0.28	"E"	1.26	"B"	0.62	"E"	0.91	"E"	-0.05	"E"
"yfiL"	"b2602"	366	2741360	2741725	"+"	0.30	"E"	1.03	"B"	0.10	"E"	0.44	"E"	-0.17	"E"
"zraP"	"b4002"	426	4201263	4201688	"-"	0.30	"E"	1.33	"B"	0.47	"E"	0.55	"E"	0.39	"E"
"phr"	"b0708"	1419	739507	740925	"+"	-0.16	"E"	1.09	"B"	0.08	"E"	-0.04	"E"	0.28	"E"
"ygcE"	"b2776"	1479	2901896	2903374	"+"	0.27	"E"	1.33	"B"	0.98	"E"	1.24	"E"	-0.46	"E"
"sodC"	"b1646"	522	1724134	1724655	"-"	0.20	"E"	1.25	"B"	0.26	"E"	0.39	"E"	-0.18	"E"
"eutM"	"b2457"	294	2572157	2572450	"-"	0.45	"E"	1.92	"B"	0.40	"E"	-0.58	"E"	0.52	"E"
"hypA"	"b2726"	351	2850647	2850997	"+"	0.42	"E"	2.56	"B"	0.81	"E"	1.12	"E"	0.17	"E"
"gabP"	"b2663"	1401	2794253	2795653	"+"	0.19	"E"	1.40	"B"	-0.38	"E"	-0.04	"E"	0.26	"E"
"ahr"	"b4269"	1020	4495190	4496209	"-"	0.09	"E"	2.19	"B"	0.10	"E"	0.50	"E"	0.13	"E"
"ydhS"	"b1668"	1605	1747131	1748735	"+"	0.13	"E"	1.81	"B"	-0.19	"E"	-0.08	"E"	-0.01	"E"
"astB"	"b1745"	1344	1826916	1828259	"-"	-0.13	"E"	1.07	"B"	0.31	"E"	0.02	"E"	-0.47	"E"
"treA"	"b1197"	1698	1245679	1247376	"-"	-0.11	"E"	1.63	"B"	0.27	"E"	0.82	"E"	0.27	"E"
"yehE"	"b2112"	282	2192515	2192796	"-"	0.10	"E"	1.20	"B"	0.12	"E"	0.20	"E"	0.21	"E"
"thiH"	"b3990"	1134	4190735	4191868	"-"	0.09	"E"	1.15	"B"	-0.09	"E"	-0.35	"E"	-0.41	"E"
"ybhN"	"b0788"	957	821542	822498	"-"	0.10	"E"	1.71	"B"	0.04	"E"	-0.60	"E"	0.57	"E"
"yceK"	"b1050"	228	1113579	1113806	"+"	0.02	"E"	2.12	"B"	-0.31	"E"	0.39	"E"	0.17	"E"
"yhbO"	"b3153"	519	3298974	3299492	"+"	-0.02	"E"	1.49	"B"	0.25	"E"	0.45	"E"	-0.86	"E"
"trpD"	"b1263"	1596	1319789	1321384	"-"	0.20	"E"	-0.99	"C"	-0.84	"E"	-0.86	"C"	-1.10	"A"
"gtrB"	"b2351"	921	2468214	2469134	"+"	0.05	"E"	-0.55	"C"	-0.33	"E"	-0.50	"C"	1.11	"B"
"metL"	"b3940"	2433	4129835	4132267	"+"	-0.22	"E"	-0.61	"C"	-0.14	"E"	-0.43	"C"	-0.27	"C"
"yhgF"	"b3407"	2322	3537385	3539706	"+"	0.15	"E"	-0.77	"C"	-0.02	"E"	-0.28	"C"	-0.63	"C"
"proA"	"b0243"	1254	261503	262756	"+"	0.12	"E"	-0.27	"C"	-0.15	"E"	-0.45	"C"	-0.54	"C"
"yqgF"	"b2949"	417	3093500	3093916	"+"	-0.22	"E"	-0.75	"C"	0.06	"E"	-0.51	"C"	-0.37	"C"
"cra"	"b0080"	1005	88028	89032	"+"	0.12	"E"	-0.27	"C"	-0.21	"E"	-0.35	"C"	-0.74	"C"
"aroF"	"b2601"	1071	2740080	2741150	"-"	-0.11	"E"	-0.44	"C"	-0.04	"E"	-0.40	"C"	-0.66	"C"
"proB"	"b0242"	1104	260388	261491	"+"	-0.11	"E"	-0.71	"C"	-0.24	"E"	-0.59	"C"	-0.64	"C"
"zipA"	"b2412"	987	2530247	2531233	"-"	-0.04	"E"	-0.34	"C"	-0.11	"E"	-0.32	"C"	-0.29	"C"
"mpl"	"b4233"	1374	4455785	4457158	"+"	-0.04	"E"	-0.23	"C"	-0.05	"E"	-0.21	"C"	0.35	"D"
"ybhJ"	"b0771"	2262	803503	805764	"+"	-0.44	"E"	-0.88	"C"	-0.34	"E"	-0.67	"C"	-0.38	"E"
"yhjJ"	"b3527"	1497	3680444	3681940	"-"	-0.19	"E"	-0.71	"C"	-0.07	"E"	-0.30	"C"	0.01	"E"
"mscM"	"b4159"	3324	4386047	4389370	"-"	-0.16	"E"	-0.62	"C"	-0.19	"E"	-0.41	"C"	0.01	"E"
"ahpF"	"b0606"	1566	639753	641318	"+"	-0.18	"E"	-0.45	"C"	-0.06	"E"	-0.43	"C"	0.03	"E"
"umuC"	"b1184"	1269	1231186	1232454	"+"	-0.42	"E"	-0.76	"C"	-0.90	"E"	-0.76	"C"	-0.02	"E"
"bglX"	"b2132"	2298	2219692	2221989	"-"	-0.09	"E"	-0.41	"C"	-0.11	"E"	-0.30	"C"	0.07	"E"
"hemF"	"b2436"	900	2553225	2554124	"+"	-0.05	"E"	-0.50	"C"	-0.11	"E"	-0.39	"C"	0.09	"E"
"yebY"	"b1839"	342	1923365	1923706	"-"	0.07	"E"	-0.41	"C"	0.32	"E"	0.39	"D"	-0.35	"C"
"mlaA"	"b2346"	756	2464252	2465007	"-"	-0.14	"E"	-0.33	"C"	0.18	"E"	0.40	"D"	0.36	"D"
"cdh"	"b3918"	756	4109930	4110685	"+"	-0.09	"E"	-0.79	"C"	0.23	"E"	0.44	"D"	0.14	"E"
"fimD"	"b4317"	2637	4545096	4547732	"+"	-0.29	"E"	-0.65	"C"	-0.34	"E"	-0.32	"E"	-2.17	"A"
"efeB"	"b1019"	1272	1083376	1084647	"+"	-0.24	"E"	-0.77	"C"	0.08	"E"	-0.03	"E"	-1.01	"A"
"bglJ"	"b4366"	678	4604160	4604837	"+"	-0.46	"E"	-0.99	"C"	0.27	"E"	0.44	"E"	-1.38	"A"
"lrhA"	"b2289"	939	2405703	2406641	"-"	-0.09	"E"	-0.34	"C"	-0.07	"E"	-0.29	"E"	-1.71	"A"
"gatZ"	"b2095"	1263	2175059	2176321	"-"	-0.09	"E"	-0.56	"C"	0.13	"E"	0.13	"E"	-1.12	"A"
"gatY"	"b2096"	855	2176350	2177204	"-"	-0.03	"E"	-0.53	"C"	0.14	"E"	0.09	"E"	-1.18	"A"
"gatA"	"b2094"	453	2174597	2175049	"-"	-0.05	"E"	-0.71	"C"	0.04	"E"	0.15	"E"	-1.26	"A"
"mepH"	"b1655"	816	1734435	1735250	"+"	0.10	"E"	-0.42	"C"	0.04	"E"	0.00	"E"	1.17	"B"
"ynaI"	"b1330"	1032	1394891	1395922	"-"	-0.02	"E"	-0.33	"C"	0.09	"E"	0.08	"E"	1.40	"B"
"efeO"	"b1018"	1128	1082243	1083370	"+"	-0.30	"E"	-0.54	"C"	-0.19	"E"	-0.11	"E"	-0.98	"C"
"yajC"	"b0407"	333	427287	427619	"+"	-0.18	"E"	-0.56	"C"	0.00	"E"	0.00	"E"	-0.39	"C"
"yhhL"	"b3466"	270	3604979	3605248	"+"	-0.39	"E"	-0.71	"C"	-0.13	"E"	-0.18	"E"	-0.49	"C"
"yeiQ"	"b2172"	1467	2266245	2267711	"+"	-0.35	"E"	-0.59	"C"	0.23	"E"	-0.12	"E"	-0.49	"C"
"coaA"	"b3974"	951	4174076	4175026	"-"	-0.20	"E"	-0.60	"C"	0.01	"E"	-0.02	"E"	-0.40	"C"
"xerD"	"b2894"	897	3038847	3039743	"-"	-0.23	"E"	-0.35	"C"	0.04	"E"	-0.02	"E"	-0.34	"C"
"yhjK"	"b3529"	1989	3683630	3685618	"-"	-0.21	"E"	-0.45	"C"	0.27	"E"	0.20	"E"	-0.20	"C"
"trmN"	"b2575"	738	2712027	2712764	"-"	-0.22	"E"	-0.53	"C"	0.03	"E"	-0.05	"E"	-0.28	"C"
"metB"	"b3939"	1161	4128672	4129832	"+"	-0.20	"E"	-0.34	"C"	-0.02	"E"	-0.33	"E"	-0.55	"C"
"ydgA"	"b1614"	1509	1689852	1691360	"+"	-0.16	"E"	-0.22	"C"	-0.06	"E"	-0.20	"E"	-0.22	"C"
"sanA"	"b2144"	720	2232878	2233597	"+"	0.25	"E"	-0.36	"C"	-0.11	"E"	-0.07	"E"	-0.39	"C"
"entE"	"b0594"	1611	626070	627680	"+"	-0.56	"E"	-0.85	"C"	-0.14	"E"	0.34	"E"	-0.78	"C"
"sppA"	"b1766"	1857	1848837	1850693	"+"	-0.13	"E"	-0.43	"C"	0.08	"E"	-0.12	"E"	-0.23	"C"
"dapE"	"b2472"	1128	2591607	2592734	"+"	0.13	"E"	-0.43	"C"	-0.02	"E"	-0.19	"E"	-0.36	"C"
"fkpA"	"b3347"	813	3476607	3477419	"-"	0.16	"E"	-0.36	"C"	-0.04	"E"	0.09	"E"	-0.30	"C"
"napH"	"b2204"	864	2298715	2299578	"-"	-0.49	"E"	-0.85	"C"	-0.13	"E"	0.50	"E"	-0.58	"C"
"yghJ"	"b4466"	4563	3114550	3119112	"-"	-0.21	"E"	-0.77	"C"	0.01	"E"	-0.17	"E"	-0.90	"C"
"rnlA"	"b2630"	1074	2765918	2766991	"+"	-0.10	"E"	-0.60	"C"	-0.09	"E"	-0.13	"E"	-0.17	"C"
"yicR"	"b3638"	669	3811891	3812559	"-"	-0.31	"E"	-0.83	"C"	0.23	"E"	0.35	"E"	-0.50	"C"
"ftsN"	"b3933"	960	4122380	4123339	"-"	0.11	"E"	-0.29	"C"	0.07	"E"	-0.12	"E"	-0.26	"C"
"amiA"	"b2435"	870	2552352	2553221	"+"	-0.12	"E"	-0.48	"C"	-0.12	"E"	-0.12	"E"	-0.22	"C"
"murP"	"b2429"	1425	2546673	2548097	"+"	0.19	"E"	-0.64	"C"	0.13	"E"	-0.08	"E"	-0.56	"C"
"tdcE"	"b3114"	2295	3260124	3262418	"-"	-0.18	"E"	-0.63	"C"	0.05	"E"	-0.03	"E"	-0.37	"C"
"rcnA"	"b2106"	825	2185917	2186741	"+"	-0.22	"E"	-0.70	"C"	0.25	"E"	-0.41	"E"	-0.57	"C"
"ampH"	"b0376"	1158	395130	396287	"-"	0.08	"E"	-0.32	"C"	0.02	"E"	0.23	"E"	-0.29	"C"
"fdhF"	"b4079"	2148	4297219	4299366	"-"	-0.10	"E"	-0.50	"C"	-0.10	"E"	-0.36	"E"	-0.87	"C"
"dsbC"	"b2893"	711	3038112	3038822	"-"	0.05	"E"	-0.27	"C"	0.02	"E"	-0.04	"E"	-0.23	"C"
"cytR"	"b3934"	1026	4123431	4124456	"-"	-0.06	"E"	-0.54	"C"	0.10	"E"	0.19	"E"	-0.55	"C"
"ydiJ"	"b1687"	3057	1765629	1768685	"-"	0.05	"E"	-0.58	"C"	-0.16	"E"	-0.28	"E"	-0.94	"C"
"csrD"	"b3252"	1941	3401392	3403332	"-"	-0.04	"E"	-0.50	"C"	-0.12	"E"	-0.03	"E"	-0.95	"C"
"fiu"	"b0805"	2283	839249	841531	"-"	-0.10	"E"	-0.93	"C"	-0.08	"E"	0.06	"E"	-0.76	"C"
"bamD"	"b2595"	738	2736146	2736883	"+"	0.03	"E"	-0.57	"C"	0.01	"E"	-0.11	"E"	-0.22	"C"
"panD"	"b0131"	381	146314	146694	"-"	0.03	"E"	-0.45	"C"	-0.05	"E"	-0.03	"E"	-0.52	"C"
"ypfN"	"b4547"	201	2592762	2592962	"+"	0.03	"E"	-0.51	"C"	0.10	"E"	-0.30	"E"	-0.51	"C"
"ucpA"	"b2426"	792	2543832	2544623	"-"	0.01	"E"	-0.43	"C"	-0.09	"E"	-0.14	"E"	-0.41	"C"
"mqo"	"b2210"	1647	2305108	2306754	"-"	0.00	"E"	-0.62	"C"	0.11	"E"	0.08	"E"	-0.46	"C"
"opgG"	"b1048"	1536	1109335	1110870	"+"	-0.44	"E"	-0.45	"C"	0.24	"E"	-0.06	"E"	0.42	"D"
"yggT"	"b2952"	567	3095820	3096386	"+"	-0.27	"E"	-0.51	"C"	0.14	"E"	0.26	"E"	0.31	"D"
"yoaA"	"b1808"	1911	1891325	1893235	"-"	-0.27	"E"	-0.54	"C"	0.00	"E"	-0.22	"E"	0.43	"D"
"hrpB"	"b0148"	2430	162105	164534	"+"	-0.28	"E"	-0.35	"C"	-0.12	"E"	-0.21	"E"	0.31	"D"
"ybjG"	"b0841"	597	882792	883388	"-"	-0.23	"E"	-0.37	"C"	0.17	"E"	0.14	"E"	0.52	"D"
"rspR"	"b1540"	687	1628352	1629038	"+"	-0.29	"E"	-0.65	"C"	-0.01	"E"	-0.11	"E"	0.58	"D"
"mntR"	"b0817"	468	853183	853650	"+"	-0.30	"E"	-0.49	"C"	-0.08	"E"	-0.08	"E"	0.53	"D"
"yqiI"	"b3048"	1065	3190632	3191696	"+"	-0.64	"E"	-0.88	"C"	0.01	"E"	-0.32	"E"	0.54	"D"
"truA"	"b2318"	813	2434824	2435636	"-"	-0.29	"E"	-0.34	"C"	-0.21	"E"	-0.28	"E"	0.25	"D"
"csdA"	"b2810"	1206	2943337	2944542	"+"	-0.28	"E"	-0.42	"C"	0.00	"E"	-0.14	"E"	0.28	"D"
"yciQ"	"b1268"	1896	1324746	1326641	"+"	-0.35	"E"	-0.67	"C"	-0.14	"E"	0.13	"E"	0.45	"D"
"ybgE"	"b0735"	294	774309	774602	"+"	-0.41	"E"	-0.53	"C"	-0.08	"E"	-0.26	"E"	0.59	"D"
"ytfJ"	"b4216"	555	4438708	4439262	"-"	-0.42	"E"	-0.63	"C"	-0.11	"E"	0.06	"E"	0.61	"D"
"mppA"	"b1329"	1614	1393227	1394840	"+"	-0.19	"E"	-0.45	"C"	0.04	"E"	-0.07	"E"	0.26	"D"
"waaL"	"b3622"	1260	3796948	3798207	"+"	-0.22	"E"	-0.81	"C"	-0.14	"E"	-0.13	"E"	0.99	"D"
"phoR"	"b0400"	1296	417889	419184	"+"	0.26	"E"	-0.37	"C"	0.22	"E"	-0.03	"E"	0.83	"D"
"ybcJ"	"b0528"	213	556661	556873	"-"	-0.28	"E"	-0.51	"C"	0.08	"E"	-0.15	"E"	0.72	"D"
"yegH"	"b2063"	1584	2137902	2139485	"+"	-0.14	"E"	-0.60	"C"	0.01	"E"	-0.01	"E"	0.28	"D"
"yeiB"	"b2152"	1158	2241810	2242967	"-"	-0.16	"E"	-0.32	"C"	0.09	"E"	-0.16	"E"	0.68	"D"
"yddW"	"b1491"	1320	1567504	1568823	"-"	-0.15	"E"	-0.40	"C"	0.06	"E"	0.27	"E"	0.37	"D"
"ycdY"	"b1035"	555	1099640	1100194	"+"	-0.12	"E"	-0.24	"C"	-0.07	"E"	-0.11	"E"	0.22	"D"
"holE"	"b1842"	231	1925108	1925338	"+"	-0.28	"E"	-0.60	"C"	-0.12	"E"	0.38	"E"	0.60	"D"
"ycaK"	"b0901"	591	949668	950258	"+"	-0.46	"E"	-0.97	"C"	-0.09	"E"	0.50	"E"	0.81	"D"
"deoR"	"b0840"	759	881976	882734	"-"	-0.11	"E"	-0.44	"C"	0.00	"E"	0.04	"E"	0.34	"D"
"speG"	"b1584"	561	1656184	1656744	"+"	-0.08	"E"	-0.26	"C"	0.01	"E"	0.02	"E"	0.24	"D"
"yeaP"	"b1794"	1026	1877715	1878740	"+"	-0.09	"E"	-0.36	"C"	0.18	"E"	0.18	"E"	0.42	"D"
"yneE"	"b1520"	915	1608108	1609022	"-"	-0.06	"E"	-0.41	"C"	0.02	"E"	0.03	"E"	0.88	"D"
"pdxY"	"b1636"	864	1715026	1715889	"-"	0.03	"E"	-0.23	"C"	0.18	"E"	0.10	"E"	0.41	"D"
"ydgH"	"b1604"	945	1678427	1679371	"+"	-0.39	"E"	-0.48	"C"	0.13	"E"	0.12	"E"	0.08	"E"
"ispG"	"b2515"	1119	2640686	2641804	"-"	-0.25	"E"	-0.35	"C"	0.00	"E"	-0.17	"E"	0.01	"E"
"mepA"	"b2328"	825	2445560	2446384	"-"	-0.26	"E"	-0.92	"C"	0.06	"E"	-0.16	"E"	0.14	"E"
"yjaH"	"b4001"	696	4200566	4201261	"+"	-0.22	"E"	-0.62	"C"	0.02	"E"	0.01	"E"	0.06	"E"
"ccmA"	"b2201"	624	2297021	2297644	"-"	-0.50	"E"	-0.85	"C"	-0.59	"E"	-0.32	"E"	-0.10	"E"
"yfeZ"	"b2433"	450	2551277	2551726	"-"	-0.45	"E"	-0.57	"C"	-0.15	"E"	-0.38	"E"	-0.23	"E"
"mlaE"	"b3194"	783	3338466	3339248	"-"	-0.26	"E"	-0.59	"C"	-0.10	"E"	-0.27	"E"	0.07	"E"
