Frame ID	Name	Unmodified Form	Location	Reaction ID	Reaction enzyme	Reaction	Mass balance?	EC	Comments
PHOSPHO-BARA-HIS	BarA sensory histidine kinase	BARA-MONOMER	"[""CCO-PM-BAC-NEG""]"	"[""RXN0-6560"", ""BAROMP-RXN""]"	[[], []]	"[""[i]: PHOSPHO-BARA-ASP ==> PHOSPHO-BARA-HIS"", ""[i]: OMPR-MONOMER + PHOSPHO-BARA-HIS <==> PHOSPHO-OMPR + BARA-MONOMER""]"	"[""Balanced."", ""Balanced.""]"	[null, null]	
PHOSPHO-BASR	BasR transcriptional regulator	BASR-MONOMER	"[""CCO-CYTOSOL""]"	"[""BASR-RXN""]"	[[]]	"[""[c]: PHOSPHO-BASS + BASR-MONOMER ==> BASS-MONOMER + PHOSPHO-BASR""]"	"[""Balanced.""]"	[null]	
PHOSPHO-BASS	BasS sensory histidine kinase	BASS-MONOMER	"[""CCO-PM-BAC-NEG""]"	"[""BASS-RXN""]"	[[]]	"[""[i]: atp + BASS-MONOMER ==> adp + PHOSPHO-BASS""]"	"[""The right side is missing:  P: 1  O: 3""]"	[null]	
PHOSPHO-CHEB	CheB	CHEB-MONOMER	"[""CCO-CYTOSOL""]"	"[""RXN0-6547"", ""CHEBDEP-RXN""]"	[[], []]	"[""[c]: MONOMER0-4206 + CHEB-MONOMER ==> PROTEIN-CHEA + PHOSPHO-CHEB"", ""[c]: PHOSPHO-CHEB <==> pi + CHEB-MONOMER""]"	"[""Undetermined; a substrate lacks a chemical formula"", ""The left side is missing:  P: 1  O: 4  H: 1""]"	[null, null]	
PHOSPHO-CHEY	chemotaxis regulator transmitting signal to flagellar motor component	CHEY-MONOMER	"[""CCO-CYTOSOL""]"	"[""RXN0-6546""]"	[[]]	"[""[c]: MONOMER0-4206 + CHEY-MONOMER ==> PROTEIN-CHEA + PHOSPHO-CHEY""]"	"[""Undetermined; a substrate lacks a chemical formula""]"	[null]	
PHOSPHO-CPXA	CpxA sensory histidine kinase	CPXA-MONOMER	"[""CCO-PM-BAC-NEG""]"	"[""CPXA-RXN""]"	[[]]	"[""[i]: atp + CPXA-MONOMER ==> adp + PHOSPHO-CPXA""]"	"[""The right side is missing:  P: 1  O: 3""]"	[null]	
PHOSPHO-CPXR	CpxR transcriptional dual regulator	CPXR-MONOMER	"[""CCO-CYTOSOL""]"	[]	[]	[]	[]	[]	
PHOSPHO-CREB	CreB transcriptional regulator	CREB-MONOMER	"[""CCO-CYTOSOL""]"	"[""CREB-RXN""]"	[[]]	"[""[c]: PHOSPHO-CREC + CREB-MONOMER ==> CREC-MONOMER + PHOSPHO-CREB""]"	"[""Balanced.""]"	[null]	
PHOSPHO-DCUR-MONOMER	DcuR transcriptional activator	DCUR-MONOMER	"[""CCO-CYTOSOL""]"	[]	[]	[]	[]	[]	
PHOSPHO-DCUS-MONOMER	DcuS sensory histidine kinase	DCUS-MONOMER	"[""CCO-PM-BAC-NEG""]"	"[""DCUS-RXN""]"	[[]]	"[""[i]: atp + DCUS-MONOMER ==> adp + PHOSPHO-DCUS-MONOMER""]"	"[""Undetermined; a substrate lacks a chemical formula""]"	[null]	
PHOSPHO-DPIA	DpiA	G6346-MONOMER	"[""CCO-CYTOSOL""]"	"[""RXN0-6272""]"	[[]]	"[""[c]: PHOSPHO-DPIB + G6346-MONOMER ==> G6345-MONOMER + PHOSPHO-DPIA""]"	"[""Undetermined; a substrate lacks a chemical formula""]"	[null]	
PHOSPHO-DPIB	DpiB sensory histidine kinase	G6345-MONOMER	"[""CCO-PM-BAC-NEG""]"	"[""RXN0-6271""]"	[[]]	"[""[i]: atp + G6345-MONOMER ==> adp + PHOSPHO-DPIB""]"	"[""Undetermined; a substrate lacks a chemical formula""]"	[null]	
PHOSPHO-EVGA	EvgA transcriptional regulator	EVGA-MONOMER	"[""CCO-CYTOSOL""]"	"[""EVGA-RXN""]"	[[]]	"[""[c]: PHOSPHO-EVGS + EVGA-MONOMER ==> EVGS-MONOMER + PHOSPHO-EVGA""]"	"[""Balanced.""]"	[null]	
PHOSPHO-EVGS	EvgS sensory histidine kinase	EVGS-MONOMER	"[""CCO-PM-BAC-NEG""]"	"[""RXN0-6495""]"	[[]]	"[""[i]: MONOMER0-4185 ==> PHOSPHO-EVGS""]"	"[""Undetermined; a substrate lacks a chemical formula""]"	[null]	
PHOSPHO-HYDG	ZraR transcriptional activator	HYDG-MONOMER	"[""CCO-CYTOSOL""]"	"[""HYDG-RXN""]"	[[]]	"[""[c]: PHOSPHO-HYDH + HYDG-MONOMER ==> PHOSPHO-HYDG + HYDH-MONOMER""]"	"[""Balanced.""]"	[null]	
PHOSPHO-HYDH	ZraS sensory histidine kinase	HYDH-MONOMER	"[""CCO-PM-BAC-NEG""]"	"[""HYDH-RXN""]"	[[]]	"[""[i]: atp + HYDH-MONOMER ==> adp + PHOSPHO-HYDH""]"	"[""The right side is missing:  P: 1  O: 3""]"	[null]	
PHOSPHO-KDPE	KdpE transcriptional activator	KDPE-MONOMER	"[""CCO-CYTOSOL""]"	[]	[]	[]	[]	[]	
PHOSPHO-NARL	NarL	NARL-MONOMER	"[""CCO-CYTOSOL""]"	"[""NARLX-RXN""]"	[[]]	"[""[c]: PHOSPHO-NARX + NARL-MONOMER ==> PHOSPHO-NARL + NARX-MONOMER""]"	"[""Balanced.""]"	[null]	
PHOSPHO-NARP	NarP	NARP-MONOMER	"[""CCO-CYTOSOL""]"	"[""NARPX-RXN""]"	[[]]	"[""[c]: PHOSPHO-NARX + NARP-MONOMER ==> NARX-MONOMER + PHOSPHO-NARP""]"	"[""Balanced.""]"	[null]	
PHOSPHO-NARQ	NarQ	NARQ-MONOMER	"[""CCO-PM-BAC-NEG""]"	"[""NARQ-RXN""]"	[[]]	"[""[i]: atp + NARQ-MONOMER ==> adp + PHOSPHO-NARQ""]"	"[""The right side is missing:  P: 1  O: 3""]"	[null]	
PHOSPHO-NARX	NarX	NARX-MONOMER	"[""CCO-PM-BAC-NEG""]"	"[""NARX-RXN""]"	[[]]	"[""[i]: atp + NARX-MONOMER ==> adp + PHOSPHO-NARX""]"	"[""The right side is missing:  P: 1  O: 3""]"	[null]	
PHOSPHO-OMPR-MONOMER	OmpR	OMPR-MONOMER	"[""CCO-CYTOSOL""]"	[]	[]	[]	[]	[]	
PHOSPHO-PHOB	PhoB transcriptional dual regulator	PHOB-MONOMER	"[""CCO-CYTOSOL""]"	"[""PHOBR-RXN""]"	[[]]	"[""[c]: PHOB-MONOMER + PHOSPHO-PHOR ==> PHOR-MONOMER + PHOSPHO-PHOB""]"	"[""Balanced.""]"	[null]	
PHOSPHO-PHOP	PhoP	PHOP-MONOMER	"[""CCO-CYTOSOL""]"	"[""PHOP-RXN""]"	[[]]	"[""[c]: PHOSPHO-PHOQ + PHOP-MONOMER ==> PHOQ-MONOMER + PHOSPHO-PHOP""]"	"[""Balanced.""]"	[null]	
PHOSPHO-PHOQ	PhoQ sensory histidine kinase	PHOQ-MONOMER	"[""CCO-PM-BAC-NEG""]"	"[""PHOQ-RXN""]"	[[]]	"[""[i]: atp + PHOQ-MONOMER ==> adp + PHOSPHO-PHOQ""]"	"[""The right side is missing:  P: 1  O: 3""]"	[null]	
PHOSPHO-RCSB	RcsB	RCSB-MONOMER	"[""CCO-CYTOSOL""]"	[]	[]	[]	[]	[]	
PHOSPHO-RCSC	RcsC sensory histidine kinase	RCSC-MONOMER	"[""CCO-PM-BAC-NEG""]"	"[""RCSC-RXN""]"	[[]]	"[""[i]: atp + RCSC-MONOMER ==> adp + PHOSPHO-RCSC""]"	"[""The right side is missing:  P: 1  O: 3""]"	[null]	
PHOSPHO-RSTA	RstA transcriptional regulator	RSTA-MONOMER	"[""CCO-CYTOSOL""]"	"[""RSTA-RXN""]"	[[]]	"[""[c]: PHOSPHO-RSTB + RSTA-MONOMER ==> RSTB-MONOMER + PHOSPHO-RSTA""]"	"[""Balanced.""]"	[null]	
PHOSPHO-RSTB	RstB sensory histidine kinase	RSTB-MONOMER	"[""CCO-PM-BAC-NEG""]"	"[""RSTB-RXN""]"	[[]]	"[""[i]: atp + RSTB-MONOMER ==> adp + PHOSPHO-RSTB""]"	"[""The right side is missing:  P: 1  O: 3""]"	[null]	
PHOSPHO-TORASP	TorS monomer	TORS-MONOMER	"[""CCO-PM-BAC-NEG""]"	"[""TORSASP-RXN""]"	[[]]	"[""[i]: PHOSPHO-TORS ==> PHOSPHO-TORASP""]"	"[""Balanced.""]"	[null]	
PHOSPHO-TORS	TorS monomer	TORS-MONOMER	"[""CCO-PM-BAC-NEG""]"	"[""RXN0-6518""]"	[[]]	"[""[i]: atp + TORS-CPLX ==> adp + PHOSPHO-TORS""]"	"[""Undetermined; a substrate lacks a chemical formula""]"	[null]	
PHOSPHO-TORS850	TorS monomer	TORS-MONOMER	"[""CCO-PM-BAC-NEG""]"	"[""TORS850-RXN""]"	[[]]	"[""[i]: PHOSPHO-TORASP ==> PHOSPHO-TORS850""]"	"[""Balanced.""]"	[null]	
PHOSPHO-UHPA	UhpA transcriptional activator	UHPA-MONOMER	"[""CCO-CYTOSOL""]"	[]	[]	[]	[]	[]	
PHOSPHO-UHPB	UhpB sensory histidine kinase	UHPB-MONOMER	"[""CCO-PM-BAC-NEG""]"	"[""UHPB-RXN""]"	[[]]	"[""[i]: atp + UHPB-MONOMER ==> adp + PHOSPHO-UHPB""]"	"[""The right side is missing:  P: 1  O: 3""]"	[null]	
PTSH-PHOSPHORYLATED	HPr	PTSH-MONOMER	"[""CCO-CYTOSOL""]"	"[""RXN0-6718""]"	[[]]	"[""[c]: PTSI-PHOSPHORYLATED + PTSH-MONOMER <==> PTSH-PHOSPHORYLATED + PTSI-MONOMER""]"	"[""Undetermined; a substrate lacks a chemical formula""]"	[null]	
R-3-HYDROXYPALMITOYL-ACP	apo-[acyl carrier protein]	EG50003-MONOMER	"[""CCO-CYTOSOL""]"	[]	[]	[]	[]	[]	
RSSB-P	regulator of RpoS	EG12121-MONOMER	"[""CCO-CYTOSOL""]"	"[""RXN0-3341""]"	[[]]	"[""[c]: EG12121-MONOMER + pi <==> RSSB-P""]"	"[""Undetermined; a substrate lacks a chemical formula""]"	[null]	
SAMDC-ALPHA-MONOMER	adenosylmethionine decarboxylase, proenzyme	SPED-MONOMER	"[""CCO-CYTOSOL""]"	[]	[]	[]	[]	[]	
SAMDC-BETA-MONOMER	adenosylmethionine decarboxylase, proenzyme	SPED-MONOMER	"[""CCO-CYTOSOL""]"	[]	[]	[]	[]	[]	
SUCB-DIHYDROLIPOATE	SucB	E2O-MONOMER	"[""CCO-CYTOSOL""]"	"[""RXN0-1147""]"	"[[""E2O""]]"	"[""[c]: succoa + SUCB-DIHYDROLIPOATE + h <==> coa + SUCB-S-SUCCINYLDIHYDROLIPOATE""]"	"[""Balanced.""]"	[null]	
SUCB-LIPOATE	SucB	E2O-MONOMER	"[""CCO-CYTOSOL""]"	"[""RXN0-1140"", ""RXN0-1144"", ""RXN-7716""]"	"[[""EG11796-MONOMER""], [], [""E3-CPLX""]]"	"[""[c]: atp + E2O-MONOMER + lipoic-acid <==> amp + ppi + SUCB-LIPOATE"", ""[c]: akg + SUCB-LIPOATE <==> SUCB-S-SUCCINYLDIHYDROLIPOATE + co2"", ""[c]: SUCB-DIHYDROLIPOATE + nadp ==> SUCB-LIPOATE + nadh + h""]"	"[""Undetermined; a substrate lacks a chemical formula"", ""Undetermined; a substrate lacks a chemical formula"", ""Balanced.""]"	[null, null, null]	
SUCB-S-SUCCINYLDIHYDROLIPOATE	SucB	E2O-MONOMER	"[""CCO-CYTOSOL""]"	"[""RXN0-1144"", ""RXN0-1147""]"	"[[], [""E2O""]]"	"[""[c]: akg + SUCB-LIPOATE <==> SUCB-S-SUCCINYLDIHYDROLIPOATE + co2"", ""[c]: succoa + SUCB-DIHYDROLIPOATE + h <==> coa + SUCB-S-SUCCINYLDIHYDROLIPOATE""]"	"[""Undetermined; a substrate lacks a chemical formula"", ""Balanced.""]"	[null, null]	
SUCC-ACP	apo-[acyl carrier protein]	EG50003-MONOMER	"[""CCO-CYTOSOL""]"	[]	[]	[]	[]	[]	
THIS-COAMP-MONOMER	ThiS protein	THIS-MONOMER	"[""CCO-CYTOSOL""]"	"[""THIFAMP-RXN"", ""THIFIS-RXN"", ""RXN-9789""]"	"[[""THIF-MONOMER""], [""THII-MONOMER"", ""THIF-MONOMER""], [""THIF-MONOMER""]]"	"[""[c]: THIS-MONOMER + atp <==> THIS-COAMP-MONOMER + ppi"", ""[c]: THIS-COAMP-MONOMER + cys-L <==> THIS-COSH-MONOMER + ala-L + amp"", ""[c]: THIS-MONOMER + atp ==> THIS-COAMP-MONOMER + ppi""]"	"[""Undetermined; a substrate lacks a chemical formula"", ""Undetermined; a substrate lacks a chemical formula"", ""Marked as unbalanced, because the complete reaction equation is not known.""]"	[null, null, null]	
THIS-COSH-MONOMER	ThiS protein	THIS-MONOMER	"[""CCO-CYTOSOL""]"	"[""THIFIS-RXN""]"	"[[""THII-MONOMER"", ""THIF-MONOMER""]]"	"[""[c]: THIS-COAMP-MONOMER + cys-L <==> THIS-COSH-MONOMER + ala-L + amp""]"	"[""Undetermined; a substrate lacks a chemical formula""]"	[null]	
TRANS-DELTA3-CIS-DELTA5-DODECENOYL-ACP	apo-[acyl carrier protein]	EG50003-MONOMER	"[""CCO-CYTOSOL""]"	[]	[]	[]	[]	[]	
URIDYLYL-PII	PII	PROTEIN-PII	"[""CCO-CYTOSOL""]"	"[""URITRANS-RXN""]"	"[[""GLND-MONOMER""]]"	"[""[c]: PROTEIN-PII + utp ==> URIDYLYL-PII + ppi""]"	"[""Undetermined; a substrate lacks a chemical formula""]"	[null]	
URIDYLYL-PII2	GlnK	PROTEIN-PII2	"[""CCO-CYTOSOL""]"	"[""RXN0-801""]"	[[]]	"[""[c]: PROTEIN-PII2 + utp ==> ppi + URIDYLYL-PII2""]"	"[""Undetermined; a substrate lacks a chemical formula""]"	[null]	
