EG10001	4263805..4264884
EG11759	(complement(1327136..1326378))
EG11760	1527946..1528428
EG11761	1531076..1531309
EG11762	(complement(3759978..3759370))
EG11763	3766200..3766661
EG11764	(complement(3769402..3768266))
EG11765	(complement(3769767..3769405))
EG11766	3765244..3765945
EG11767	(complement(3624826..3623702))
EG11768	(complement(530450..529356))
EG11769	526805..527173
EG11770	527864..528124
EG11773	(complement(2391063..2389534))
EG11774	(complement(2399577..2398240))
EG11775	(complement(711121..710828))
EG11776	(complement(712025..711261))
EG11777	(complement(715580..715170))
EG11778	(complement(715820..715611))
EG11779	(complement(3100874..3100155))
EG11780	(complement(1596110..1592133))
EG11781	4285787..4287223
EG11782	2752918..2753400
EG11783	2754181..2755422
EG11784	"() { $('MsgCloseButton').focus(); } });</script><pre>>gnl|ECOLI|EG11784 grcA ""EG11784-MONOMER"" (complement(2714471..2714088))"
EG11785	(complement(2713342..2712461))
EG11786	(complement(2716550..2715513))
EG11787	(complement(2126338..2125217))
EG11788	(complement(2125214..2124249))
EG11789	(complement(2124246..2123767))
EG11790	(complement(2123770..2122547))
EG11791	(complement(3077352..3076909))
EG11792	(complement(3076881..3075493))
EG11793	"() { $('MsgCloseButton').focus(); } });</script><pre>>gnl|ECOLI|EG11793 ygdD ""EG11793-MONOMER"" (complement(2939653..2939258))"
EG11794	(complement(2939265..2938165))
EG11795	(complement(2940589..2939672))
EG11796	(complement(4622140..4621124))
EG11797	2576688..2577638
EG11798	(complement(115724..114522))
EG11799	(complement(3143162..3142176))
EG11800	(complement(3142186..3141008))
EG11801	(complement(3141011..3139308))
EG11802	(complement(3139308..3138814))
EG11803	(complement(3138821..3138333))
EG11804	(complement(3138340..3137999))
EG11805	(complement(3137986..3137738))
EG11806	(complement(1927731..1927072))
EG11807	(complement(1928414..1928058))
EG11808	(complement(1928771..1928481))
EG11809	1928905..1930083
EG11810	(complement(3047063..3044190))
EG11811	4412298..4413923
EG11812	4411051..4412214
EG11814	1058479..1061025
EG11815	1057307..1058479
EG11816	"() { $('MsgCloseButton').focus(); } });</script><pre>>gnl|ECOLI|EG11816 ispF ""EG11816-MONOMER"" (complement(2869802..2869323))"
EG11817	(complement(2868296..2867535))
EG11819	(complement(1287847..1287005))
EG11820	(complement(1117699..1117124))
EG11821	472190..473476
EG11822	1362256..1363536
EG11823	2550374..2551243
EG11824	3151585..3152244
EG11825	(complement(1533882..1532989))
EG11826	(complement(1043433..1041253))
EG11827	4311373..4311822
EG11828	(complement(4039456..4038929))
EG11829	(complement(4040022..4039438))
EG11830	4040092..4040361
EG11831	4040438..4041424
EG11832	4042222..4043652
EG11833	(complement(4044625..4043693))
EG11835	4049370..4049879
EG11836	4050068..4051441
EG11837	4056430..4058253
EG11838	4058470..4059180
EG11839	4059188..4060168
EG11840	4060270..4061535
EG11841	(complement(4063789..4062386))
EG11842	(complement(4065238..4063832))
EG11843	(complement(4067299..4065263))
EG11844	(complement(4068424..4067498))
EG11845	(complement(4069779..4068538))
EG11846	(complement(4070674..4069796))
EG11847	(complement(4071594..4070698))
EG11848	4071762..4072658
EG11849	4072692..4073477
EG11850	4073576..4074175
EG11851	4074169..4075041
EG11852	4075038..4075475
EG11853	4075472..4076461
EG11854	4077314..4077532
EG11855	4077774..4077992
EG11856	(complement(4079883..4079248))
EG11857	(complement(4080782..4079880))
EG11858	(complement(4083845..4080795))
EG11859	4084039..4084872
EG11860	4085025..4086080
EG11861	(complement(4087878..4086130))
EG11862	(complement(4088948..4087878))
EG11863	(complement(4090389..4088938))
EG11864	(complement(4090846..4090400))
EG11865	(complement(4091461..4091147))
EG11866	(complement(4092295..4091471))
EG11867	(complement(4094005..4092746))
EG11868	(complement(4095471..4094002))
EG11869	4099713..4100696
EG11870	4100845..4101519
EG11871	(complement(3512411..3511653))
EG11873	4104492..4105394
EG11874	(complement(4110237..4109638))
EG11875	4110338..4110778
EG11876	4110990..4111289
EG11877	4111316..4111744
EG11878	4116538..4116783
EG11879	(complement(4117353..4116868))
EG11880	(complement(4118372..4117446))
EG11881	(complement(4119770..4118439))
EG11882	(complement(4125917..4125309))
EG11883	1498597..1499589
EG11884	1499586..1500179
EG11885	1108558..1110093
EG11886	1110086..1112629
EG11887	2716757..2717176
EG11888	3779238..3779711
EG11889	3652706..3653236
EG11890	3651984..3652550
EG11891	"() { $('MsgCloseButton').focus(); } });</script><pre>>gnl|ECOLI|EG11891 yeeA ""EG11891-MONOMER"" (complement(2078615..2077557))"
EG11892	(complement(2079286..2078813))
EG11893	(complement(2080571..2079405))
EG11894	(complement(2082477..2082250))
EG11895	(complement(2083549..2082491))
EG11896	"() { $('MsgCloseButton').focus(); } });</script><pre>>gnl|ECOLI|EG11896 plaP ""YEEF-MONOMER"" (complement(2085086..2083728))"
EG11897	(complement(2708034..2707459))
EG11899	(complement(1412817..1412008))
EG11900	(complement(1411951..1411757))
EG11901	(complement(1411764..1411555))
EG11902	4134131..4135036
EG11903	"() { $('MsgCloseButton').focus(); } });</script><pre>>gnl|ECOLI|EG11903 yijF ""EG11903-MONOMER"" (complement(4135680..4135063))"
EG11904	(complement(4137058..4135955))
EG11905	(complement(4137731..4137069))
EG11906	(complement(4140244..4137743))
EG11908	4140553..4141632
EG11909	4141647..4141967
EG11910	4142018..4144315
EG11911	4144281..4145159
EG11912	4145161..4145502
EG11913	(complement(4146340..4145489))
EG11914	(complement(4148288..4146555))
EG11915	4196813..4197484
EG11916	4197527..4198117
EG11917	4198589..4199284
EG11918	(complement(4199711..4199286))
EG11919	4225754..4227385
EG11920	(complement(4228165..4227476))
EG11921	4228377..4229249
EG11922	(complement(4229654..4229382))
EG11923	4233929..4234171
EG11924	4234285..4234923
EG11925	4234920..4235657
EG11926	4235657..4237753
EG11927	4248978..4250306
EG11928	4257260..4257469
EG11929	(complement(4258026..4257511))
EG11930	4258344..4258598
EG11931	4258622..4259329
EG11932	4259692..4260729
EG11933	4260863..4261105
EG11934	4267437..4268150
EG11935	4268261..4268677
EG11936	4268681..4269037
EG11937	(complement(4273064..4272783))
EG11938	4273494..4275080
EG11939	4276502..4277851
EG11940	4278003..4279652
EG11941	(complement(4281098..4279806))
EG11942	(complement(4282925..4281276))
EG11943	(complement(4283236..4282922))
EG11945	4287268..4287834
EG11946	4287831..4288502
EG11947	4288499..4289455
EG11948	4289535..4291193
EG11949	4291186..4291569
EG11950	4291566..4292162
EG11951	(complement(4295148..4294459))
EG11952	(complement(4299053..4297587))
EG11953	(complement(4301101..4299050))
EG11954	(complement(4302132..4301101))
EG11955	(complement(4304620..4302635))
EG11956	(complement(4305822..4304893))
EG11957	(complement(4306501..4305806))
EG11958	(complement(4307492..4306512))
EG11959	(complement(4309003..4307471))
EG11961	3775422..3777077
EG11962	3777077..3777853
EG11963	3777850..3779040
EG11964	3774688..3775050
EG11965	3773595..3774182
EG11966	(complement(4335952..4335191))
EG11967	1137601..1139244
EG11969	(complement(3437152..3436727))
EG11970	(complement(3437531..3437163))
EG11971	2511064..2512266
EG11972	(complement(155426..152829))
EG11973	(complement(156201..155461))
EG11974	4541751..4542290
EG11975	2019893..2020630
EG11976	2020640..2020909
EG11977	2020917..2021702
EG11978	(complement(2109043..2108162))
EG11979	(complement(2108162..2107605))
EG11980	(complement(2107608..2106361))
EG11981	(complement(2106353..2105250))
EG11982	(complement(2105250..2104084))
EG11983	(complement(2104081..2103089))
EG11984	(complement(2103108..2102518))
EG11985	(complement(2102533..2101415))
EG11986	(complement(2101413..2100940))
EG11987	(complement(2186436..2185402))
EG11988	(complement(2188932..2186452))
EG11989	(complement(2189667..2188948))
EG11990	(complement(2190244..2189702))
EG11991	(complement(2190818..2190537))
EG11992	2194496..2195320
EG11995	2198301..2201933
EG11998	2202618..2203706
EG11999	2203717..2205996
EG12002	2205989..2207125
EG12003	2207122..2208966
EG12004	2209247..2209708
EG12005	(complement(2210218..2209748))
EG12006	(complement(2210984..2210265))
EG12007	(complement(2212666..2210981))
EG12008	2212888..2213619
EG12009	(complement(2214498..2213767))
EG12010	(complement(2215429..2214503))
EG12011	(complement(2216579..2215422))
EG12012	(complement(2217503..2216586))
EG12013	(complement(2220011..2217714))
EG12015	(complement(2222892..2221960))
EG12016	(complement(2223653..2223066))
EG12017	2223823..2224401
EG12019	(complement(2225292..2224531))
EG12020	(complement(2226433..2225345))
EG12021	(complement(2226708..2226571))
EG12022	(complement(2228407..2227460))
EG12023	2228646..2229044
EG12024	2229041..2229736
EG12025	2230900..2231619
EG12026	2241932..2242768
EG12027	2247739..2248788
EG12028	2249722..2250810
EG12029	(complement(2252167..2250917))
EG12030	(complement(2253208..2252267))
EG12031	2253377..2254036
EG12032	(complement(2255357..2254107))
EG12033	"() { $('MsgCloseButton').focus(); } });</script><pre>>gnl|ECOLI|EG12033 psuG ""EG12033-MONOMER"" (complement(2256389..2255451))"
EG12034	2261885..2263066
EG12035	2263472..2264044
EG12036	2264267..2265733
EG12037	2270386..2272200
EG12038	2272201..2273295
EG12040	2273295..2274320
EG12041	2274322..2275911
EG12042	(complement(2276259..2275915))
EG12043	2282151..2282378
EG12044	(complement(2278505..2277810))
EG12045	2278654..2280414
EG12048	(complement(2281969..2280962))
EG12049	2282398..2284158
EG12051	(complement(2286922..2284412))
EG12052	(complement(2290432..2289380))
EG12053	(complement(2290986..2290429))
EG12054	(complement(2292926..2290983))
EG12055	(complement(2293402..2292923))
EG12057	(complement(2294342..2293605))
EG12058	(complement(2295046..2294384))
EG12059	"() { $('MsgCloseButton').focus(); } });</script><pre>>gnl|ECOLI|EG12059 ccmA ""CCMA-MONOMER"" (complement(2295666..2295043))"
EG12060	(complement(2296281..2295679))
EG12061	(complement(2296740..2296291))
EG12062	(complement(2297600..2296737))
EG12064	(complement(2298282..2297587))
EG12067	(complement(2300775..2298289))
EG12068	(complement(2301519..2301025))
EG12069	(complement(2304776..2303130))
EG12070	(complement(2306637..2304994))
EG12073	"() { $('MsgCloseButton').focus(); } });</script><pre>>gnl|ECOLI|EG12073 apbE ""EG12073-MONOMER"" (complement(2309556..2308501))"
EG12075	3611690..3613264
EG12076	3613264..3614208
EG12077	3614205..3615038
EG12078	3615038..3615802
EG12079	3615799..3616605
EG12080	(complement(2820661..2820161))
EG12081	(complement(2962199..2961729))
EG12082	(complement(2403094..2402651))
EG12083	(complement(2402635..2401973))
EG12084	(complement(2401867..2400077))
EG12086	(complement(2400074..2399574))
EG12087	(complement(2398187..2395461))
EG12088	(complement(2395464..2394487))
EG12089	(complement(2394472..2393930))
EG12090	(complement(2393918..2393364))
EG12091	(complement(2393367..2393065))
EG12092	(complement(2393068..2391227))
EG12093	(complement(2389527..2388070))
EG12094	(complement(77299..75644))
EG12095	(complement(3320527..3320195))
EG12096	4446715..4447065
EG12097	(complement(2733056..2732325))
EG12098	(complement(2734033..2733053))
EG12099	4373722..4374288
EG12100	2577658..2579661
EG12101	3538185..3538412
EG12102	3538429..3540750
EG12103	(complement(1487988..1487737))
EG12104	2265851..2266837
EG12105	(complement(2247640..2246759))
EG12106	(complement(117099..115714))
EG12107	(complement(117549..117109))
EG12108	(complement(2830311..2828797))
EG12110	1485259..1486059
EG12111	(complement(2866775..2865636))
EG12112	2756666..2756878
EG12113	(complement(3518725..3517487))
EG12114	4607437..4609026
EG12115	4606669..4607346
EG12116	484985..485632
EG12117	849673..850188
EG12119	(complement(1288355..1287897))
EG12120	1288429..1289373
EG12121	1289465..1290478
EG12122	3087777..3088274
EG12123	(complement(2404663..2403725))
EG12124	"() { $('MsgCloseButton').focus(); } });</script><pre>>gnl|ECOLI|EG12124 hisJ ""HISJ-MONOMER"" (complement(2424810..2424028))"
EG12125	(complement(2423938..2423252))
EG12127	(complement(4464203..4462782))
EG12128	(complement(2964059..2963184))
EG12129	(complement(2618182..2616893))
EG12130	(complement(2656957..2655107))
EG12131	(complement(2657489..2656974))
EG12132	(complement(2657908..2657585))
EG12133	(complement(2542645..2541854))
EG12134	"() { $('MsgCloseButton').focus(); } });</script><pre>>gnl|ECOLI|EG12134 rhtA ""EG12134-MONOMER"" (complement(849320..848433))"
EG12136	2159488..2160903
EG12137	215269..215979
EG12138	(complement(217003..216179))
EG12139	(complement(2687528..2686815))
EG12140	(complement(1737822..1736890))
EG12141	1737935..1739146
EG12142	2926251..2927540
EG12143	(complement(2301035..2300772))
EG12144	712781..714421
EG12146	3345137..3345991
EG12147	3345988..3346260
EG12148	3086306..3087700
EG12150	(complement(2063246..2062503))
EG12151	(complement(2062491..2061412))
EG12152	4492646..4493209
EG12153	(complement(1542084..1540696))
EG12154	1416695..1417183
EG12155	(complement(1416253..1416032))
EG12158	(complement(409243..408332))
EG12159	407401..407685
EG12161	313581..314468
EG12162	(complement(2169757..2169419))
EG12163	3433229..3434518
EG12164	4631820..4632467
EG12165	973542..974864
EG12166	(complement(972624..971845))
EG12167	972760..973545
EG12168	418815..420134
EG12169	(complement(2293608..2293399))
EG12171	(complement(4615088..4613538))
EG12172	1161108..1161467
EG12173	3463104..3463565
EG12176	(complement(4361331..4360756))
EG12177	(complement(4363379..4363041))
EG12178	(complement(4363065..4361368))
EG12179	656515..656724
EG12180	655780..656340
EG12181	(complement(1732125..1731778))
EG12182	(complement(453391..452813))
EG12183	(complement(452769..451294))
EG12188	(complement(2966456..2964210))
EG12189	2551247..2552146
EG12190	(complement(2553204..2552152))
EG12191	471822..472160
EG12192	2748853..2749731
EG12193	(complement(1062998..1062078))
EG12194	(complement(1062078..1061773))
EG12195	1061022..1061621
EG12196	1063259..1064515
EG12197	712210..712755
EG12198	(complement(1815159..1814410))
EG12200	2145698..2147050
EG12201	(complement(2798016..2797672))
EG12202	(complement(4465269..4464322))
EG12203	(complement(1639578..1639363))
EG12204	(complement(1905459..1905250))
EG12205	1639879..1640091
EG12207	(complement(1905084..1904275))
EG12208	657254..657481
EG12209	(complement(657161..656778))
EG12210	3792952..3793998
EG12211	3596007..3596390
EG12212	3603002..3603271
EG12213	(complement(3603633..3603274))
EG12214	3603774..3604400
EG12215	3604474..3606672
EG12216	(complement(3607019..3606774))
EG12217	3607240..3607905
EG12219	(complement(3609756..3608539))
EG12220	3609888..3610937
EG12221	3610992..3611579
EG12223	(complement(3627561..3624826))
EG12224	(complement(3628625..3627558))
EG12225	(complement(3630613..3628991))
EG12226	(complement(3631267..3630875))
EG12227	(complement(3632481..3631243))
EG12228	3632864..3633916
EG12229	(complement(3635433..3634231))
EG12230	3635665..3637164
EG12231	(complement(3637743..3637408))
EG12232	3638885..3640354
EG12233	(complement(3641155..3640403))
EG12234	3643408..3644250
EG12235	3646551..3646904
EG12236	3646958..3648247
EG12237	3648260..3648685
EG12238	3649314..3650096
EG12240	3657255..3658412
EG12241	3658437..3661550
EG12242	(complement(3662641..3661913))
EG12243	(complement(3663833..3663009))
EG12244	(complement(3667211..3665814))
EG12245	3667615..3669264
EG12246	(complement(3669917..3669315))
EG12247	3670365..3671336
EG12248	3671385..3672398
EG12249	3672809..3674131
EG12251	(complement(3676388..3674313))
EG12252	(complement(3677210..3676443))
EG12253	3677442..3678371
EG12254	(complement(3679963..3678467))
EG12256	(complement(3683602..3681653))
EG12257	(complement(3687196..3683723))
EG12258	(complement(3688284..3687178))
EG12259	(complement(3690630..3688291))
EG12260	(complement(3693259..3690641))
EG12261	(complement(3693984..3693256))
EG12262	(complement(3694208..3694020))
EG12263	3694481..3696052
EG12264	3696049..3696240
EG12265	3696237..3697916
EG12266	3698586..3699857
EG12267	(complement(3708498..3706807))
EG12268	(complement(3710030..3708822))
EG12269	(complement(3710957..3710259))
EG12270	3711675..3712115
EG12271	3714570..3715229
EG12272	3715333..3716307
EG12273	"() { $('MsgCloseButton').focus(); } });</script><pre>>gnl|ECOLI|EG12273 yiaF ""EG12273-MONOMER"" (complement(3717067..3716357))"
EG12274	3723910..3724905
EG12275	3730224..3731765
EG12276	3731743..3732924
EG12277	(complement(3739605..3739132))
EG12278	(complement(3740555..3739707))
EG12279	3740756..3741754
EG12280	3741766..3742233
EG12281	3742351..3742824
EG12282	3742827..3744104
EG12283	3744117..3745103
EG12284	3745107..3746603
EG12285	3746600..3747262
EG12286	3747255..3748115
EG12287	3748109..3748804
EG12288	(complement(3749891..3749151))
EG12289	3750015..3750989
EG12290	(complement(3752122..3750986))
EG12291	(complement(3752451..3752128))
EG12292	(complement(3754534..3752996))
EG12293	(complement(3755850..3754699))
EG12294	(complement(3782465..3782214))
EG12295	(complement(3783038..3782607))
EG12296	3783283..3784827
EG12297	3784861..3786120
EG12298	3786124..3787083
EG12301	1073465..1074103
EG12302	1154347..1154988
EG12303	1156000..1156797
EG12304	(complement(1351652..1350660))
EG12305	(complement(1350658..1349852))
EG12308	2696781..2697629
EG12309	4638965..4639651
EG12310	(complement(2654380..2653097))
EG12311	(complement(2654758..2654558))
EG12312	(complement(113219..112599))
EG12313	(complement(112599..111856))
EG12314	(complement(111846..111649))
EG12315	(complement(131260..129407))
EG12316	131615..134212
EG12318	137083..138633
EG12319	(complement(142670..142008))
EG12320	142779..143705
EG12321	143702..144472
EG12322	144577..145017
EG12323	2354926..2355825
EG12325	(complement(151599..151003))
EG12326	(complement(152231..151626))
EG12327	(complement(152812..152243))
EG12328	(complement(156883..156299))
EG12329	162105..164534
EG12330	(complement(162031..161501))
EG12331	175107..176528
EG12332	176610..176954
EG12333	(complement(177624..177001))
EG12334	(complement(178462..177662))
EG12335	182463..183620
EG12336	(complement(184095..183709))
EG12337	(complement(185069..184257))
EG12338	(complement(281207..280053))
EG12339	(complement(279959..279609))
EG12340	(complement(278026..276980))
EG12341	(complement(2707426..2706776))
EG12342	4619792..4621123
EG12343	(complement(4628545..4626878))
EG12344	(complement(1365936..1364959))
EG12345	1625541..1626287
EG12347	(complement(1995838..1995086))
EG12352	(complement(3957836..3957555))
EG12354	214833..215255
EG12356	3556290..3557888
EG12357	1781001..1782701
EG12358	(complement(993267..992500))
EG12359	"() { $('MsgCloseButton').focus(); } });</script><pre>>gnl|ECOLI|EG12359 ybgD ""EG12359-MONOMER"" (complement(752018..751452))"
EG12360	2346536..2346790
EG12361	(complement(2981280..2980519))
EG12362	(complement(2378665..2377370))
EG12363	3183436..3183987
EG12364	4494773..4495963
EG12365	3482512..3483381
EG12366	3089156..3089887
EG12367	597937..601080
EG12368	1941438..1942223
EG12369	(complement(1852003..1850645))
EG12370	(complement(1200029..1198902))
EG12371	"() { $('MsgCloseButton').focus(); } });</script><pre>>gnl|ECOLI|EG12371 nlpI ""EG12371-MONOMER"" (complement(3306946..3306062))"
EG12372	2928987..2929832
EG12373	2924330..2925694
EG12374	(complement(3489642..3489475))
EG12375	963543..965807
EG12376	2524968..2525966
EG12378	1948856..1949422
EG12379	1949419..1950237
EG12380	3544581..3545897
EG12381	2801524..2802483
EG12384	549662..550555
EG12385	2311510..2314182
EG12386	2793696..2794358
EG12387	2788004..2789272
EG12388	562553..563068
EG12391	1787637..1787828
EG12392	(complement(1260026..1258347))
EG12393	3206046..3207509
EG12394	(complement(1860453..1860040))
EG12395	773532..773825
EG12396	2141290..2144607
EG12397	1003170..1003880
EG12399	(complement(1248337..1246919))
EG12400	1741481..1742854
EG12401	(complement(2642305..2641151))
EG12402	1271342..1271572
EG12403	1271709..1272425
EG12404	(complement(1272822..1272469))
EG12405	1273148..1274401
EG12406	(complement(829866..829195))
EG12407	865791..866756
EG12409	"() { $('MsgCloseButton').focus(); } });</script><pre>>gnl|ECOLI|EG12409 aegA ""EG12409-MONOMER"" (complement(2583547..2581568))"
EG12410	(complement(2581500..2580925))
EG12411	(complement(2110000..2109101))
EG12412	(complement(2111085..2110000))
EG12414	(complement(2173071..2172619))
EG12415	(complement(2172588..2172304))
EG12416	(complement(2172300..2170945))
EG12417	(complement(2170897..2169857))
EG12419	(complement(2175226..2174372))
EG12421	(complement(837679..837413))
EG12422	(complement(837148..836888))
EG12423	387019..387870
EG12424	1265317..1266150
EG12427	794312..795085
EG12428	3964254..3964355
EG12429	(complement(479932..479558))
EG12431	1359935..1360492
EG12432	1773611..1775206
EG12433	1324876..1325751
EG12434	3199229..3199849
EG12436	196546..197898
EG12437	"() { $('MsgCloseButton').focus(); } });</script><pre>>gnl|ECOLI|EG12437 menE ""O-SUCCINYLBENZOATE-COA-LIG-MONOMER"" (complement(2373025..2371670))"
EG12438	(complement(2375614..2374856))
EG12439	4451606..4452601
EG12440	4453808..4455181
EG12442	2746796..2748082
EG12443	(complement(3100155..3099829))
EG12444	1166822..1167361
EG12445	2713445..2714032
EG12446	2739382..2739747
EG12448	(complement(587204..586314))
EG12449	(complement(2446462..2445530))
EG12450	2831934..2833067
EG12454	(complement(506306..505827))
EG12455	(complement(2971884..2970691))
EG12458	(complement(4310065..4309130))
EG12462	"() { $('MsgCloseButton').focus(); } });</script><pre>>gnl|ECOLI|EG12462 adiC ""YJDE-MONOMER"" (complement(4335054..4333717))"
EG12469	(complement(4354434..4352977))
EG12475	4381862..4383364
EG12494	4419416..4419721
EG12495	4419731..4420195
EG12504	4427887..4429299
EG12517	4447985..4448941
EG12518	4449081..4450583
EG12520	4450597..4451619
EG12522	3273304..3274875
EG12525	4465648..4468344
EG12539	(complement(4490548..4489229))
EG12544	4502081..4503298
EG12548	(complement(4520043..4518694))
EG12554	(complement(4526003..4525572))
EG12556	(complement(4528266..4526953))
EG12557	(complement(4529674..4528553))
EG12563	(complement(4549319..4547976))
EG12576	(complement(4566542..4565310))
EG12587	(complement(4592745..4591384))
EG12591	"() { $('MsgCloseButton').focus(); } });</script><pre>>gnl|ECOLI|EG12591 mdoB ""PGLYCEROLTRANSII-MONOMER"" (complement(4597464..4595173))"
EG12600	(complement(4631768..4631256))
EG12605	134388..134750
EG12606	1151162..1152403
EG12608	(complement(35371..34781))
EG12609	(complement(60346..59687))
EG12610	58474..59124
EG12611	59121..59279
EG12615	(complement(1057177..1056485))
EG12623	(complement(502462..500786))
EG12624	3717501..3717791
EG12625	(complement(3703813..3702794))
EG12626	(complement(3702784..3701882))
EG12627	(complement(3701871..3700888))
EG12628	(complement(3700891..3699887))
EG12629	(complement(3575615..3575088))
EG12630	(complement(3576749..3575754))
EG12631	(complement(3575084..3573744))
EG12633	(complement(3175932..3175303))
EG12634	(complement(2885241..2882575))
EG12656	3170552..3171133
EG12657	3171164..3171478
EG12658	3168506..3169855
EG12661	(complement(685892..685152))
EG12662	(complement(685152..684478))
EG12663	(complement(684478..683753))
EG12666	(complement(553163..552441))
EG12688	(complement(1123277..1122630))
EG12689	1112802..1113029
EG12690	937217..938560
EG12691	1338582..1339751
EG12692	(complement(632700..631612))
EG12693	1894194..1894772
EG12694	(complement(3204278..3203346))
EG12697	3037877..3038398
EG12702	948891..949481
EG12703	(complement(1066314..1066087))
EG12704	(complement(3097587..3096580))
EG12705	(complement(3099645..3098926))
EG12707	(complement(2871359..2871036))
EG12708	(complement(555776..555255))
EG12709	(complement(2027390..2026473))
EG12710	(complement(2031103..2030408))
EG12712	(complement(2812755..2812240))
EG12713	(complement(1545193..1544312))
EG12715	193521..194717
EG12717	(complement(3213495..3212989))
EG12720	3224256..3225689
EG12732	3237966..3239210
EG12734	"() { $('MsgCloseButton').focus(); } });</script><pre>>gnl|ECOLI|EG12734 uxaA ""ALTRODEHYDRAT-MONOMER"" (complement(3241336..3239849))"
EG12738	3243126..3244544
EG12739	3244674..3245450
EG12754	(complement(3255969..3254701))
EG12760	(complement(3272929..3271595))
EG12766	3279144..3279647
EG12768	3281165..3282025
EG12769	3282192..3282668
EG12770	3282707..3283510
EG12780	3293831..3294421
EG12794	3325812..3326105
EG12799	(complement(3336483..3335932))
EG12800	(complement(3337270..3336488))
EG12801	(complement(3338087..3337278))
EG12802	3338297..3339274
EG12830	(complement(489495..489334))
EG12834	3417171..3418088
EG12835	3418156..3419337
EG12836	3419347..3420450
EG12837	3420458..3421216
EG12842	890136..890423
EG12843	490106..490483
EG12844	(complement(2087737..2087486))
EG12845	(complement(2876875..2876591))
EG12850	(complement(2342191..2338439))
EG12851	674241..674723
EG12853	(complement(1399797..1398271))
EG12854	778821..779612
EG12855	1017708..1018160
EG12857	2722201..2722473
EG12859	1494880..1496535
EG12860	1934676..1935545
EG12861	1993842..1994066
EG12865	1496675..1496899
EG12866	(complement(1913558..1912860))
EG12867	(complement(395511..394354))
EG12868	(complement(1328692..1328441))
EG12870	1383535..1384596
EG12874	(complement(432075..431536))
EG12875	(complement(806504..805221))
EG12876	(complement(1029891..1029562))
EG12877	1206724..1207353
EG12878	3053634..3053963
EG12879	(complement(556096..555884))
EG12880	2740405..2741631
EG12881	2347709..2347915
EG12882	(complement(3136544..3134685))
EG12883	(complement(3134393..3132894))
EG12903	3479311..3481224
EG12908	3497932..3499269
EG12933	3540750..3540986
EG12957	(complement(2507448..2506483))
EG13139	(complement(1449373..1447100))
EG13159	(complement(2522007..2520751))
EG13161	"() { $('MsgCloseButton').focus(); } });</script><pre>>gnl|ECOLI|EG13161 dsdC ""PD00297"" (complement(2475651..2474716))"
EG13174	2898614..2899891
EG13217	(complement(466536..464836))
EG13235	765207..767183
EG13236	767201..769834
EG13238	(complement(2063788..2063243))
EG13270	(complement(915270..914575))
EG13283	(complement(2480198..2478660))
EG20044	"() { $('MsgCloseButton').focus(); } });</script><pre>>gnl|ECOLI|EG20044 dctA ""DCTA-MONOMER"" (complement(3681470..3680184))"
EG20049	(complement(3871635..3871018))
EG20051	(complement(3872497..3871619))
EG20053	(complement(3869753..3868461))
EG20080	(complement(3121827..3119656))
EG20091	(complement(3781684..3780665))
EG20098	141431..141967
EG20110	"() { $('MsgCloseButton').focus(); } });</script><pre>>gnl|ECOLI|EG20110 kefB ""KEFB-MONOMER"" (complement(3478629..3476824))"
EG20173	2412769..2414913
EG20248	4550924..4552384
EG20249	4552599..4553372
EG20252	3729154..3730146
EG20253	3733002..3734180
EG20257	2799370..2801514
EG30008	4035283..4035358
EG30009	(complement(3425055..3424980))
EG30010	225500..225575
EG30011	(complement(2516253..2516178))
EG30012	"() { $('MsgCloseButton').focus(); } });</script><pre>>gnl|ECOLI|EG30012 alaX ""alaX-tRNA"" (complement(2516138..2516063))"
EG30013	(complement(2815882..2815806))
EG30014	563946..564022
EG30015	(complement(2816571..2816495))
EG30016	2464331..2464405
EG30017	3980398..3980474
EG30018	(complement(2816296..2816220))
EG30019	(complement(2816157..2816081))
EG30020	2042573..2042648
EG30021	2057875..2057950
EG30022	2060284..2060359
EG30023	3944895..3944971
EG30024	228928..229004
EG30025	236931..237007
EG30027	475672..475785
EG30028	(complement(696162..696088))
EG30029	(complement(695839..695765))
EG30030	(complement(696053..695979))
EG30031	(complement(695727..695653))
EG30032	4166395..4166470
EG30033	3941458..3941533
EG30034	4207797..4207872
EG30035	(complement(2727466..2727391))
EG30036	4173696..4173770
EG30037	(complement(2997079..2997006))
EG30038	4390383..4390458
EG30039	(complement(1990141..1990066))
EG30040	4390495..4390570
EG30041	4390606..4390681
EG30042	3980532..3980608
EG30043	4035164..4035240
EG30044	(complement(3425174..3425098))
EG30045	225381..225457
EG30046	3213620..3213695
EG30047	(complement(4604309..4604223))
EG30048	(complement(4604424..4604338))
EG30049	3980629..3980715
EG30050	(complement(3320180..3320094))
EG30051	(complement(4604188..4604102))
EG30052	(complement(696270..696186))
EG30053	4494428..4494512
EG30054	(complement(1989925..1989839))
EG30055	779777..779852
EG30056	2519275..2519350
EG30057	780066..780141
EG30058	(complement(696356..696280))
EG30059	"() { $('MsgCloseButton').focus(); } });</script><pre>>gnl|ECOLI|EG30059 metU ""metU-tRNA"" (complement(695963..695887))"
EG30060	2945629..2945705
EG30061	(complement(3316311..3316235))
EG30062	2945409..2945485
EG30063	2311106..2311198
EG30064	(complement(4360649..4360574))
EG30065	3108388..3108463
EG30066	(complement(3706715..3706639))
EG30067	2284233..2284309
