"Enzyme Frame ID"	"EC"	"Reaction ID"	"Reaction stoichiometry"	"Direction"	"Turnover Forward (s^-1)"	"Turnover Reverse (s^-1)"	"Comments"
"[""NICOTINATEPRIBOSYLTRANS-MONOMER""]"	"2.4.2.11"	"NAMNPP"	"[c] : atp + h2o + nac + prpp --> adp + nicrnt + pi + ppi"	"forward only"		0	
"[""PRPPAMIDOTRANS-MONOMER""]"	"2.4.2.14"	"GLUPRT"	"[c] : gln-L + h2o + prpp --> glu-L + ppi + pram"	"forward only"		0	
"[""ATPPHOSRIBOSTRANS-MONOMER""]"	"2.4.2.17"	"ATPPRT"	"[c] : atp + prpp --> ppi + prbatp"	"forward only"		0	
"[""ANTHRANSYNCOMPII-MONOMER""]"	"2.4.2.18"	"ANPRT"	"[c] : anth + prpp --> ppi + pran"	"forward only"		0	
"[""QUINOPRIBOTRANS-MONOMER""]"	"2.4.2.19"	"NNDPR"	"[c] : (2) h + prpp + quln --> co2 + nicrnt + ppi"	"forward only"		0	
"[""URPHOS-MONOMER""]"	"2.4.2.2"	"PYNP2r"	"[c] : pi + uri <==> r1p + ura"	"reversible"			
"[""GPT-MONOMER""]"	"2.4.2.22"	"XPPT"	"[c] : prpp + xan --> ppi + xmp"	"forward only"		0	
"[""DEOA-MONOMER""]"	"2.4.2.4"	"TMDPP"	"[c] : pi + thymd <==> 2dr1p + thym"	"reversible"			
"[""ADENPRIBOSYLTRAN-MONOMER""]"	"2.4.2.7"	"ADPT"	"[c] : ade + prpp --> amp + ppi"	"forward only"		0	
"[""GPT-MONOMER""]"	"2.4.2.8"	"GUAPRT"	"[c] : gua + prpp --> gmp + ppi"	"forward only"		0	
"[""GPT-MONOMER""]"	"2.4.2.8"	"HXPRT"	"[c] : hxan + prpp --> imp + ppi"	"forward only"		0	
"[""HYPOXANPRIBOSYLTRAN-MONOMER""]"	"2.4.2.8"	"GUAPRT"	"[c] : gua + prpp --> gmp + ppi"	"forward only"		0	
"[""HYPOXANPRIBOSYLTRAN-MONOMER""]"	"2.4.2.8"	"HXPRT"	"[c] : hxan + prpp --> imp + ppi"	"forward only"		0	
"[""URACIL-PRIBOSYLTRANS-MONOMER""]"	"2.4.2.9"	"UPPRT"	"[c] : prpp + ura --> ppi + ump"	"forward only"		0	
"[""FPPSYN-MONOMER""]"	"2.5.1.1"	"DMATT"	"[c] : dmpp + ipdp --> grdp + ppi"	"forward only"		0	
"[""FPPSYN-MONOMER""]"	"2.5.1.10"	"GRTT"	"[c] : grdp + ipdp --> frdp + ppi"	"forward only"		0	
"[""H2PTEROATESYNTH-MONOMER""]"	"2.5.1.15"	"DHPS2"	"[c] : 4abz + 6hmhptpp --> dhpt + ppi"	"forward only"		0	
"[""SPERMIDINESYN-MONOMER""]"	"2.5.1.16"	"SPMS"	"[c] : ametam + ptrc --> 5mta + h + spmd"	"forward only"		0	
"[""COBALADENOSYLTRANS-MONOMER""]"	"2.5.1.17"	"CBIAT"	"[c] : atp + cbi + h <==> adocbi + pppi"	"reversible"			
"[""COBALADENOSYLTRANS-MONOMER""]"	"2.5.1.17"	"CBLAT"	"[c] : atp + cbl1 + h <==> adocbl + pppi"	"reversible"			
"[""AROA-MONOMER""]"	"2.5.1.19"	"PSCVT"	"[c] : pep + skm5p <==> 3psme + pi"	"reversible"			
"[""THIE-MONOMER""]"	"2.5.1.3"	"TMPPP"	"[c] : 2mahmp + 4mpetz + h --> ppi + thmmp"	"forward only"		0	
"[""S-ADENMETSYN-MONOMER""]"	"2.5.1.6"	"METAT"	"[c] : atp + h2o + met-L --> amet + pi + ppi"	"forward only"		0	
"[""UDPNACETYLGLUCOSAMENOLPYRTRANS-MONOMER""]"	"2.5.1.7"	"UAGCVT"	"[c] : pep + uacgam --> pi + uaccg"	"forward only"		0	
"[""LUMAZINESYN-MONOMER""]"	"2.5.1.9"	"RBFSb"	"[c] : (2) dmlz --> 4r5au + ribflv"	"forward only"		0	
"[""RIBOFLAVIN-SYN-MONOMER""]"	"2.5.1.9"	"RBFSa"	"[c] : 4r5au + db4p --> dmlz + (2) h2o + pi"	"forward only"		0	
"[""ASPAMINOTRANS-MONOMER""]"	"2.6.1.1"	"ASPTA"	"[c] : akg + asp-L <==> glu-L + oaa"	"reversible"			
"[""ACETYLORNTRANSAM-MONOMER""]"	"2.6.1.11"	"ACOTA"	"[c] : acorn + akg <==> acg5sa + glu-L"	"reversible"			
"[""SUCCORNTRANSAM-MONOMER""]"	"2.6.1.11"	"ACOTA"	"[c] : acorn + akg <==> acg5sa + glu-L"	"reversible"			
"[""L-GLN-FRUCT-6-P-AMINOTRANS-MONOMER""]"	"2.6.1.16"	"GF6PTA"	"[c] : f6p + gln-L --> gam6p + glu-L"	"forward only"		0	
"[""ACETYLORNTRANSAM-MONOMER""]"	"2.6.1.17"	"SDPTA"	"[c] : akg + sl26da <==> glu-L + sl2a6o"	"reversible"			
"[""G6646-MONOMER""]"	"2.6.1.19"	"ABTA"	"[c] : 4abut + akg --> glu-L + sucsal"	"forward only"		0	
"[""GABATRANSAM-MONOMER""]"	"2.6.1.19"	"ABTA"	"[c] : 4abut + akg --> glu-L + sucsal"	"forward only"		0	
"[""G7596-MONOMER""]"	"2.6.1.29"	"PTRCTA"	"[c] : akg + ptrc --> 4abutn + glu-L"	"forward only"		0	
"[""RFFTRANS-MONOMER""]"	"2.6.1.33"	"TDPAGTA"	"[c] : dtdp4d6dg + glu-L --> akg + dtdp4addg"	"forward only"		0	
"[""BRANCHED-CHAINAMINOTRANSFER-MONOMER""]"	"2.6.1.42"	"ILETA"	"[c] : akg + ile-L <==> 3mop + glu-L"	"reversible"			
"[""BRANCHED-CHAINAMINOTRANSFER-MONOMER""]"	"2.6.1.42"	"LEUTAi"	"[c] : 4mop + glu-L --> akg + leu-L"	"forward only"		0	
"[""BRANCHED-CHAINAMINOTRANSFER-MONOMER""]"	"2.6.1.42"	"VALTA"	"[c] : akg + val-L <==> 3mob + glu-L"	"reversible"			
"[""TYRB-MONOMER""]"	"2.6.1.42"	"LEUTAi"	"[c] : 4mop + glu-L --> akg + leu-L"	"forward only"		0	
"[""ASPAMINOTRANS-MONOMER""]"	"2.6.1.5"	"TYRTA"	"[c] : akg + tyr-L <==> 34hpp + glu-L"	"reversible"			
"[""TYRB-MONOMER""]"	"2.6.1.5"	"TYRTA"	"[c] : akg + tyr-L <==> 34hpp + glu-L"	"reversible"			
"[""PSERTRANSAM-MONOMER""]"	"2.6.1.52"	"OHPBAT"	"[c] : glu-L + ohpb <==> akg + phthr"	"reversible"			
"[""PSERTRANSAM-MONOMER""]"	"2.6.1.52"	"PSERT"	"[c] : 3php + glu-L --> akg + pser-L"	"forward only"		0	
"[""ASPAMINOTRANS-MONOMER""]"	"2.6.1.58"	"PHETA1"	"[c] : akg + phe-L <==> glu-L + phpyr"	"reversible"			
"[""BRANCHED-CHAINAMINOTRANSFER-MONOMER""]"	"2.6.1.58"	"PHETA1"	"[c] : akg + phe-L <==> glu-L + phpyr"	"reversible"			
"[""TYRB-MONOMER""]"	"2.6.1.58"	"PHETA1"	"[c] : akg + phe-L <==> glu-L + phpyr"	"reversible"			
"[""DAPASYN-MONOMER""]"	"2.6.1.62"	"AMAOTr"	"[c] : 8aonn + amet <==> amob + dann"	"reversible"			
"[""VALINE-PYRUVATE-AMINOTRANSFER-MONOMER""]"	"2.6.1.66"	"VPAMT"	"[c] : 3mob + ala-L --> pyr + val-L"	"forward only"		0	
"[""SUCCARGDIHYDRO-MONOMER""]"	"2.6.1.69"	"SADH"	"[c] : (2) h + (2) h2o + sucarg --> co2 + (2) nh4 + sucorn"	"forward only"		0	
"[""HISTPHOSTRANS-MONOMER""]"	"2.6.1.9"	"HSTPT"	"[c] : glu-L + imacp --> akg + hisp"	"forward only"		0	
"[""EG11288-MONOMER""]"	"2.7.1.1"	"HEX7"	"[c] : atp + fru --> adp + f6p + h"	"forward only"		0	
"[""GLUCOKIN-MONOMER""]"	"2.7.1.1"	"HEX1"	"[c] : atp + glc-D --> adp + g6p + h"	"forward only"		0	
"[""DIACYLGLYKIN-MONOMER""]"	"2.7.1.107"	"DAGK120"	"[c] : 12dgr120 + atp --> adp + h + pa120"	"forward only"		0	
"[""DIACYLGLYKIN-MONOMER""]"	"2.7.1.107"	"DAGK140"	"[c] : 12dgr140 + atp --> adp + h + pa140"	"forward only"		0	
"[""DIACYLGLYKIN-MONOMER""]"	"2.7.1.107"	"DAGK141"	"[c] : 12dgr141 + atp --> adp + h + pa141"	"forward only"		0	
"[""DIACYLGLYKIN-MONOMER""]"	"2.7.1.107"	"DAGK160"	"[c] : 12dgr160 + atp --> adp + h + pa160"	"forward only"		0	
"[""DIACYLGLYKIN-MONOMER""]"	"2.7.1.107"	"DAGK161"	"[c] : 12dgr161 + atp --> adp + h + pa161"	"forward only"		0	
"[""DIACYLGLYKIN-MONOMER""]"	"2.7.1.107"	"DAGK180"	"[c] : 12dgr180 + atp --> adp + h + pa180"	"forward only"		0	
"[""DIACYLGLYKIN-MONOMER""]"	"2.7.1.107"	"DAGK181"	"[c] : 12dgr181 + atp --> adp + h + pa181"	"forward only"		0	
"[""6PFK-1-MONOMER""]"	"2.7.1.11"	"PFK"	"[c] : atp + f6p --> adp + fdp + h"	"forward only"		0	
"[""6PFK-1-MONOMER""]"	"2.7.1.11"	"PFK_2"	"[c] : atp + tag6p-D --> adp + h + tagdp-D"	"forward only"		0	
"[""6PFK-2-MONOMER""]"	"2.7.1.11"	"PFK"	"[c] : atp + f6p --> adp + fdp + h"	"forward only"		0	
"[""GLUCONOKINI-MONOMER""]"	"2.7.1.12"	"GNK"	"[c] : atp + glcn --> 6pgc + adp + h"	"forward only"		0	
"[""GLUCONOKINII-MONOMER""]"	"2.7.1.12"	"GNK"	"[c] : atp + glcn --> 6pgc + adp + h"	"forward only"		0	
"[""TETRAACYLDISACC4KIN-MONOMER""]"	"2.7.1.130"	"TDSK"	"[c] : atp + lipidAds --> adp + h + lipidA"	"forward only"		0	
"[""RIBOKIN-MONOMER""]"	"2.7.1.15"	"RBK"	"[c] : atp + rib-D --> adp + h + r5p"	"forward only"		0	
"[""RIBULOKIN-MONOMER""]"	"2.7.1.16"	"RBK_L1"	"[c] : atp + rbl-L --> adp + h + ru5p-L"	"forward only"		0	
"[""RIBULOKIN-MONOMER""]"	"2.7.1.17"	"XYLK"	"[c] : atp + xylu-D --> adp + h + xu5p-D"	"forward only"		0	
"[""XYLULOKIN-MONOMER""]"	"2.7.1.17"	"XYLK"	"[c] : atp + xylu-D --> adp + h + xu5p-D"	"forward only"		0	
"[""ADENYL-KIN-MONOMER""]"	"2.7.1.20"	"ADNK1"	"[c] : adn + atp --> adp + amp + h"	"forward only"		0	
"[""TDK-MONOMER""]"	"2.7.1.21"	"TMDK1"	"[c] : atp + thymd --> adp + dtmp + h"	"forward only"		0	
"[""MONOMER0-541""]"	"2.7.1.23"	"NADK"	"[c] : atp + nad --> adp + h + nadp"	"forward only"		0	
"[""EG12312-MONOMER""]"	"2.7.1.24"	"DPCOAK"	"[c] : atp + dpcoa --> adp + coa + h"	"forward only"		0	
"[""ADENYLYLSULFKIN-MONOMER""]"	"2.7.1.25"	"ADSK"	"[c] : aps + atp --> adp + h + paps"	"forward only"		0	
"[""RIBF-MONOMER""]"	"2.7.1.26"	"RBFK"	"[c] : atp + ribflv --> adp + fmn + h"	"forward only"		0	
"[""GLYCEROL-KIN-MONOMER""]"	"2.7.1.30"	"GLYK"	"[c] : atp + glyc --> adp + glyc3p + h"	"forward only"		0	
"[""GKI-MONOMER""]"	"2.7.1.31"	"GLYCK2"	"[c] : atp + glyc-R --> 2pg + adp + h"	"forward only"		0	
"[""GLY3KIN-MONOMER""]"	"2.7.1.31"	"GLYCK"	"[c] : atp + glyc-R --> 3pg + adp + h"	"forward only"		0	
"[""PANTOTHENATE-KIN-MONOMER""]"	"2.7.1.33"	"PNTK"	"[c] : atp + pnto-R --> 4ppan + adp + h"	"forward only"		0	
"[""PDXK-MONOMER""]"	"2.7.1.35"	"PYDAMK"	"[c] : atp + pydam --> adp + h + pyam5p"	"forward only"		0	
"[""PDXK-MONOMER""]"	"2.7.1.35"	"PYDXK"	"[c] : atp + pydx --> adp + h + pydx5p"	"forward only"		0	
"[""PDXK-MONOMER""]"	"2.7.1.35"	"PYDXNK"	"[c] : atp + pydxn --> adp + h + pdx5p"	"forward only"		0	
"[""PDXY-MONOMER""]"	"2.7.1.35"	"PYDXK"	"[c] : atp + pydx --> adp + h + pydx5p"	"forward only"		0	
"[""HOMOSERKIN-MONOMER""]"	"2.7.1.39"	"HSK"	"[c] : atp + hom-L --> adp + h + phom"	"forward only"		0	
"[""PKI-MONOMER""]"	"2.7.1.40"	"PYK"	"[c] : adp + h + pep --> atp + pyr"	"forward only"		0	
"[""PKII-MONOMER""]"	"2.7.1.40"	"PYK"	"[c] : adp + h + pep --> atp + pyr"	"forward only"		0	
"[""DEOXYGLUCONOKIN-MONOMER""]"	"2.7.1.45"	"DDGLK"	"[c] : 2ddglcn + atp --> 2ddg6p + adp + h"	"forward only"		0	
"[""UDK-MONOMER""]"	"2.7.1.48"	"URIK2"	"[c] : gtp + uri --> gdp + h + ump"	"forward only"		0	
"[""HMP-P-KIN-MONOMER""]"	"2.7.1.49"	"HMPK1"	"[c] : 4ahmmp + atp --> 4ampm + adp + h"	"forward only"		0	
"[""PDXK-MONOMER""]"	"2.7.1.49"	"HMPK1"	"[c] : 4ahmmp + atp --> 4ampm + adp + h"	"forward only"		0	
"[""RHAMNULOKIN-MONOMER""]"	"2.7.1.5"	"RMK"	"[c] : atp + rml --> adp + h + rml1p"	"forward only"		0	
"[""THZ-KIN-MONOMER""]"	"2.7.1.50"	"HETZK"	"[c] : 4mhetz + atp --> 4mpetz + adp + h"	"forward only"		0	
"[""FUCULOKIN-MONOMER""]"	"2.7.1.51"	"FCLK"	"[c] : atp + fcl-L --> adp + fc1p + h"	"forward only"		0	
"[""LYXK-MONOMER""]"	"2.7.1.53"	"XYLK2"	"[c] : atp + xylu-L --> adp + h + xu5p-L"	"forward only"		0	
"[""RIBULOKIN-MONOMER""]"	"2.7.1.53"	"XYLK2"	"[c] : atp + xylu-L --> adp + h + xu5p-L"	"forward only"		0	
"[""1-PFK-MONOMER""]"	"2.7.1.56"	"FRUK"	"[c] : atp + f1p --> adp + fdp + h"	"forward only"		0	
"[""DEHYDDEOXGALACTKIN-MONOMER""]"	"2.7.1.58"	"DDGALK"	"[c] : 2dh3dgal + atp --> 2dh3dgal6p + adp + h"	"forward only"		0	
"[""G6576-MONOMER""]"	"2.7.1.59"	"ACGAMK"	"[c] : acgam + atp --> acgam6p + adp + h"	"forward only"		0	
"[""G7096-MONOMER""]"	"2.7.1.6"	"GALKr"	"[c] : atp + gal <==> adp + gal1p + h"	"reversible"			
"[""GALACTOKIN-MONOMER""]"	"2.7.1.6"	"GALKr"	"[c] : atp + gal <==> adp + gal1p + h"	"reversible"			
"[""NANK-MONOMER""]"	"2.7.1.60"	"AMANK"	"[c] : acmana + atp --> acmanap + adp + h"	"forward only"		0	
"[""AROK-MONOMER""]"	"2.7.1.71"	"SHKK"	"[c] : atp + skm --> adp + h + skm5p"	"forward only"		0	
"[""AROL-MONOMER""]"	"2.7.1.71"	"SHKK"	"[c] : atp + skm --> adp + h + skm5p"	"forward only"		0	
"[""GSK-MONOMER""]"	"2.7.1.73"	"INSK"	"[c] : atp + ins --> adp + h + imp"	"forward only"		0	
"[""THIKIN-MONOMER""]"	"2.7.1.89"	"TMK"	"[c] : atp + thm --> adp + h + thmmp"	"forward only"		0	
"[""ACETATEKINA-MONOMER""]"	"2.7.2.1"	"ACKr"	"[c] : ac + atp <==> actp + adp"	"reversible"			
"[""GARTRANSFORMYL2-MONOMER""]"	"2.7.2.1"	"ACKr"	"[c] : ac + atp <==> actp + adp"	"reversible"			
"[""PROPKIN-MONOMER""]"	"2.7.2.1"	"ACKr"	"[c] : ac + atp <==> actp + adp"	"reversible"			
"[""PROPKIN-MONOMER""]"	"2.7.2.1"	"PPAKr"	"[c] : adp + ppap <==> atp + ppa"	"reversible"			
"[""GLUTKIN-MONOMER""]"	"2.7.2.11"	"GLU5K"	"[c] : atp + glu-L --> adp + glu5p"	"forward only"		0	
"[""EG12384-MONOMER""]"	"2.7.2.2"	"CBMKr"	"[c] : atp + co2 + nh4 <==> adp + cbp + (2) h"	"reversible"			
"[""G6188-MONOMER""]"	"2.7.2.2"	"CBMKr"	"[c] : atp + co2 + nh4 <==> adp + cbp + (2) h"	"reversible"			
"[""G7493-MONOMER""]"	"2.7.2.2"	"CBMKr"	"[c] : atp + co2 + nh4 <==> adp + cbp + (2) h"	"reversible"			
"[""PGK""]"	"2.7.2.3"	"PGK"	"[c] : 3pg + atp <==> 13dpg + adp"	"reversible"			
"[""ASPKINIHOMOSERDEHYDROGI-MONOMER""]"	"2.7.2.4"	"ASPK"	"[c] : asp-L + atp <==> 4pasp + adp"	"reversible"			
"[""ASPKINIIHOMOSERDEHYDROGII-MONOMER""]"	"2.7.2.4"	"ASPK"	"[c] : asp-L + atp <==> 4pasp + adp"	"reversible"			
"[""ASPKINIII-MONOMER""]"	"2.7.2.4"	"ASPK"	"[c] : asp-L + atp <==> 4pasp + adp"	"reversible"			
"[""ACETYLGLUTKIN-MONOMER""]"	"2.7.2.8"	"ACGK"	"[c] : acglu + atp --> acg5p + adp"	"forward only"		0	
"[""PPK-MONOMER""]"	"2.7.4.1"	"PPK2r"	"[c] : atp + ppi <==> adp + pppi"	"reversible"			
"[""PPK-MONOMER""]"	"2.7.4.1"	"PPKr"	"[c] : atp + pi <==> adp + ppi"	"reversible"			
"[""ADENYL-KIN-MONOMER""]"	"2.7.4.11"	"DADK"	"[c] : atp + damp <==> adp + dadp"	"reversible"			
"[""CMPKI-MONOMER""]"	"2.7.4.14"	"CYTK1"	"[c] : atp + cmp <==> adp + cdp"	"reversible"			
"[""CMPKI-MONOMER""]"	"2.7.4.14"	"CYTK2"	"[c] : atp + dcmp <==> adp + dcdp"	"reversible"			
"[""CMPKI-MONOMER""]"	"2.7.4.14"	"UMPK"	"[c] : atp + ump <==> adp + udp"	"reversible"			
"[""UMPKI-MONOMER""]"	"2.7.4.14"	"UMPK"	"[c] : atp + ump <==> adp + udp"	"reversible"			
"[""THI-P-KIN-MONOMER""]"	"2.7.4.16"	"TMPK"	"[c] : atp + thmmp --> adp + thmpp"	"forward only"		0	
"[""ADENYL-KIN-MONOMER""]"	"2.7.4.3"	"ADK1"	"[c] : amp + atp <==> (2) adp"	"reversible"			
"[""ADENYL-KIN-MONOMER""]"	"2.7.4.6"	"NDPK1"	"[c] : atp + gdp <==> adp + gtp"	"reversible"			
"[""ADENYL-KIN-MONOMER""]"	"2.7.4.6"	"NDPK2"	"[c] : atp + udp <==> adp + utp"	"reversible"			
"[""ADENYL-KIN-MONOMER""]"	"2.7.4.6"	"NDPK3"	"[c] : atp + cdp <==> adp + ctp"	"reversible"			
"[""ADENYL-KIN-MONOMER""]"	"2.7.4.6"	"NDPK4"	"[c] : atp + dtdp <==> adp + dttp"	"reversible"			
"[""ADENYL-KIN-MONOMER""]"	"2.7.4.6"	"NDPK5"	"[c] : atp + dgdp <==> adp + dgtp"	"reversible"			
"[""ADENYL-KIN-MONOMER""]"	"2.7.4.6"	"NDPK6"	"[c] : atp + dudp <==> adp + dutp"	"reversible"			
"[""ADENYL-KIN-MONOMER""]"	"2.7.4.6"	"NDPK7"	"[c] : atp + dcdp <==> adp + dctp"	"reversible"			
"[""ADENYL-KIN-MONOMER""]"	"2.7.4.6"	"NDPK8"	"[c] : atp + dadp <==> adp + datp"	"reversible"			
"[""NUCLEOSIDE-DIP-KIN-MONOMER""]"	"2.7.4.6"	"NDPK1"	"[c] : atp + gdp <==> adp + gtp"	"reversible"			
"[""NUCLEOSIDE-DIP-KIN-MONOMER""]"	"2.7.4.6"	"NDPK2"	"[c] : atp + udp <==> adp + utp"	"reversible"			
"[""NUCLEOSIDE-DIP-KIN-MONOMER""]"	"2.7.4.6"	"NDPK3"	"[c] : atp + cdp <==> adp + ctp"	"reversible"			
"[""NUCLEOSIDE-DIP-KIN-MONOMER""]"	"2.7.4.6"	"NDPK4"	"[c] : atp + dtdp <==> adp + dttp"	"reversible"			
"[""NUCLEOSIDE-DIP-KIN-MONOMER""]"	"2.7.4.6"	"NDPK5"	"[c] : atp + dgdp <==> adp + dgtp"	"reversible"			
"[""NUCLEOSIDE-DIP-KIN-MONOMER""]"	"2.7.4.6"	"NDPK6"	"[c] : atp + dudp <==> adp + dutp"	"reversible"			
"[""NUCLEOSIDE-DIP-KIN-MONOMER""]"	"2.7.4.6"	"NDPK7"	"[c] : atp + dcdp <==> adp + dctp"	"reversible"			
"[""NUCLEOSIDE-DIP-KIN-MONOMER""]"	"2.7.4.6"	"NDPK8"	"[c] : atp + dadp <==> adp + datp"	"reversible"			
"[""HMP-P-KIN-MONOMER""]"	"2.7.4.7"	"PMPK"	"[c] : 4ampm + atp --> 2mahmp + adp"	"forward only"		0	
"[""GUANYL-KIN-MONOMER""]"	"2.7.4.8"	"DGK1"	"[c] : atp + dgmp <==> adp + dgdp"	"reversible"			
"[""GUANYL-KIN-MONOMER""]"	"2.7.4.8"	"GK1"	"[c] : atp + gmp <==> adp + gdp"	"reversible"			
"[""DTMPKI-MONOMER""]"	"2.7.4.9"	"DTMPK"	"[c] : atp + dtmp <==> adp + dtdp"	"reversible"			
"[""PRPPSYN-MONOMER""]"	"2.7.6.1"	"PRPPS"	"[c] : atp + r5p <==> amp + h + prpp"	"reversible"			
"[""RELA-MONOMER""]"	"2.7.6.5"	"GTPDPK"	"[c] : atp + gtp --> amp + gdptp + h"	"forward only"		0	
"[""NICONUCADENYLYLTRAN-MONOMER""]"	"2.7.7.1"	"NMNAT"	"[c] : atp + h + nmn --> nad + ppi"	"forward only"		0	
"[""PD04413""]"	"2.7.7.1"	"NMNAT"	"[c] : atp + h + nmn --> nad + ppi"	"forward only"		0	
"[""GALACTURIDYLYLTRANS-MONOMER""]"	"2.7.7.12"	"UGLT"	"[c] : gal1p + udpg <==> g1p + udpgal"	"reversible"			
"[""NICONUCADENYLYLTRAN-MONOMER""]"	"2.7.7.18"	"NNATr"	"[c] : atp + h + nicrnt <==> dnad + ppi"	"reversible"			
"[""RIBF-MONOMER""]"	"2.7.7.2"	"FMNAT"	"[c] : atp + fmn + h --> fad + ppi"	"forward only"		0	
"[""MANNPGUANYLTRANGDP-MONOMER""]"	"2.7.7.22"	"MAN1PT2"	"[c] : gdp + h + man1p --> gdpmann + pi"	"forward only"		0	
"[""NAG1P-URIDYLTRANS-MONOMER""]"	"2.7.7.23"	"UAGDP"	"[c] : acgam1p + h + utp --> ppi + uacgam"	"forward only"		0	
"[""DTDPGLUCOSEPP-MONOMER""]"	"2.7.7.24"	"G1PTT"	"[c] : dttp + g1p + h --> dtdpglu + ppi"	"forward only"		0	
"[""DTDPGLUCOSEPP2-MONOMER""]"	"2.7.7.24"	"G1PTT"	"[c] : dttp + g1p + h --> dtdpglu + ppi"	"forward only"		0	
"[""GLUC1PADENYLTRANS-MONOMER""]"	"2.7.7.27"	"GLGC"	"[c] : atp + g1p + h --> adpglc + ppi"	"forward only"		0	
"[""PANTEPADENYLYLTRAN-MONOMER""]"	"2.7.7.3"	"PTPATi"	"[c] : atp + h + pan4p --> dpcoa + ppi"	"forward only"		0	
"[""CPM-KDOSYNTH-MONOMER""]"	"2.7.7.38"	"KDOCT2"	"[c] : ctp + kdo --> ckdo + ppi"	"forward only"		0	
"[""CDPDIGLYSYN-MONOMER""]"	"2.7.7.41"	"DASYN120"	"[c] : ctp + h + pa120 --> cdpdddecg + ppi"	"forward only"		0	
"[""CDPDIGLYSYN-MONOMER""]"	"2.7.7.41"	"DASYN140"	"[c] : ctp + h + pa140 --> cdpdtdecg + ppi"	"forward only"		0	
"[""CDPDIGLYSYN-MONOMER""]"	"2.7.7.41"	"DASYN141"	"[c] : ctp + h + pa141 --> cdpdtdec7eg + ppi"	"forward only"		0	
"[""CDPDIGLYSYN-MONOMER""]"	"2.7.7.41"	"DASYN160"	"[c] : ctp + h + pa160 --> cdpdhdecg + ppi"	"forward only"		0	
"[""CDPDIGLYSYN-MONOMER""]"	"2.7.7.41"	"DASYN161"	"[c] : ctp + h + pa161 --> cdpdhdec9eg + ppi"	"forward only"		0	
"[""CDPDIGLYSYN-MONOMER""]"	"2.7.7.41"	"DASYN180"	"[c] : ctp + h + pa180 --> cdpdodecg + ppi"	"forward only"		0	
"[""CDPDIGLYSYN-MONOMER""]"	"2.7.7.41"	"DASYN181"	"[c] : ctp + h + pa181 --> cdpdodec11eg + ppi"	"forward only"		0	
"[""ENTE-MONOMER""]"	"2.7.7.58"	"DHBS"	"[c] : 23dhb + atp + h --> 23dhba + ppi"	"forward only"		0	
"[""GLUC1PURIDYLTRANS-MONOMER""]"	"2.7.7.9"	"GALUi"	"[c] : g1p + h + utp --> ppi + udpg"	"forward only"		0	
"[""PHOSNACMURPENTATRANS-MONOMER""]"	"2.7.8.13"	"PAPPT3"	"[c] : udcpp + ugmda --> uagmda + ump"	"forward only"		0	
"[""PHOSPHAGLYPSYN-MONOMER""]"	"2.7.8.5"	"PGSA120"	"[c] : cdpdddecg + glyc3p --> cmp + h + pgp120"	"forward only"		0	
"[""PHOSPHAGLYPSYN-MONOMER""]"	"2.7.8.5"	"PGSA140"	"[c] : cdpdtdecg + glyc3p --> cmp + h + pgp140"	"forward only"		0	
"[""PHOSPHAGLYPSYN-MONOMER""]"	"2.7.8.5"	"PGSA141"	"[c] : cdpdtdec7eg + glyc3p --> cmp + h + pgp141"	"forward only"		0	
"[""PHOSPHAGLYPSYN-MONOMER""]"	"2.7.8.5"	"PGSA160"	"[c] : cdpdhdecg + glyc3p --> cmp + h + pgp160"	"forward only"		0	
"[""PHOSPHAGLYPSYN-MONOMER""]"	"2.7.8.5"	"PGSA161"	"[c] : cdpdhdec9eg + glyc3p --> cmp + h + pgp161"	"forward only"		0	
"[""PHOSPHAGLYPSYN-MONOMER""]"	"2.7.8.5"	"PGSA180"	"[c] : cdpdodecg + glyc3p --> cmp + h + pgp180"	"forward only"		0	
"[""PHOSPHAGLYPSYN-MONOMER""]"	"2.7.8.5"	"PGSA181"	"[c] : cdpdodec11eg + glyc3p --> cmp + h + pgp181"	"forward only"		0	
"[""EG12221-MONOMER""]"	"2.7.8.7"	"ACPS1"	"[c] : apoACP + coa --> ACP + h + pap"	"forward only"		0	
"[""HOLO-ACP-SYNTH-MONOMER""]"	"2.7.8.7"	"ACPS1"	"[c] : apoACP + coa --> ACP + h + pap"	"forward only"		0	
"[""PHOSPHASERSYN-MONOMER""]"	"2.7.8.8"	"PSSA120"	"[c] : cdpdddecg + ser-L --> cmp + h + ps120"	"forward only"		0	
"[""PHOSPHASERSYN-MONOMER""]"	"2.7.8.8"	"PSSA140"	"[c] : cdpdtdecg + ser-L --> cmp + h + ps140"	"forward only"		0	
"[""PHOSPHASERSYN-MONOMER""]"	"2.7.8.8"	"PSSA141"	"[c] : cdpdtdec7eg + ser-L --> cmp + h + ps141"	"forward only"		0	
"[""PHOSPHASERSYN-MONOMER""]"	"2.7.8.8"	"PSSA160"	"[c] : cdpdhdecg + ser-L --> cmp + h + ps160"	"forward only"		0	
"[""PHOSPHASERSYN-MONOMER""]"	"2.7.8.8"	"PSSA161"	"[c] : cdpdhdec9eg + ser-L --> cmp + h + ps161"	"forward only"		0	
"[""PHOSPHASERSYN-MONOMER""]"	"2.7.8.8"	"PSSA180"	"[c] : cdpdodecg + ser-L --> cmp + h + ps180"	"forward only"		0	
